rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,tiktokv.com,Social Networks;Video Streaming
3,google.com,Search Engines
4,facebook.com,Social Networks
5,googleapis.com,Content Servers;Personal Blogs
6,cdn77.org,Content Servers
7,apple.com,Information Technology;Technology
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,akamai.net,Content Servers
10,snapchat.com,Social Networks
11,bytefcdn-oversea.com,
12,gstatic.com,Content Servers
13,akadns.net,Content Servers
14,fbcdn.net,Social Networks
15,akamaiedge.net,Content Servers
16,ttlivecdn.com,Content Servers
17,apple-dns.net,Content Servers
18,icloud.com,File Sharing;Content Servers
19,googlevideo.com,Search Engines;Video Streaming
20,sc-cdn.net,Content Servers
21,microsoft.com,Information Technology;Business
22,aaplimg.com,Information Technology;Content Servers;Technology
23,bytefcdn-ttpeu.com,Content Servers
24,rocket-cdn.com,Content Servers
25,sc-gw.com,Content Servers
26,doubleclick.net,Advertisements
27,googleusercontent.com,Content Servers
28,instagram.com,Social Networks
29,youtube.com,Video Streaming
30,qlivecdn.com,
31,ytimg.com,Content Servers
32,byteglb.com,
33,pki.goog,Information Security
34,byteoversea.net,Content Servers
35,atomile.com,No Content
36,wsdvs.com,Content Servers
37,app-measurement.com,APIs
38,cloudflare-dns.com,Content Servers
39,amazonaws.com,Technology
40,bing.com,Search Engines
41,gvt2.com,Content Servers
42,ovscdns.net,Content Servers
43,applovin.com,Gaming
44,appsflyersdk.com,Content Servers;APIs
45,cloudflare.com,Technology
46,linkedin.com,Professional Networking
47,office.com,Technology
48,app-analytics-services.com,Content Servers
49,ttoverseaus.net,Content Servers
50,cloudfront.net,Content Servers;Science;Technology
51,live.com,Technology;Webmail
52,v-mate.mobi,Gaming
53,ggpht.com,Content Servers
54,yahoo.com,News & Media
55,whatsapp.com,Instant Messengers;Internet Phone & VOIP
56,fastly.net,Information Security;Information Technology;Technology
57,digicert.com,Information Security
58,ntp.org,Technology;Government
59,tiktokcdn-us.com,Content Servers
60,googlesyndication.com,Search Engines;Advertisements
61,spbycdn.com,
62,unity3d.com,Gaming;Technology
63,cdninstagram.com,Content Servers
64,shalltry.com,Content Servers
65,ttdns2.com,Content Servers
66,crashlytics.com,Information Technology
67,googletagmanager.com,Content Servers
68,bytetcdn.com,Content Servers
69,office.net,Content Servers
70,mncdn.com,Content Servers
71,skype.com,Instant Messengers;Internet Phone & VOIP
72,office365.com,Technology
73,cdn-apple.com,Content Servers
74,netflix.com,Movies;Video Streaming
75,google-analytics.com,Business;Technology
76,safebrowsing.apple,Content Servers
77,wattpad.com,Education;Information Technology
78,pangle.io,Content Servers
79,vungle.com,Business;Technology
80,sc-prod.net,Content Servers
81,amazon-adsystem.com,Advertisements
82,licdn.com,Content Servers
83,xcoinsystem.com,Content Servers
84,igamecj.com,Content Servers
85,trafficmanager.net,Content Servers
86,appsflyer.com,Business;Technology
87,googleadservices.com,Advertisements
88,gcdn.co,Content Servers
89,appcenter.ms,Technology
90,azure.com,Technology
91,kaspersky.com,Technology
92,gmail.com,Webmail
93,spotify.com,Audio Streaming
94,flurry.com,Business;Technology
95,tdatamaster.com,
96,dns.google,Information Technology
97,twitter.com,Social Networks
98,msn.com,News & Media
99,akamaized.net,Content Servers
100,gvt1.com,Content Servers
