rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,live.com,Technology;Webmail
8,youtube.com,Video Streaming
9,googleusercontent.com,Content Servers
10,gvt2.com,Content Servers
11,instagram.com,Social Networks
12,apple.com,Information Technology;Technology
13,amazonaws.com,Technology
14,cloudflare.com,Technology
15,office.com,Technology
16,bing.com,Search Engines
17,office365.com,Technology
18,googlevideo.com,Search Engines;Video Streaming
19,google-analytics.com,Business;Technology
20,tiktokcdn.com,Content Servers;Social Networks
21,msn.com,News & Media
22,fbcdn.net,Social Networks
23,whatsapp.net,Instant Messengers;Internet Phone & VOIP
24,ytimg.com,Content Servers
25,cloudfront.net,Content Servers;Science;Technology
26,windowsupdate.com,Information Technology;Business
27,googletagmanager.com,Content Servers
28,azure.com,Technology
29,windows.com,Information Technology
30,microsoftonline.com,Technology
31,skype.com,Instant Messengers;Internet Phone & VOIP
32,tiktokv.com,Social Networks;Video Streaming
33,linkedin.com,Professional Networking
34,akadns.net,Content Servers
35,googlesyndication.com,Search Engines;Advertisements
36,qq.com,News & Media
37,office.net,Content Servers
38,gvt1.com,Content Servers
39,outlook.com,Webmail
40,ntp.org,Technology;Government
41,spotify.com,Audio Streaming
42,baidu.com,Search Engines
43,yahoo.com,News & Media
44,akamaized.net,Content Servers
45,icloud.com,File Sharing;Content Servers
46,adnxs.com,Content Servers
47,apple-dns.net,Content Servers
48,sharepoint.com,File Sharing;Technology
49,amazon-adsystem.com,Advertisements
50,msftconnecttest.com,Content Servers
51,msedge.net,Content Servers
52,googleadservices.com,Advertisements
53,akamai.net,Content Servers
54,digicert.com,Information Security
55,msftncsi.com,Content Servers
56,azureedge.net,Content Servers
57,rubiconproject.com,Advertisements
58,akamaiedge.net,Content Servers
59,twitter.com,Social Networks
60,scorecardresearch.com,Business
61,sentry.io,Business
62,netflix.com,Movies;Video Streaming
63,sfx.ms,File Sharing
64,ggpht.com,Content Servers
65,windows.net,Technology
66,dns.google,Information Technology
67,appcenter.ms,Technology
68,lencr.org,Information Technology
69,ttlivecdn.com,Content Servers
70,facebook.net,Social Networks
71,ovh.net,Information Technology
72,fastly-edge.com,Content Servers
73,aliyuncs.com,Content Servers
74,cloudflare-dns.com,Content Servers
75,pki.goog,Information Security
76,samsung.com,Home & Garden;Technology
77,dbankcloud.com,Technology
78,cdninstagram.com,Content Servers
79,aaplimg.com,Information Technology;Content Servers;Technology
80,licdn.com,Content Servers
81,app-measurement.com,APIs
82,smartadserver.com,Advertisements
83,applovin.com,Business;Technology
84,snapchat.com,Social Networks
85,taboola.com,Business;Advertisements
86,gmail.com,Webmail
87,anydesk.com,Information Technology
88,cdn77.org,Content Servers
89,cloud.microsoft,Business
90,nr-data.net,Content Servers
91,jsdelivr.net,Content Servers
92,force.com,Business
93,openx.net,Advertisements
94,salesforce.com,Business
95,casalemedia.com,Advertisements
96,criteo.com,Business
97,hicloud.com,File Sharing
98,outbrain.com,Business;Advertisements
99,pubmatic.com,Business;Technology
100,criteo.net,Business
