rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokv.com,Social Networks;Video Streaming
9,gvt2.com,Content Servers
10,fbcdn.net,Social Networks
11,youtube.com,Video Streaming
12,googlevideo.com,Search Engines;Video Streaming
13,apple.com,Information Technology;Technology
14,doubleclick.net,Advertisements
15,office.com,Technology
16,akadns.net,Content Servers
17,googleusercontent.com,Content Servers
18,bing.com,Search Engines
19,live.com,Technology;Webmail
20,akamai.net,Content Servers
21,apple-dns.net,Content Servers
22,amazonaws.com,Technology
23,spotify.com,Audio Streaming
24,googlesyndication.com,Search Engines;Advertisements
25,akamaiedge.net,Content Servers
26,ytimg.com,Content Servers
27,office.net,Content Servers
28,icloud.com,File Sharing;Content Servers
29,msn.com,News & Media
30,instagram.com,Social Networks
31,cloudflare.com,Technology
32,cdn77.org,Content Servers
33,gvt1.com,Content Servers
34,yahoo.com,News & Media
35,google.mw,Search Engines
36,grammarly.com,Artificial Intelligence;Hobbies & Interests
37,google-analytics.com,Business;Technology
38,ttlivecdn.com,Content Servers
39,googleadservices.com,Advertisements
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,sharepoint.com,File Sharing;Technology
42,aaplimg.com,Information Technology;Content Servers;Technology
43,windows.com,Information Technology
44,akamaized.net,Content Servers
45,microsoftonline.com,Technology
46,azure.com,Technology
47,snapchat.com,Social Networks
48,msftconnecttest.com,Content Servers
49,googletagmanager.com,Content Servers
50,amazon-adsystem.com,Advertisements
51,app-measurement.com,APIs
52,taboola.com,Business;Advertisements
53,digicert.com,Information Security
54,windowsupdate.com,Information Technology;Business
55,adnxs.com,Content Servers
56,pubmatic.com,Business;Technology
57,grammarly.io,Information Technology;Content Servers
58,qq.com,News & Media
59,bytefcdn-oversea.com,
60,whatsapp.com,Instant Messengers;Internet Phone & VOIP
61,cloudflare-dns.com,Content Servers
62,azureedge.net,Content Servers
63,lencr.org,Information Technology
64,netflix.com,Movies;Video Streaming
65,office365.com,Technology
66,3lift.com,Business
67,msedge.net,Content Servers
68,ggpht.com,Content Servers
69,msftncsi.com,Content Servers
70,rubiconproject.com,Advertisements
71,ntp.org,Technology;Government
72,cloudfront.net,Content Servers;Science;Technology
73,linkedin.com,Professional Networking
74,appsflyersdk.com,Content Servers;APIs
75,openx.net,Advertisements
76,smartadserver.com,Advertisements
77,windows.net,Technology
78,bytefcdn-ttpeu.com,Content Servers
79,appcenter.ms,Technology
80,ui.com,Technology
81,shalltry.com,Content Servers
82,ampproject.org,Information Technology
83,opera.com,Technology
84,pki.goog,Information Security
85,criteo.com,Business
86,cdninstagram.com,Content Servers
87,xiaomi.com,Technology
88,trafficmanager.net,Information Technology;Content Servers
89,premierbet.com,Gambling;CIPA Filter
90,twitter.com,Social Networks
91,adobe.com,Technology
92,pepepush.net,Content Servers
93,outlook.com,Webmail
94,sfx.ms,File Sharing
95,android.com,Technology
96,supapush.net,Content Servers
97,gmail.com,Webmail
98,casalemedia.com,Advertisements
99,sharethrough.com,Business
100,xnxx-cdn.com,CIPA Filter;Pornography
