rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,apple.com,Information Technology;Technology
8,gvt2.com,Content Servers
9,youtube.com,Video Streaming
10,doubleclick.net,Advertisements
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,googlevideo.com,Search Engines;Video Streaming
13,cloudflare.com,Technology
14,tiktokv.com,Social Networks;Video Streaming
15,bing.com,Search Engines
16,akamai.net,Content Servers
17,googleusercontent.com,Content Servers
18,amazonaws.com,Technology
19,live.com,Technology;Webmail
20,fbcdn.net,Social Networks
21,akamaiedge.net,Content Servers
22,google-analytics.com,Business;Technology
23,instagram.com,Social Networks
24,googlesyndication.com,Search Engines;Advertisements
25,akadns.net,Content Servers
26,office.com,Technology
27,spotify.com,Audio Streaming
28,ytimg.com,Content Servers
29,apple-dns.net,Content Servers
30,cdn77.org,Content Servers
31,cloudflare-dns.com,Content Servers
32,cloudfront.net,Content Servers;Science;Technology
33,googleadservices.com,Advertisements
34,msn.com,News & Media
35,icloud.com,File Sharing;Content Servers
36,ntp.org,Technology;Government
37,ttlivecdn.com,Content Servers
38,yahoo.com,News & Media
39,shopee.com.my,Ecommerce
40,aaplimg.com,Information Technology;Content Servers;Technology
41,googletagmanager.com,Content Servers
42,qq.com,News & Media
43,google.com.my,Search Engines
44,bytefcdn-oversea.com,
45,windowsupdate.com,Information Technology;Business
46,ggpht.com,Content Servers
47,netflix.com,Movies;Video Streaming
48,douyincdn.com,Content Servers
49,gvt1.com,Content Servers
50,office.net,Content Servers
51,amazon-adsystem.com,Advertisements
52,lencr.org,Information Technology
53,microsoftonline.com,Technology
54,skype.com,Instant Messengers;Internet Phone & VOIP
55,msftncsi.com,Content Servers
56,dns.google,Information Technology
57,akamaized.net,Content Servers
58,baidu.com,Search Engines
59,shopeemobile.com,Ecommerce
60,fastly.net,Information Security;Information Technology;Technology
61,windows.com,Information Technology
62,adnxs.com,Content Servers
63,roblox.com,Gaming;Safe for Kids
64,criteo.com,Business
65,whatsapp.com,Instant Messengers;Internet Phone & VOIP
66,azure.com,Technology
67,rubiconproject.com,Advertisements
68,bytefcdn-ttpeu.com,Content Servers
69,pubmatic.com,Business;Technology
70,linkedin.com,Professional Networking
71,app-measurement.com,APIs
72,digicert.com,Information Security
73,grammarly.com,Artificial Intelligence;Hobbies & Interests
74,rocket-cdn.com,Content Servers
75,office365.com,Technology
76,twitter.com,Social Networks
77,facebook.net,Social Networks
78,windows.net,Technology
79,alicdn.com,Content Servers
80,gmail.com,Webmail
81,pki.goog,Information Security
82,qlivecdn.com,
83,wsdvs.com,Content Servers
84,grammarly.io,Information Technology;Content Servers
85,vivoglobal.com,Technology
86,opera.com,Technology
87,byteoversea.com,Content Servers
88,brave.com,Information Technology
89,discord.com,Instant Messengers;Internet Phone & VOIP
90,susercontent.com,No Content
91,ampproject.org,Information Technology
92,applovin.com,Gaming
93,smartadserver.com,Advertisements
94,aliyuncs.com,Content Servers
95,cdninstagram.com,Content Servers
96,appsflyersdk.com,Content Servers;APIs
97,twimg.com,Content Servers
98,trafficmanager.net,Content Servers
99,taboola.com,Business;Advertisements
100,android.com,Technology
