rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,office.com,Technology
6,gvt2.com,Content Servers
7,facebook.com,Social Networks
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokcdn.com,Content Servers;Social Networks
10,doubleclick.net,Advertisements
11,live.com,Technology;Webmail
12,akadns.net,Content Servers
13,akamai.net,Content Servers
14,amazonaws.com,Technology
15,office.net,Content Servers
16,akamaiedge.net,Content Servers
17,azure.com,Technology
18,apple.com,Information Technology;Technology
19,tiktokv.com,Social Networks;Video Streaming
20,instagram.com,Social Networks
21,youtube.com,Video Streaming
22,googlevideo.com,Search Engines;Video Streaming
23,bing.com,Search Engines
24,cloudfront.net,Content Servers;Science;Technology
25,cdn77.org,Content Servers
26,fbcdn.net,Social Networks
27,office365.com,Technology
28,netflix.com,Movies;Video Streaming
29,googlesyndication.com,Search Engines;Advertisements
30,googleusercontent.com,Content Servers
31,googleadservices.com,Advertisements
32,lencr.org,Information Technology
33,adnxs.com,Content Servers
34,google-analytics.com,Business;Technology
35,apple-dns.net,Content Servers
36,yahoo.com,News & Media
37,trafficmanager.net,Content Servers
38,amazon-adsystem.com,Advertisements
39,spotify.com,Audio Streaming
40,kaspersky.com,Technology
41,gvt1.com,Content Servers
42,ytimg.com,Content Servers
43,snapchat.com,Social Networks
44,microsoftonline.com,Technology
45,sharepoint.com,File Sharing;Technology
46,grammarly.io,Information Technology;Content Servers
47,cloudflare.com,Technology
48,digicert.com,Information Security
49,windowsupdate.com,Information Technology;Business
50,msftncsi.com,Content Servers
51,googletagmanager.com,Content Servers
52,dropbox.com,File Sharing
53,msn.com,News & Media
54,windows.net,Technology
55,twitter.com,Social Networks
56,outlook.com,Webmail
57,fastly.net,Information Security;Information Technology;Technology
58,grammarly.com,Artificial Intelligence;Hobbies & Interests
59,azureedge.net,Content Servers
60,rubiconproject.com,Advertisements
61,icloud.com,File Sharing;Content Servers
62,pki.goog,Information Security
63,skype.com,Instant Messengers;Internet Phone & VOIP
64,linkedin.com,Professional Networking
65,aaplimg.com,Information Technology;Content Servers;Technology
66,sentry.io,Business
67,bytefcdn-oversea.com,
68,fastly-edge.com,Content Servers
69,nr-data.net,Content Servers
70,msedge.net,Content Servers
71,cloudflare-dns.com,Content Servers
72,twimg.com,Content Servers
73,ttlivecdn.com,Content Servers
74,verisign.com,Information Technology
75,adobe.com,Technology
76,adobe.io,Business;Technology
77,gmail.com,Webmail
78,google.com.na,Search Engines
79,msftconnecttest.com,Content Servers
80,akamaized.net,Content Servers
81,canva.com,Hobbies & Interests
82,scorecardresearch.com,Business
83,cdninstagram.com,Content Servers
84,ggpht.com,Content Servers
85,facebook.net,Social Networks
86,pubmatic.com,Business;Technology
87,unity3d.com,Gaming;Technology
88,tradingview.com,Economy & Finance;Professional Networking
89,sharethrough.com,Business
90,teamviewer.com,Information Technology
91,app-analytics-services.com,Content Servers
92,gboxlab.com,Information Technology
93,app-measurement.com,APIs
94,criteo.com,Business
95,amazon.com,Ecommerce
96,windows.com,Information Technology
97,ntp.org,Technology;Government
98,3lift.com,Business
99,akamaihd.net,Content Servers
100,openx.net,Advertisements
