rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,facebook.com,Social Networks
5,youtube.com,Video Streaming
6,office.com,Technology
7,bing.com,Search Engines
8,akadns.net,Content Servers
9,apple.com,Information Technology;Technology
10,akamai.net,Content Servers
11,akamaiedge.net,Content Servers
12,amazonaws.com,Technology
13,live.com,Technology;Webmail
14,azure.com,Technology
15,fastly.net,Information Security;Information Technology;Technology
16,apple-dns.net,Content Servers
17,ntp.org,Technology;Government
18,office365.com,Technology
19,aaplimg.com,Information Technology;Content Servers;Technology
20,yahoo.com,News & Media
21,gstatic.com,Content Servers
22,trafficmanager.net,Content Servers
23,icloud.com,File Sharing;Content Servers
24,doubleclick.net,Advertisements
25,synology.com,Technology
26,tiktokcdn.com,Content Servers;Social Networks
27,cloudfront.net,Content Servers;Science;Technology
28,skype.com,Instant Messengers;Internet Phone & VOIP
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,spotify.com,Audio Streaming
31,fbcdn.net,Social Networks
32,tiktokv.com,Social Networks;Video Streaming
33,netflix.com,Movies;Video Streaming
34,googlevideo.com,Search Engines;Video Streaming
35,rubiconproject.com,Advertisements
36,instagram.com,Social Networks
37,adnxs.com,Content Servers
38,rlcdn.com,Content Servers
39,googlesyndication.com,Search Engines;Advertisements
40,ytimg.com,Content Servers
41,googleusercontent.com,Content Servers
42,outbrain.com,Business;Advertisements
43,roblox.com,Gaming;Safe for Kids
44,cdn77.org,Content Servers
45,sharepoint.com,File Sharing;Technology
46,snapchat.com,Social Networks
47,msn.com,News & Media
48,amazon-adsystem.com,Advertisements
49,digicert.com,Information Security
50,cloudflare.net,Information Technology;Technology
51,office.net,Content Servers
52,google-analytics.com,Business;Technology
53,googleadservices.com,Advertisements
54,outlook.com,Webmail
55,rbxcdn.com,Content Servers
56,gvt2.com,Content Servers
57,ttlivecdn.com,Content Servers
58,edgesuite.net,Content Servers
59,googletagmanager.com,Content Servers
60,pubmatic.com,Business;Technology
61,3lift.com,Business
62,cloudflare.com,Technology
63,azureedge.net,Content Servers
64,ampproject.org,Information Technology
65,ftven.fr,Technology
66,phncdn.com,CIPA Filter;Pornography
67,amazon.com,Ecommerce
68,edgekey.net,Information Technology;Content Servers;Shopping
69,ea.com,Gaming
70,epicgames.com,Ecommerce;Gaming
71,cloudflare-dns.com,Content Servers
72,sc-gw.com,Content Servers
73,discord.com,Instant Messengers;Internet Phone & VOIP
74,cdninstagram.com,Content Servers
75,windows.com,Information Technology
76,casalemedia.com,Advertisements
77,pki.goog,Information Security
78,openx.net,Advertisements
79,msftncsi.com,Content Servers
80,gmail.com,Webmail
81,appcenter.ms,Technology
82,windows.net,Technology
83,sc-cdn.net,Content Servers
84,sentry.io,Business
85,bytefcdn-oversea.com,
86,ggpht.com,Content Servers
87,francetvinfo.fr,News & Media;Video Streaming
88,teamviewer.com,Information Technology
89,annonces.nc,Auctions & Marketplaces
90,id5-sync.com,Content Servers
91,appsflyersdk.com,Content Servers;APIs
92,steampowered.com,Gaming
93,safebrowsing.apple,Content Servers
94,smartadserver.com,Advertisements
95,app-measurement.com,APIs
96,disqus.com,Business;Technology
97,a-msedge.net,Content Servers
98,msidentity.com,Information Technology
99,akamaized.net,Content Servers
100,microsoftonline.com,Technology
