rank,domain,categories
1,google.com,Search Engines
2,palmpay.app,Politics, Advocacy, and Government-Related
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokcdn.com,Content Servers;Social Networks
8,tiktokv.com,Social Networks;Video Streaming
9,doubleclick.net,Advertisements
10,apple.com,Information Technology;Technology
11,amazonaws.com,Technology
12,gvt2.com,Content Servers
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,youtube.com,Video Streaming
15,instagram.com,Social Networks
16,cloudflare.com,Technology
17,googlevideo.com,Search Engines;Video Streaming
18,akamai.net,Content Servers
19,cloudflare-dns.com,Content Servers
20,googlesyndication.com,Search Engines;Advertisements
21,bing.com,Search Engines
22,googleusercontent.com,Content Servers
23,akadns.net,Content Servers
24,msport.com,Gambling;CIPA Filter
25,fbcdn.net,Social Networks
26,akamaiedge.net,Content Servers
27,cdn77.org,Content Servers
28,snapchat.com,Social Networks
29,shalltry.com,Content Servers
30,cloudfront.net,Content Servers;Science;Technology
31,live.com,Technology;Webmail
32,office.com,Technology
33,spotify.com,Audio Streaming
34,icloud.com,File Sharing;Content Servers
35,ytimg.com,Content Servers
36,google-analytics.com,Business;Technology
37,apple-dns.net,Content Servers
38,msn.com,News & Media
39,ntp.org,Technology;Government
40,netflix.com,Movies;Video Streaming
41,ttlivecdn.com,Content Servers
42,yahoo.com,News & Media
43,google.com.ng,Search Engines
44,aaplimg.com,Information Technology;Content Servers;Technology
45,googleadservices.com,Advertisements
46,surfshark.com,CIPA Filter;Anonymizer
47,ui.com,Technology
48,twitter.com,Social Networks
49,grammarly.com,Artificial Intelligence;Hobbies & Interests
50,googletagmanager.com,Content Servers
51,bytefcdn-oversea.com,
52,amazon-adsystem.com,Advertisements
53,office.net,Content Servers
54,grammarly.io,Information Technology;Content Servers
55,opera.com,Technology
56,skype.com,Instant Messengers;Internet Phone & VOIP
57,windows.com,Information Technology
58,azure.com,Technology
59,amazon.com,Ecommerce
60,akamaized.net,Content Servers
61,bangcdn.net,Content Servers
62,app-measurement.com,APIs
63,gvt1.com,Content Servers
64,ggpht.com,Content Servers
65,linkedin.com,Professional Networking
66,whatsapp.com,Instant Messengers;Internet Phone & VOIP
67,msftncsi.com,Content Servers
68,unity3d.com,Gaming;Technology
69,dns.google,Information Technology
70,msftconnecttest.com,Content Servers
71,lencr.org,Information Technology
72,adnxs.com,Content Servers
73,fastly.net,Information Security;Information Technology;Technology
74,trafficmanager.net,Content Servers
75,criteo.com,Business
76,applovin.com,Gaming
77,appsflyersdk.com,Content Servers;APIs
78,cdninstagram.com,Content Servers
79,rubiconproject.com,Advertisements
80,twimg.com,Content Servers
81,digicert.com,Information Security
82,android.com,Technology
83,pubmatic.com,Business;Technology
84,office365.com,Technology
85,aliyuncs.com,Content Servers
86,roblox.com,Gaming;Safe for Kids
87,microsoftonline.com,Technology
88,qq.com,News & Media
89,appsflyer.com,Business;Technology
90,xnxx-cdn.com,CIPA Filter;Pornography
91,sportybet.com,Gambling;CIPA Filter;Sports
92,appcenter.ms,Technology
93,windowsupdate.com,Information Technology;Business
94,bytefcdn-ttpeu.com,Content Servers
95,facebook.net,Social Networks
96,a2z.com,Content Servers
97,pki.goog,Information Security
98,opayweb.com,Economy & Finance;Technology
99,rocket-cdn.com,Content Servers
100,ring.com,Business;Photography
