rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Personal Blogs
4,tiktokcdn.com,Content Servers;Social Networks
5,gstatic.com,Content Servers
6,tiktokv.com,Social Networks;Video Streaming
7,fbcdn.net,Social Networks
8,youtube.com,Video Streaming
9,instagram.com,Social Networks
10,microsoft.com,Information Technology;Business
11,doubleclick.net,Advertisements
12,googlevideo.com,Search Engines;Video Streaming
13,gvt2.com,Content Servers
14,ytimg.com,Content Servers
15,akamai.net,Content Servers
16,whatsapp.net,Instant Messengers;Internet Phone & VOIP
17,ttlivecdn.com,Content Servers
18,googleusercontent.com,Content Servers
19,apple.com,Information Technology;Technology
20,snapchat.com,Social Networks
21,cdn77.org,Content Servers
22,ggpht.com,Content Servers
23,cloudflare.com,Technology
24,googlesyndication.com,Search Engines;Advertisements
25,app-measurement.com,APIs
26,akadns.net,Content Servers
27,gvt1.com,Content Servers
28,bytefcdn-oversea.com,
29,applovin.com,Business;Technology
30,akamaiedge.net,Content Servers
31,viber.com,Instant Messengers;Internet Phone & VOIP
32,google.com.np,Search Engines
33,apple-dns.net,Content Servers
34,icloud.com,File Sharing;Content Servers
35,ntp.org,Technology;Government
36,cdninstagram.com,Content Servers
37,google-analytics.com,Business;Technology
38,appsflyersdk.com,Content Servers;APIs
39,bytefcdn-ttpeu.com,Content Servers
40,bing.com,Search Engines
41,android.com,Technology
42,vivoglobal.com,Technology
43,heytapdl.com,Content Servers
44,googletagmanager.com,Content Servers
45,googleadservices.com,Advertisements
46,pangle.io,Content Servers
47,qlivecdn.com,
48,rocket-cdn.com,Content Servers
49,cloudfront.net,Content Servers;Science;Technology
50,xiaomi.com,Technology
51,aaplimg.com,Information Technology;Content Servers;Technology
52,kzhi.tech,Content Servers
53,amazonaws.com,Technology
54,tiktokcdn-us.com,Content Servers
55,sc-cdn.net,Content Servers
56,amazon-adsystem.com,Advertisements
57,akamaized.net,Content Servers
58,ibyteimg.com,Content Servers
59,isnssdk.com,Content Servers
60,unity3d.com,Gaming;Technology
61,ampproject.org,Information Technology
62,byteglb.com,
63,imolive2.com,Content Servers
64,cloudflare-dns.com,Content Servers
65,xhcdn.com,Content Servers
66,piojm.tech,Technology
67,tsyndicate.com,Content Servers
68,allawnos.com,
69,byteoversea.com,Content Servers
70,fbpigeon.com,Social Networks
71,byteoversea.net,Content Servers
72,likee.video,Social Networks;Video Streaming
73,atomile.com,No Content
74,vungle.com,Business;Technology
75,pitaya-clientai.com,
76,miui.com,Technology
77,brave.com,Information Technology
78,heytapmobile.com,Content Servers
79,msn.com,News & Media
80,hamropatro.com,Technology
81,bigolive.tv,Video Streaming
82,crashlytics.com,Information Technology
83,fastly.net,Information Security;Information Technology;Technology
84,spotify.com,Audio Streaming
85,pullcm.com,Content Servers
86,fbsbx.com,Content Servers
87,v-mate.mobi,Gaming
88,facebook.net,Social Networks
89,startappservice.com,Advertisements
90,pki.goog,Information Security
91,wshareit.com,Content Servers
92,shalltry.com,Content Servers
93,netflix.com,Movies;Video Streaming
94,sharethis.com,Business
95,wsdvs.com,Content Servers
96,live.com,Technology;Webmail
97,yandex.ru,News & Media
98,app-analytics-services.com,Content Servers
99,office.com,Technology
100,pullcf.com,Content Servers
