rank,domain,categories
1,facebook.com,Social Networks
2,googleapis.com,Content Servers;Webmail
3,tiktokcdn.com,Content Servers;Social Networks
4,microsoft.com,Information Technology;Business
5,tiktokv.com,Social Networks;Video Streaming
6,google.com,Search Engines
7,office.com,Technology
8,office.net,Content Servers
9,gstatic.com,Content Servers
10,doubleclick.net,Advertisements
11,apple.com,Information Technology;Technology
12,office365.com,Technology
13,fbcdn.net,Social Networks
14,live.com,Technology;Webmail
15,instagram.com,Social Networks
16,sharepoint.com,File Sharing;Technology
17,ntp.org,Technology;Government
18,bing.com,Search Engines
19,akadns.net,Content Servers
20,pki.goog,Information Security
21,unity3d.com,Gaming;Technology
22,msftncsi.com,Content Servers
23,nr-data.net,Content Servers
24,msn.com,News & Media
25,akamaiedge.net,Content Servers
26,google-analytics.com,Business;Technology
27,azure.com,Technology
28,ui.com,Technology
29,spotify.com,Audio Streaming
30,youtube.com,Video Streaming
31,gvt2.com,Content Servers
32,skype.com,Instant Messengers;Internet Phone & VOIP
33,fbpigeon.com,Social Networks
34,cloudfront.net,Content Servers;Science;Technology
35,msedge.net,Content Servers
36,live.net,Content Servers
37,microsoftonline.com,Technology
38,apple-dns.net,Content Servers
39,icloud.com,File Sharing;Content Servers
40,amazonaws.com,Technology
41,outlook.com,Webmail
42,lencr.org,Information Technology
43,azureedge.net,Content Servers
44,bendigobank.com.au,Economy & Finance
45,aaplimg.com,Information Technology;Content Servers;Technology
46,digicert.com,Information Security
47,appcenter.ms,Technology
47,google.nr,Search Engines
49,cloudflare-dns.com,Content Servers
50,fastly.net,Information Security;Information Technology;Technology
51,googlesyndication.com,Search Engines;Advertisements
52,amazon-adsystem.com,Advertisements
53,akamai.net,Content Servers
54,grammarly.com,Artificial Intelligence;Hobbies & Interests
55,paloaltonetworks.com,Information Technology
56,windowsupdate.com,Information Technology;Business
57,yahoo.com,News & Media
58,windows.net,Technology
59,googleusercontent.com,Content Servers
59,byteoversea.net,Content Servers
61,1drv.com,File Sharing
62,netflix.com,Movies;Video Streaming
62,linkedin.com,Professional Networking
64,whatsapp.net,Instant Messengers;Internet Phone & VOIP
64,googletagmanager.com,Content Servers
66,google.cm,Search Engines
67,windows.com,Information Technology
68,imo.im,Instant Messengers
69,acrobat.com,Technology
70,ttlivecdn.com,Content Servers
71,trafficmanager.net,Content Servers
72,a-msedge.net,Content Servers
73,mcafee.com,Technology
74,westpac.com.au,Economy & Finance
74,sophos.com,Information Technology
76,sophosxl.net,Content Servers
77,msidentity.com,Information Technology
78,dropbox.com,File Sharing
79,edgekey.net,Information Technology;Content Servers;Shopping
80,mex.com.au,Business
80,google.com.sg,Search Engines
80,sophosupd.com,Content Servers
83,google.com.au,Search Engines
83,google.cv,Search Engines
85,azure-devices.net,Content Servers
85,google.com.co,Search Engines
87,ttdns2.com,
87,casalemedia.com,Advertisements
87,server-cpanel.com,
87,verisign.com,Information Technology
91,3lift.com,Business
91,pubmatic.com,Business;Technology
91,google.so,Search Engines
94,ntppool.org,Technology
94,google.ru,Search Engines
96,kabutoservices.com,Content Servers
96,google.mw,Search Engines
96,kaspersky.com,Technology
96,news.com.au,News & Media;Video Streaming
96,quantserve.com,Content Servers
96,svc.ms,Content Servers
