rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,office.com,Technology
6,facebook.com,Social Networks
7,apple.com,Information Technology;Technology
8,live.com,Technology;Webmail
9,doubleclick.net,Advertisements
10,office.net,Content Servers
11,amazonaws.com,Technology
12,bing.com,Search Engines
13,spotify.com,Audio Streaming
14,tiktokcdn.com,Content Servers;Social Networks
15,azure.com,Technology
16,akadns.net,Content Servers
17,googleusercontent.com,Content Servers
18,gvt2.com,Content Servers
19,akamai.net,Content Servers
20,apple-dns.net,Content Servers
21,msn.com,News & Media
22,office365.com,Technology
23,googlesyndication.com,Search Engines;Advertisements
24,akamaiedge.net,Content Servers
25,youtube.com,Video Streaming
26,sharepoint.com,File Sharing;Technology
27,microsoftonline.com,Technology
28,cloudfront.net,Content Servers;Science;Technology
29,googlevideo.com,Search Engines;Video Streaming
30,icloud.com,File Sharing;Content Servers
31,fbcdn.net,Social Networks
32,trafficmanager.net,Content Servers
33,skype.com,Instant Messengers;Internet Phone & VOIP
34,tiktokv.com,Social Networks;Video Streaming
35,nr-data.net,Content Servers
36,aaplimg.com,Information Technology;Content Servers;Technology
37,cloudflare.com,Technology
38,google-analytics.com,Business;Technology
39,ntp.org,Technology;Government
40,windows.net,Technology
41,instagram.com,Social Networks
42,googleadservices.com,Advertisements
43,netflix.com,Movies;Video Streaming
44,snapchat.com,Social Networks
45,yahoo.com,News & Media
46,windowsupdate.com,Information Technology;Business
47,google.co.nz,Search Engines
48,cdn77.org,Content Servers
49,ytimg.com,Content Servers
50,lencr.org,Information Technology
51,cloudflare-dns.com,Content Servers
52,googletagmanager.com,Content Servers
53,adnxs.com,Content Servers
54,fastly.net,Information Security;Information Technology;Technology
55,grammarly.com,Artificial Intelligence;Hobbies & Interests
56,dropbox.com,File Sharing
57,grammarly.io,Information Technology;Content Servers
58,outlook.com,Webmail
59,rubiconproject.com,Advertisements
60,linkedin.com,Professional Networking
61,launchdarkly.com,Business
62,amazon-adsystem.com,Advertisements
63,windows.com,Information Technology
64,akamaized.net,Content Servers
65,whatsapp.net,Instant Messengers;Internet Phone & VOIP
66,amazon.com,Ecommerce
67,ui.com,Technology
68,azureedge.net,Content Servers
69,pki.goog,Information Security
70,msftncsi.com,Content Servers
71,adobe.io,Business;Technology
72,casalemedia.com,Advertisements
73,pubmatic.com,Business;Technology
74,digicert.com,Information Security
75,imrworldwide.com,Content Servers
76,adobe.com,Technology
77,adsafeprotected.com,Advertisements
78,slack.com,Instant Messengers
79,criteo.com,Business
80,bytefcdn-oversea.com,
81,gmail.com,Webmail
82,demdex.net,Technology
83,ttlivecdn.com,Content Servers
84,msedge.net,Content Servers
85,msftconnecttest.com,Content Servers
86,openx.net,Advertisements
87,intercom.io,Technology
88,sentry.io,Business
89,taboola.com,Business;Advertisements
90,xero.com,Economy & Finance;Business
91,clarity.ms,Content Servers
92,ggpht.com,Content Servers
93,scdn.co,Content Servers
94,gvt1.com,Content Servers
95,app-measurement.com,APIs
96,visualstudio.com,Information Technology
97,smartadserver.com,Advertisements
98,scorecardresearch.com,Business
99,appcenter.ms,Technology
100,3lift.com,Business
