rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,cloudflare.com,Technology
7,cloudfront.net,Content Servers;Science;Technology
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,doubleclick.net,Advertisements
10,youtube.com,Video Streaming
11,gvt2.com,Content Servers
12,tiktokcdn.com,Content Servers;Social Networks
13,googlevideo.com,Search Engines;Video Streaming
14,bing.com,Search Engines
15,googlesyndication.com,Search Engines;Advertisements
16,tiktokv.com,Social Networks;Video Streaming
17,google.com.pe,Search Engines
18,googleusercontent.com,Content Servers
19,live.com,Technology;Webmail
20,spotify.com,Audio Streaming
21,fbcdn.net,Social Networks
22,ytimg.com,Content Servers
23,instagram.com,Social Networks
24,office.com,Technology
25,google-analytics.com,Business;Technology
26,googleadservices.com,Advertisements
27,amazonaws.com,Technology
28,cloudflare-dns.com,Content Servers
29,msn.com,News & Media
30,office.net,Content Servers
31,twitter.com,Social Networks
32,ggpht.com,Content Servers
33,whatsapp.com,Instant Messengers;Internet Phone & VOIP
34,amazon-adsystem.com,Advertisements
35,netflix.com,Movies;Video Streaming
36,linkedin.com,Professional Networking
37,googletagmanager.com,Content Servers
38,tiktok.com,Social Networks;Video Streaming;Advertisements
39,rubiconproject.com,Advertisements
40,akamaized.net,Content Servers
41,brave.com,Information Technology
42,roblox.com,Gaming;Safe for Kids
43,adnxs.com,Content Servers
44,pubmatic.com,Business;Technology
45,opera.com,Technology
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,yahoo.com,News & Media
48,criteo.com,Business
49,apple.com,Information Technology;Technology
50,microsoftonline.com,Technology
51,canva.com,Hobbies & Interests
52,smartadserver.com,Advertisements
53,scorecardresearch.com,Business
54,amazon.com,Ecommerce
55,ttlivecdn.com,Content Servers
56,dns.google,Information Technology
57,discord.com,Instant Messengers;Internet Phone & VOIP
58,akamai.net,Content Servers
59,clarity.ms,Content Servers
60,facebook.net,Social Networks
61,gd34fdldh.xyz,
62,demdex.net,Technology
63,3ghddf123d.com,
64,azureedge.net,Content Servers
65,rbxcdn.com,Content Servers
66,taboola.com,Business;Advertisements
67,2mdn.net,Content Servers
68,scdn.co,Content Servers
69,cdn77.org,Content Servers
70,twitch.tv,Video Streaming
71,casalemedia.com,Advertisements
72,nr-data.net,Content Servers
73,bidswitch.net,Technology
74,openx.net,Advertisements
75,ampproject.org,Information Technology
76,windows.com,Information Technology
77,akamaiedge.net,Content Servers
78,sunat.gob.pe,Politics, Advocacy, and Government-Related
79,gvt1.com,Content Servers
80,licdn.com,Content Servers
81,teads.tv,Advertisements
82,cdninstagram.com,Content Servers
83,sharepoint.com,File Sharing;Technology
84,adobe.com,Technology
85,fast.com,Information Technology
86,ntp.org,Technology;Government
87,3lift.com,Business
88,ttvnw.net,Video Streaming
89,nakheelteam.cc,Technology
90,office365.com,Technology
91,lijit.com,Business
92,akadns.net,Content Servers
93,avcdn.net,Content Servers
94,ad.gt,Advertisements
95,adform.net,Content Servers
96,mcafee.com,Technology
97,sentry.io,Business
98,epicgames.com,Ecommerce;Gaming
99,a-mo.net,Content Servers
100,outbrain.com,Business;Advertisements
