rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,akamai.net,Content Servers
4,cdn77.org,Content Servers
5,apple.com,Information Technology;Technology
6,google.com,Search Engines
7,tiktokv.com,Social Networks;Video Streaming
8,googleapis.com,Content Servers;Personal Blogs
9,akamaiedge.net,Content Servers
10,akadns.net,Content Servers
11,office.com,Technology
12,fbcdn.net,Social Networks
13,apple-dns.net,Content Servers
14,icloud.com,File Sharing;Content Servers
15,youtube.com,Video Streaming
16,gstatic.com,Content Servers
17,bytefcdn-oversea.com,
18,ttlivecdn.com,Content Servers
19,amazonaws.com,Technology
20,app-measurement.com,APIs
21,aaplimg.com,Information Technology;Content Servers;Technology
22,googlevideo.com,Search Engines;Video Streaming
23,rocket-cdn.com,Content Servers
24,netflix.com,Movies;Video Streaming
25,ttdns2.com,Content Servers
26,instagram.com,Social Networks
27,bytefcdn-ttpeu.com,Content Servers
28,google-analytics.com,Business;Technology
29,office365.com,Technology
30,igamecj.com,Content Servers
31,spotify.com,Audio Streaming
32,doubleclick.net,Advertisements
33,qlivecdn.com,
34,atomile.com,No Content
35,roblox.com,Gaming;Safe for Kids
36,googlesyndication.com,Search Engines;Advertisements
37,whatsapp.net,Instant Messengers;Internet Phone & VOIP
38,unity3d.com,Gaming;Technology
39,googleusercontent.com,Content Servers
40,microsoft.com,Information Technology;Business
41,app-analytics-services.com,Content Servers
42,amazon-adsystem.com,Advertisements
43,cloudflare.com,Technology
44,outlook.com,Webmail
45,snapchat.com,Social Networks
46,fastly.net,Information Security;Information Technology;Technology
47,pubmatic.com,Business;Technology
48,googletagmanager.com,Content Servers
49,ggpht.com,Content Servers
50,gvt2.com,Content Servers
51,byteoversea.net,Content Servers
52,wsdvs.com,Content Servers
53,applovin.com,Gaming
54,live.com,Technology;Webmail
55,bing.com,Search Engines
56,sentry.io,Business
57,byteglb.com,
58,sc-cdn.net,Content Servers
59,skype.com,Instant Messengers;Internet Phone & VOIP
60,ytimg.com,Content Servers
61,cdninstagram.com,Content Servers
62,msn.com,News & Media
63,azure.com,Technology
64,yahoo.com,News & Media
65,mzstatic.com,Information Technology;Technology
66,adnxs.com,Content Servers
67,brave.com,Information Technology
68,googleadservices.com,Advertisements
69,discord.com,Instant Messengers;Internet Phone & VOIP
70,rubiconproject.com,Advertisements
71,safebrowsing.apple,Content Servers
72,cloudfront.net,Content Servers;Science;Technology
73,pki.goog,Information Security
74,rbxcdn.com,Content Servers
75,amazon.com,Ecommerce
76,mtgglobals.com,Content Servers
77,akamaized.net,Content Servers
78,criteo.com,Business
79,tiktok.com,Social Networks;Video Streaming;Advertisements
80,dropbox.com,File Sharing
81,smartadserver.com,Advertisements
82,kaspersky.com,Technology
83,ntp.org,Technology;Government
84,azureedge.net,Content Servers
85,microsoftonline.com,Technology
86,outbrain.com,Business;Advertisements
87,linkedin.com,Professional Networking
88,quantserve.com,Content Servers
89,omnitagjs.com,Content Servers
90,teads.tv,Advertisements
91,gmail.com,Webmail
92,ampproject.org,Information Technology
93,twitter.com,Social Networks
94,bidswitch.net,Technology
95,lencr.org,Information Technology
96,3lift.com,Business
97,pbstck.com,No Content
98,mozilla.com,Information Technology
99,jsdelivr.net,Content Servers
100,ovscdns.net,Content Servers
