rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,fbcdn.net,Social Networks
8,gvt2.com,Content Servers
9,doubleclick.net,Advertisements
10,googlevideo.com,Search Engines;Video Streaming
11,apple.com,Information Technology;Technology
12,youtube.com,Video Streaming
13,live.com,Technology;Webmail
14,bing.com,Search Engines
15,spotify.com,Audio Streaming
16,tiktokv.com,Social Networks;Video Streaming
17,office.com,Technology
18,googleusercontent.com,Content Servers
19,googlesyndication.com,Search Engines;Advertisements
20,msn.com,News & Media
21,instagram.com,Social Networks
22,ytimg.com,Content Servers
23,amazonaws.com,Technology
24,akamai.net,Content Servers
25,cloudflare.com,Technology
26,roblox.com,Gaming;Safe for Kids
27,akadns.net,Content Servers
28,google-analytics.com,Business;Technology
29,cdn77.org,Content Servers
30,office.net,Content Servers
31,akamaiedge.net,Content Servers
32,skype.com,Instant Messengers;Internet Phone & VOIP
33,cloudflare-dns.com,Content Servers
34,shopee.ph,Ecommerce
35,mynt.xyz,
36,cloudfront.net,Content Servers;Science;Technology
37,grammarly.com,Artificial Intelligence;Hobbies & Interests
38,googleadservices.com,Advertisements
39,netflix.com,Movies;Video Streaming
40,apple-dns.net,Content Servers
41,google.com.ph,Search Engines
42,yahoo.com,News & Media
43,ttlivecdn.com,Content Servers
44,icloud.com,File Sharing;Content Servers
45,ggpht.com,Content Servers
46,grammarly.io,Information Technology;Content Servers
47,rbxcdn.com,Content Servers
48,akamaized.net,Content Servers
49,bytefcdn-oversea.com,
50,gvt1.com,Content Servers
51,amazon-adsystem.com,Advertisements
52,ntp.org,Technology;Government
53,appsflyer.com,Business;Technology
54,vivoglobal.com,Technology
55,viber.com,Instant Messengers;Internet Phone & VOIP
56,googletagmanager.com,Content Servers
57,aaplimg.com,Information Technology;Content Servers;Technology
58,microsoftonline.com,Technology
59,msedge.net,Content Servers
60,whatsapp.net,Instant Messengers;Internet Phone & VOIP
61,msftncsi.com,Content Servers
62,appsflyersdk.com,Content Servers;APIs
63,linkedin.com,Professional Networking
64,windowsupdate.com,Information Technology;Business
65,amazon.com,Ecommerce
66,lencr.org,Information Technology
67,qq.com,News & Media
68,heytapmobile.com,Content Servers
69,adnxs.com,Content Servers
70,azure.com,Technology
71,rubiconproject.com,Advertisements
72,byteoversea.com,Content Servers
73,app-measurement.com,APIs
74,windows.com,Information Technology
75,applovin.com,Gaming
76,dns.google,Information Technology
77,canva.com,Hobbies & Interests
78,taobao.com,Ecommerce
79,opera.com,Technology
80,allawnos.com,
81,msftconnecttest.com,Content Servers
82,fbsbx.com,Content Servers
83,unity3d.com,Gaming;Technology
84,bytefcdn-ttpeu.com,Content Servers
85,pubmatic.com,Business;Technology
86,messenger.com,Instant Messengers
87,tiktok.com,Social Networks;Video Streaming;Advertisements
88,shalltry.com,Content Servers
89,heytapdl.com,Content Servers
90,rocket-cdn.com,Content Servers
91,slack.com,Instant Messengers
92,shopeemobile.com,Ecommerce
93,sharepoint.com,File Sharing;Technology
94,baidu.com,Search Engines
95,gboxlab.com,Information Technology
96,cdninstagram.com,Content Servers
97,pangle.io,Content Servers
98,wsdvs.com,Content Servers
99,susercontent.com,Content Servers
100,office365.com,Technology
