rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,googlesyndication.com,Search Engines;Advertisements
8,apple.com,Information Technology;Technology
9,gvt2.com,Content Servers
10,youtube.com,Video Streaming
11,office.com,Technology
12,live.com,Technology;Webmail
13,googlevideo.com,Search Engines;Video Streaming
14,spotify.com,Audio Streaming
15,bing.com,Search Engines
16,googleusercontent.com,Content Servers
17,tiktokcdn.com,Content Servers;Social Networks
18,google-analytics.com,Business;Technology
19,amazonaws.com,Technology
20,akadns.net,Content Servers
21,googleadservices.com,Advertisements
22,akamaiedge.net,Content Servers
23,msn.com,News & Media
24,fbcdn.net,Social Networks
25,instagram.com,Social Networks
26,akamai.net,Content Servers
27,office.net,Content Servers
28,google.pl,Search Engines
29,adnxs.com,Content Servers
30,ytimg.com,Content Servers
31,tiktokv.com,Social Networks;Video Streaming
32,cloudfront.net,Content Servers;Science;Technology
33,apple-dns.net,Content Servers
34,azure.com,Technology
35,googletagmanager.com,Content Servers
36,amazon-adsystem.com,Advertisements
37,netflix.com,Movies;Video Streaming
38,criteo.com,Business
39,cloudflare.com,Technology
40,smartadserver.com,Advertisements
41,ntp.org,Technology;Government
42,cloudflare-dns.com,Content Servers
43,rubiconproject.com,Advertisements
44,onet.pl,News & Media;News, Portal & Search
45,whatsapp.net,Instant Messengers;Internet Phone & VOIP
46,icloud.com,File Sharing;Content Servers
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,wp.pl,News & Media
49,adform.net,Content Servers
50,lencr.org,Information Technology
51,pubmatic.com,Business;Technology
52,opera.com,Technology
53,casalemedia.com,Advertisements
54,cdn77.org,Content Servers
55,trafficmanager.net,Information Technology;Content Servers
56,creativecdn.com,Content Servers
57,windowsupdate.com,Information Technology;Business
58,microsoftonline.com,Technology
59,gemius.pl,Business;Technology
60,aaplimg.com,Information Technology;Content Servers;Technology
61,yahoo.com,News & Media
62,eset.com,Technology
63,ggpht.com,Content Servers
64,mozilla.com,Information Technology
65,pki.goog,Information Security
66,akamaized.net,Content Servers
67,openx.net,Advertisements
68,office365.com,Technology
69,ui.com,Technology
70,msftncsi.com,Content Servers
71,fastly.net,Information Security;Information Technology;Technology
72,gvt1.com,Content Servers
73,amazon.com,Ecommerce
74,facebook.net,Social Networks
75,clarity.ms,Content Servers
76,snapchat.com,Social Networks
77,2mdn.net,Content Servers
78,app-measurement.com,APIs
79,linkedin.com,Professional Networking
80,allegro.pl,Ecommerce
81,discord.com,Instant Messengers;Internet Phone & VOIP
82,criteo.net,Business
83,windows.com,Information Technology
84,connectad.io,Technology
85,msedge.net,Content Servers
86,azureedge.net,Content Servers
87,sharepoint.com,File Sharing;Technology
88,nr-data.net,Content Servers
89,mozilla.org,Technology
90,roblox.com,Gaming;Safe for Kids
91,epicgames.com,Ecommerce;Gaming
92,ttlivecdn.com,Content Servers
93,windows.net,Technology
94,bidswitch.net,Technology
95,msftconnecttest.com,Content Servers
96,digicert.com,Information Security
97,doubleverify.com,Business;Technology
98,pushpushgo.com,Advertisements
99,sharethrough.com,Business
100,cdninstagram.com,Content Servers
