rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,google.com,Search Engines
4,cdn77.org,Content Servers
5,tiktokv.com,Social Networks;Video Streaming
6,instagram.com,Social Networks
7,googleapis.com,Content Servers;Webmail
8,apple.com,Information Technology;Technology
9,akamai.net,Content Servers
10,snapchat.com,Social Networks
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,gstatic.com,Content Servers
13,fbcdn.net,Social Networks
14,bytefcdn-oversea.com,
15,ttlivecdn.com,Content Servers
16,akamaiedge.net,Content Servers
17,akadns.net,Content Servers
18,microsoft.com,Information Technology;Business
19,apple-dns.net,Content Servers
20,bytefcdn-ttpeu.com,Content Servers
21,sc-cdn.net,Content Servers
22,youtube.com,Video Streaming
23,icloud.com,File Sharing;Content Servers
24,googlevideo.com,Search Engines;Video Streaming
25,nakheelteam.cc,Technology
26,sc-gw.com,Content Servers
27,gvt2.com,Content Servers
28,rocket-cdn.com,Content Servers
29,ytimg.com,Content Servers
30,doubleclick.net,Advertisements
31,aaplimg.com,Information Technology;Content Servers;Technology
32,cloudflare.com,Technology
33,googleusercontent.com,Content Servers
34,byteoversea.net,Content Servers
35,appsflyersdk.com,Content Servers;APIs
36,qlivecdn.com,
37,atomile.com,No Content
38,amazonaws.com,Technology
39,ggpht.com,Content Servers
40,app-analytics-services.com,Content Servers
41,pki.goog,Information Security
42,bing.com,Search Engines
43,wsdvs.com,Content Servers
44,ttdns2.com,
45,fastly.net,Information Security;Information Technology;Technology
46,googlesyndication.com,Search Engines;Advertisements
47,cdninstagram.com,Content Servers
48,office.com,Technology
49,google-analytics.com,Business;Technology
50,app-measurement.com,APIs
51,live.com,Technology;Webmail
52,cloudfront.net,Content Servers;Science;Technology
53,unity3d.com,Gaming;Technology
54,byteglb.com,
55,applovin.com,Gaming
56,sc-prod.net,Content Servers
57,spotify.com,Audio Streaming
58,gvt1.com,Content Servers
59,google.ps,Search Engines
60,googleadservices.com,Advertisements
61,googletagmanager.com,Content Servers
62,tiktokcdn-us.com,Content Servers
63,bytetcdn.com,Content Servers
64,igamecj.com,Content Servers
65,cdn-apple.com,Content Servers
66,yahoo.com,News & Media
67,amazon-adsystem.com,Advertisements
68,ovscdns.net,Content Servers
69,msn.com,News & Media
70,fbsbx.com,Content Servers
71,twimg.com,Content Servers
72,gmail.com,Webmail
73,ttoverseaus.net,Content Servers
74,safebrowsing.apple,Content Servers
75,cloudflare-dns.com,Content Servers
76,digicert.com,Information Security
77,netflix.com,Movies;Video Streaming
78,ntp.org,Technology;Government
79,mzstatic.com,Information Technology;Technology
80,gcdn.co,Content Servers
81,akamaized.net,Content Servers
82,skype.com,Instant Messengers;Internet Phone & VOIP
83,microsoftonline.com,Technology
84,android.com,Technology
85,office365.com,Technology
86,pangle.io,Content Servers
87,mncdn.com,Content Servers
88,crashlytics.com,Information Technology
89,one.one,Information Technology
90,shalltry.com,Content Servers
91,roblox.com,Gaming;Safe for Kids
92,appcenter.ms,Technology
93,appsflyer.com,Business;Technology
94,amazon.com,Ecommerce
95,azure.com,Technology
96,office.net,Content Servers
97,mtgglobals.com,Content Servers
98,twitter.com,Social Networks
99,msftconnecttest.com,Content Servers
100,whatsapp.com,Instant Messengers;Internet Phone & VOIP
