rank,domain,categories
1,google.com,Search Engines
2,tiktokcdn.com,Content Servers;Social Networks
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,cloudfront.net,Content Servers;Science;Technology
9,instagram.com,Social Networks
10,apple.com,Information Technology;Technology
11,netflix.com,Movies;Video Streaming
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,googlevideo.com,Search Engines;Video Streaming
14,amazon.com,Ecommerce
15,youtube.com,Video Streaming
16,ttlivecdn.com,Content Servers
17,doubleclick.net,Advertisements
18,gvt2.com,Content Servers
19,3ghddf123d.com,
20,cdn77.org,Content Servers
21,akamai.net,Content Servers
22,spotify.com,Audio Streaming
23,fbcdn.net,Social Networks
24,cloudflare-dns.com,Content Servers
25,gd34fdldh.xyz,
26,googleusercontent.com,Content Servers
27,ntp.org,Technology;Government
28,cloudflare.com,Technology
29,ytimg.com,Content Servers
30,bing.com,Search Engines
31,akadns.net,Content Servers
32,akamaiedge.net,Content Servers
33,live.com,Technology;Webmail
34,adg96kda3f.xyz,
35,baidu.com,Search Engines
36,googlesyndication.com,Search Engines;Advertisements
37,amazonaws.com,Technology
38,windows.com,Information Technology
39,office.com,Technology
40,bytefcdn-oversea.com,
41,icloud.com,File Sharing;Content Servers
42,msn.com,News & Media
43,roblox.com,Gaming;Safe for Kids
44,apple-dns.net,Content Servers
45,haddf523dd.com,Newly Seen Domains
46,epicgames.com,Ecommerce;Gaming
47,unity3d.com,Gaming;Technology
48,googleadservices.com,Advertisements
49,xiaomi.com,Technology
50,rbxcdn.com,Content Servers
51,google.com.py,Search Engines
52,dns.google,Information Technology
53,ggpht.com,Content Servers
54,whatsapp.com,Instant Messengers;Internet Phone & VOIP
55,google-analytics.com,Business;Technology
56,appsflyersdk.com,Content Servers;APIs
57,snapchat.com,Social Networks
58,nflxso.net,Content Servers
59,miui.com,Technology
60,ui.com,Technology
61,applovin.com,Gaming
62,pangle.io,Content Servers
63,playstation.net,Gaming
64,amazon-adsystem.com,Advertisements
65,bytefcdn-ttpeu.com,Content Servers
66,wikipedia.org,Education
67,aaplimg.com,Information Technology;Content Servers;Technology
68,akamaized.net,Content Servers
69,skype.com,Instant Messengers;Internet Phone & VOIP
70,rocket-cdn.com,Content Servers
71,windowsupdate.com,Information Technology;Business
72,android.com,Technology
73,mtgglobals.com,Content Servers
74,cdninstagram.com,Content Servers
75,blockdh100b.net,
76,a2z.com,Content Servers
77,app-measurement.com,APIs
78,yahoo.com,News & Media
79,blockdh100c.co,
80,gvt1.com,Content Servers
81,googletagmanager.com,Content Servers
82,vungle.com,Business;Technology
83,bamgrid.com,Content Servers
84,hddbdfd7vo.com,Newly Seen Domains
85,linkedin.com,Professional Networking
86,twitter.com,Social Networks
87,avcdn.net,Content Servers
88,lencr.org,Information Technology
89,k7121rf.click,CIPA Filter;DGA Domains
90,965gkff.xyz,
91,avast.com,Technology
92,adnxs.com,Content Servers
93,tiktokcdn-us.com,Content Servers
94,qlivecdn.com,
95,adkld164sf.online,
96,wsdvs.com,Content Servers
97,brave.com,Information Technology
98,taobao.com,Ecommerce
99,bv2fgdsdjgb.com,Newly Seen Domains
100,rubiconproject.com,Advertisements
