rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,facebook.com,Social Networks
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,tiktokcdn.com,Content Servers;Social Networks
7,microsoft.com,Information Technology;Business
8,youtube.com,Video Streaming
9,tiktokv.com,Social Networks;Video Streaming
10,fbcdn.net,Social Networks
11,akamaiedge.net,Content Servers
12,googlevideo.com,Search Engines;Video Streaming
13,akadns.net,Content Servers
14,apple-dns.net,Content Servers
15,whatsapp.net,Instant Messengers;Internet Phone & VOIP
16,ytimg.com,Content Servers
17,snapchat.com,Social Networks
18,akamai.net,Content Servers
19,office.com,Technology
20,icloud.com,File Sharing;Content Servers
21,cdn77.org,Content Servers
22,aaplimg.com,Information Technology;Content Servers;Technology
23,amazonaws.com,Technology
24,bing.com,Search Engines
25,live.com,Technology;Webmail
26,doubleclick.net,Advertisements
27,googlesyndication.com,Search Engines;Advertisements
28,gvt2.com,Content Servers
29,instagram.com,Social Networks
30,msn.com,News & Media
31,bytefcdn-oversea.com,
32,ttlivecdn.com,Content Servers
33,googleusercontent.com,Content Servers
34,cloudflare.com,Technology
35,app-analytics-services.com,Content Servers
36,spotify.com,Audio Streaming
37,google-analytics.com,Business;Technology
38,office.net,Content Servers
39,office365.com,Technology
40,cdninstagram.com,Content Servers
41,cloudfront.net,Content Servers;Science;Technology
42,netflix.com,Movies;Video Streaming
43,fastly.net,Information Security;Information Technology;Technology
44,app-measurement.com,APIs
45,criteo.com,Business
46,bytefcdn-ttpeu.com,Content Servers
47,akamaized.net,Content Servers
48,amazon-adsystem.com,Advertisements
49,sc-cdn.net,Content Servers
50,rubiconproject.com,Advertisements
51,discord.com,Instant Messengers;Internet Phone & VOIP
52,microsoftonline.com,Technology
53,lencr.org,Information Technology
54,azure.com,Technology
55,googleadservices.com,Advertisements
56,sc-gw.com,Content Servers
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,epicgames.com,Ecommerce;Gaming
59,cloudflare-dns.com,Content Servers
60,googletagmanager.com,Content Servers
61,ggpht.com,Content Servers
62,ui.com,Technology
63,msftncsi.com,Content Servers
64,yahoo.com,News & Media
65,unity3d.com,Gaming;Technology
66,smartadserver.com,Advertisements
67,brave.com,Information Technology
68,digicert.com,Information Security
69,taboola.com,Business;Advertisements
70,roblox.com,Gaming;Safe for Kids
71,pki.goog,Information Security
72,discord.gg,Information Technology;Instant Messengers
73,azureedge.net,Content Servers
74,outbrain.com,Business;Advertisements
75,twimg.com,Content Servers
76,adnxs.com,Content Servers
77,privacy-center.org,Content Servers
78,atomile.com,No Content
79,msftconnecttest.com,Content Servers
80,outlook.com,Webmail
81,trafficmanager.net,Information Technology;Content Servers
82,aliexpress.com,Ecommerce
83,mzstatic.com,Information Technology;Technology
84,pbstck.com,No Content
85,3lift.com,Business
86,facebook.net,Social Networks
87,opera.com,Technology
88,twitter.com,Social Networks
89,windowsupdate.com,Information Technology;Business
90,avast.com,Technology
91,sharepoint.com,File Sharing;Technology
92,gmail.com,Webmail
93,msedge.net,Content Servers
94,ntp.org,Technology;Government
95,canva.com,Hobbies & Interests
96,pubmatic.com,Business;Technology
97,ampproject.org,Information Technology
98,rocket-cdn.com,Content Servers
99,scdn.co,Content Servers
100,appsflyersdk.com,Content Servers;APIs
