rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,cloudflare.com,Technology
6,facebook.com,Social Networks
7,doubleclick.net,Advertisements
8,apple.com,Information Technology;Technology
9,bing.com,Search Engines
10,youtube.com,Video Streaming
11,instagram.com,Social Networks
12,googlesyndication.com,Search Engines;Advertisements
13,gvt2.com,Content Servers
14,tiktokcdn.com,Content Servers;Social Networks
15,office.com,Technology
16,live.com,Technology;Webmail
17,akadns.net,Content Servers
18,googleusercontent.com,Content Servers
19,akamaiedge.net,Content Servers
20,amazonaws.com,Technology
21,googlevideo.com,Search Engines;Video Streaming
22,akamai.net,Content Servers
23,viber.com,Instant Messengers;Internet Phone & VOIP
24,google-analytics.com,Business;Technology
25,fbcdn.net,Social Networks
26,azure.com,Technology
27,spotify.com,Audio Streaming
28,ytimg.com,Content Servers
29,fast.com,Information Technology
30,cloudfront.net,Content Servers;Science;Technology
31,tiktokv.com,Social Networks;Video Streaming
32,ntp.org,Technology;Government
33,googleadservices.com,Advertisements
34,icloud.com,File Sharing;Content Servers
35,linkedin.com,Professional Networking
36,whatsapp.net,Instant Messengers;Internet Phone & VOIP
37,google.rs,Search Engines
38,skype.com,Instant Messengers;Internet Phone & VOIP
39,apple-dns.net,Content Servers
40,googletagmanager.com,Content Servers
41,msn.com,News & Media
42,yahoo.com,News & Media
43,amazon-adsystem.com,Advertisements
44,rubiconproject.com,Advertisements
45,criteo.com,Business
46,office.net,Content Servers
47,trafficmanager.net,Content Servers
48,aaplimg.com,Information Technology;Content Servers;Technology
49,office365.com,Technology
50,clarity.ms,Content Servers
51,ggpht.com,Content Servers
52,casalemedia.com,Advertisements
53,snapchat.com,Social Networks
54,lencr.org,Information Technology
55,fastly.net,Information Security;Information Technology;Technology
56,adnxs.com,Content Servers
57,cdn77.org,Content Servers
58,cloudflare-dns.com,Content Servers
59,netflix.com,Movies;Video Streaming
60,twitter.com,Social Networks
61,windowsupdate.com,Information Technology;Business
62,slack.com,Instant Messengers
63,amazon.com,Ecommerce
64,msedge.net,Content Servers
65,pubmatic.com,Business;Technology
66,facebook.net,Social Networks
67,pki.goog,Information Security
68,yandex.ru,News & Media
69,adform.net,Content Servers
70,microsoftonline.com,Technology
71,msftncsi.com,Content Servers
72,brave.com,Information Technology
73,ttlivecdn.com,Content Servers
74,openx.net,Advertisements
75,azureedge.net,Content Servers
76,discord.com,Instant Messengers;Internet Phone & VOIP
77,yandex.net,News & Media
78,sharepoint.com,File Sharing;Technology
79,licdn.com,Content Servers
80,gemius.pl,Business;Technology
81,smartadserver.com,Advertisements
82,windows.com,Information Technology
83,2mdn.net,Content Servers
84,akamaized.net,Content Servers
85,digicert.com,Information Security
86,grammarly.io,Information Technology;Content Servers
87,outlook.com,Webmail
88,bytefcdn-oversea.com,
89,mozilla.com,Information Technology
90,jsdelivr.net,Content Servers
91,3lift.com,Business
92,lijit.com,Business
93,cdninstagram.com,Content Servers
94,gvt1.com,Content Servers
95,nr-data.net,Content Servers
96,criteo.net,Business
97,twimg.com,Content Servers
98,dns.google,Information Technology
99,grammarly.com,Artificial Intelligence;Hobbies & Interests
100,github.com,Technology
