rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,youtube.com,Video Streaming
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,instagram.com,Social Networks
11,doubleclick.net,Advertisements
12,fbcdn.net,Social Networks
13,gvt2.com,Content Servers
14,ytimg.com,Content Servers
15,googlevideo.com,Search Engines;Video Streaming
16,apple.com,Information Technology;Technology
17,googleusercontent.com,Content Servers
18,cloudflare.com,Technology
19,live.com,Technology;Webmail
20,cdn77.org,Content Servers
21,office.com,Technology
22,akamaiedge.net,Content Servers
23,akamai.net,Content Servers
24,akadns.net,Content Servers
25,snapchat.com,Social Networks
26,google-analytics.com,Business;Technology
27,googleadservices.com,Advertisements
28,bing.com,Search Engines
29,icloud.com,File Sharing;Content Servers
30,googlesyndication.com,Search Engines;Advertisements
31,ggpht.com,Content Servers
32,skype.com,Instant Messengers;Internet Phone & VOIP
33,google.rw,Search Engines
34,spotify.com,Audio Streaming
35,amazonaws.com,Technology
36,aaplimg.com,Information Technology;Content Servers;Technology
37,cloudflare-dns.com,Content Servers
38,gvt1.com,Content Servers
39,apple-dns.net,Content Servers
40,googletagmanager.com,Content Servers
41,msn.com,News & Media
42,yahoo.com,News & Media
43,cdninstagram.com,Content Servers
44,amazon-adsystem.com,Advertisements
45,cloudfront.net,Content Servers;Science;Technology
46,akamaized.net,Content Servers
47,twitter.com,Social Networks
48,netflix.com,Movies;Video Streaming
49,grammarly.com,Artificial Intelligence;Hobbies & Interests
50,bytefcdn-oversea.com,
51,shalltry.com,Content Servers
52,azure.com,Technology
53,app-measurement.com,APIs
54,tiktok.com,Social Networks;Video Streaming;Advertisements
55,xnxx-cdn.com,CIPA Filter;Pornography
56,msftncsi.com,Content Servers
57,office.net,Content Servers
58,amazon.com,Ecommerce
59,linkedin.com,Professional Networking
60,microsoftonline.com,Technology
61,whatsapp.com,Instant Messengers;Internet Phone & VOIP
62,xvideos-cdn.com,CIPA Filter;Pornography
63,twimg.com,Content Servers
64,ttlivecdn.com,Content Servers
65,pubmatic.com,Business;Technology
66,smartadserver.com,Advertisements
67,facebook.net,Social Networks
68,openx.net,Advertisements
69,azureedge.net,Content Servers
70,criteo.com,Business
71,opera.com,Technology
72,ui.com,Technology
73,rubiconproject.com,Advertisements
74,ampproject.org,Information Technology
75,statuspage.io,Technology
76,msftconnecttest.com,Content Servers
77,trafficmanager.net,Information Technology;Content Servers
78,sharepoint.com,File Sharing;Technology
79,adnxs.com,Content Servers
80,sportradar.com,Sports
81,clarity.ms,Content Servers
82,fastly.net,Information Security;Information Technology;Technology
83,t.co,Redirect;Social Networks
84,bytefcdn-ttpeu.com,Content Servers
85,grammarly.io,Information Technology;Content Servers
86,xvideos.com,CIPA Filter;Nudity;Pornography
87,windows.com,Information Technology
88,byteoversea.net,Content Servers
89,ntp.org,Technology;Government
90,avcdn.net,Content Servers
91,scorecardresearch.com,Business
92,rocket-cdn.com,Content Servers
93,chatgpt.com,Artificial Intelligence;Chat
94,livescore.com,Sports
95,one.one,Information Technology
96,taboola.com,Business;Advertisements
97,sc-cdn.net,Content Servers
98,quantserve.com,Content Servers
99,sharethis.com,Business
100,googlezip.net,
