rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Webmail
4,google.com,Search Engines
5,tiktokv.com,Social Networks;Video Streaming
6,gstatic.com,Content Servers
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,apple.com,Information Technology;Technology
9,akamai.net,Content Servers
10,fbcdn.net,Social Networks
11,instagram.com,Social Networks
12,googlevideo.com,Search Engines;Video Streaming
13,ttlivecdn.com,Content Servers
14,doubleclick.net,Advertisements
15,microsoft.com,Information Technology;Business
16,cdn77.org,Content Servers
17,akadns.net,Content Servers
18,youtube.com,Video Streaming
19,googleusercontent.com,Content Servers
20,googlesyndication.com,Search Engines;Advertisements
21,snapchat.com,Social Networks
22,app-measurement.com,APIs
23,applovin.com,Gaming
24,gvt2.com,Content Servers
25,akamaiedge.net,Content Servers
26,icloud.com,File Sharing;Content Servers
27,bytefcdn-oversea.com,
28,ytimg.com,Content Servers
29,appcenter.ms,Technology
30,ntp.org,Technology
31,vungle.com,Business;Technology
32,pangle.io,Content Servers
33,google-analytics.com,Business;Technology
34,apple-dns.net,Content Servers
35,appsflyersdk.com,Content Servers
36,flurry.com,Business;Technology
37,cloudfront.net,Content Servers;Science;Technology
38,amazonaws.com,Technology
39,bing.com,Search Engines
40,gvt1.com,Content Servers
41,aaplimg.com,Information Technology;Content Servers;Technology
42,byteoversea.net,Content Servers
43,hicloud.com,File Sharing
44,rocket-cdn.com,Content Servers
45,appsflyer.com,Business;Technology
46,cdninstagram.com,Content Servers
47,unity3d.com,Gaming;Technology
48,qq.com,News & Media
49,dbankcloud.com,Technology
50,wshareit.com,Content Servers
51,mtgglobals.com,Content Servers
52,amazon-adsystem.com,Advertisements
53,kzhi.tech,Content Servers
54,pullcm.com,Content Servers
55,isnssdk.com,Content Servers
56,tiktokcdn-us.com,Content Servers
57,beyla.site,Content Servers
58,gmail.com,Webmail
59,googletagmanager.com,Content Servers
60,xnxx-cdn.com,CIPA Filter;Pornography
61,twitter.com,Social Networks
62,netflix.com,Movies;Video Streaming
63,cloudflare-dns.com,Content Servers
64,linkedin.com,Professional Networking
65,msn.com,News & Media
66,whatsapp.com,Instant Messengers;Internet Phone & VOIP
67,digicert.com,Information Security
68,pitaya-clientai.com,
69,sc-cdn.net,Content Servers
70,yandex.net,News & Media
71,bytefcdn-ttpeu.com,Content Servers
72,android.com,Technology
73,atomile.com,No Content
74,fastly.net,Information Security;Information Technology;Technology
75,ampproject.org,Information Technology
76,skype.com,Instant Messengers;Internet Phone & VOIP
77,cloudflare.com,Technology
78,snaptube.app,Content Servers
79,byteoversea.com,Content Servers
80,googleadservices.com,Advertisements
81,byteglb.com,
82,allawnos.com,
83,crashlytics.com,Information Technology
84,qlivecdn.com,
85,dns.google,Information Technology
86,bigolive.tv,Video Streaming
87,igamecj.com,Content Servers
88,twimg.com,Content Servers
89,dbankcloud.cn,Technology
90,imolive2.com,Content Servers
91,lookep.com,Parked & For Sale Domains
92,likee.video,Social Networks;Video Streaming
93,xiaomi.com,Technology
94,pki.goog,Information Security
95,samsungcloud.com,Content Servers
96,pullcf.com,Content Servers
97,tdatamaster.com,
98,umeng.com,Technology
99,office365.com,Technology
100,office.com,Technology
