rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,amazonaws.com,Technology
9,doubleclick.net,Advertisements
10,office.com,Technology
11,live.com,Technology;Webmail
12,youtube.com,Video Streaming
13,gvt2.com,Content Servers
14,googlevideo.com,Search Engines;Video Streaming
15,whatsapp.net,Instant Messengers;Internet Phone & VOIP
16,bing.com,Search Engines
17,googleusercontent.com,Content Servers
18,azure.com,Technology
19,cloudflare.com,Technology
20,fbcdn.net,Social Networks
21,qq.com,News & Media
22,akadns.net,Content Servers
23,tiktokv.com,Social Networks;Video Streaming
24,googlesyndication.com,Search Engines;Advertisements
25,instagram.com,Social Networks
26,akamaiedge.net,Content Servers
27,ntp.org,Technology;Government
28,akamai.net,Content Servers
29,cloudfront.net,Content Servers;Science;Technology
30,icloud.com,File Sharing;Content Servers
31,google-analytics.com,Business;Technology
32,office.net,Content Servers
33,spotify.com,Audio Streaming
34,yahoo.com,News & Media
35,msn.com,News & Media
36,apple-dns.net,Content Servers
37,trafficmanager.net,Information Technology;Content Servers
38,ytimg.com,Content Servers
39,cloudflare-dns.com,Content Servers
40,microsoftonline.com,Technology
41,windows.net,Technology
42,lencr.org,Information Technology
43,googletagmanager.com,Content Servers
44,googleadservices.com,Advertisements
45,office365.com,Technology
46,douyincdn.com,Content Servers
47,baidu.com,Search Engines
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,amazon.com,Ecommerce
50,gvt1.com,Content Servers
51,windows.com,Information Technology
52,cdn77.org,Content Servers
53,linkedin.com,Professional Networking
54,windowsupdate.com,Information Technology;Business
55,amazon-adsystem.com,Advertisements
56,aaplimg.com,Information Technology;Content Servers;Technology
57,github.com,Technology
58,akamaized.net,Content Servers
59,twitter.com,Social Networks
60,sharepoint.com,File Sharing;Technology
61,grammarly.com,Artificial Intelligence;Hobbies & Interests
62,dns.google,Information Technology
63,cdninstagram.com,Content Servers
64,msftncsi.com,Content Servers
65,gmail.com,Webmail
66,msedge.net,Content Servers
67,taobao.com,Ecommerce
68,rubiconproject.com,Advertisements
69,ggpht.com,Content Servers
70,app-measurement.com,APIs
71,aliyuncs.com,Content Servers
72,clarity.ms,Content Servers
73,adnxs.com,Content Servers
74,outlook.com,Webmail
75,digicert.com,Information Security
76,msftconnecttest.com,Content Servers
77,fastly.net,Information Security;Information Technology;Technology
78,ttlivecdn.com,Content Servers
79,chatgpt.com,Artificial Intelligence;Chat
80,xiaomi.com,Technology
81,pubmatic.com,Business;Technology
82,alicdn.com,Content Servers
83,criteo.com,Business
84,facebook.net,Social Networks
85,twimg.com,Content Servers
86,sentry.io,Business
87,telegram.org,Instant Messengers
88,whatsapp.com,Instant Messengers;Internet Phone & VOIP
89,grammarly.io,Information Technology;Content Servers
90,ubuntu.com,Technology
91,netflix.com,Movies;Video Streaming
92,githubusercontent.com,Technology
93,mozilla.com,Information Technology
94,miui.com,Technology
95,azureedge.net,Content Servers
96,appsflyersdk.com,Content Servers;APIs
97,google.com.sg,Search Engines
98,nr-data.net,Content Servers
99,tiktok.com,Social Networks;Video Streaming;Advertisements
100,applovin.com,Business;Technology
