rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,gvt2.com,Content Servers
8,googlesyndication.com,Search Engines;Advertisements
9,apple.com,Information Technology;Technology
10,youtube.com,Video Streaming
11,office.com,Technology
12,googleadservices.com,Advertisements
13,live.com,Technology;Webmail
14,googleusercontent.com,Content Servers
15,bing.com,Search Engines
16,spotify.com,Audio Streaming
17,cloudflare.com,Technology
18,google-analytics.com,Business;Technology
19,tiktokcdn.com,Content Servers;Social Networks
20,akadns.net,Content Servers
21,googlevideo.com,Search Engines;Video Streaming
22,instagram.com,Social Networks
23,akamaiedge.net,Content Servers
24,fbcdn.net,Social Networks
25,amazonaws.com,Technology
26,msn.com,News & Media
27,akamai.net,Content Servers
28,icloud.com,File Sharing;Content Servers
29,azure.com,Technology
30,adnxs.com,Content Servers
31,tiktokv.com,Social Networks;Video Streaming
32,ntp.org,Technology;Government
33,rubiconproject.com,Advertisements
34,googletagmanager.com,Content Servers
35,ytimg.com,Content Servers
36,criteo.com,Business
37,apple-dns.net,Content Servers
38,cloudfront.net,Content Servers;Science;Technology
39,google.sk,Search Engines
40,amazon-adsystem.com,Advertisements
41,pubmatic.com,Business;Technology
42,adform.net,Content Servers
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,lencr.org,Information Technology
45,netflix.com,Movies;Video Streaming
46,office.net,Content Servers
47,whatsapp.net,Instant Messengers;Internet Phone & VOIP
48,eset.com,Technology
49,aaplimg.com,Information Technology;Content Servers;Technology
50,trafficmanager.net,Content Servers
51,cloudflare-dns.com,Content Servers
52,yahoo.com,News & Media
53,smartadserver.com,Advertisements
54,cdn77.org,Content Servers
55,windowsupdate.com,Information Technology;Business
56,microsoftonline.com,Technology
57,casalemedia.com,Advertisements
58,ui.com,Technology
59,office365.com,Technology
60,gvt1.com,Content Servers
61,snapchat.com,Social Networks
62,app-measurement.com,APIs
63,taboola.com,Business;Advertisements
64,viber.com,Instant Messengers;Internet Phone & VOIP
65,facebook.net,Social Networks
66,2mdn.net,Content Servers
67,pki.goog,Information Security
68,azureedge.net,Content Servers
69,teads.tv,Advertisements
70,digicert.com,Information Security
71,fastly.net,Information Security;Information Technology;Technology
72,linkedin.com,Professional Networking
73,akamaized.net,Content Servers
74,amazon.com,Ecommerce
75,creativecdn.com,Content Servers
76,clarity.ms,Content Servers
77,gemius.pl,Business;Technology
78,ggpht.com,Content Servers
79,ttlivecdn.com,Content Servers
80,msftncsi.com,Content Servers
81,mozilla.com,Information Technology
82,criteo.net,Business
83,zoznam.sk,News & Media
84,opera.com,Technology
85,msedge.net,Content Servers
86,openx.net,Advertisements
87,windows.com,Information Technology
88,hotjar.com,Business;Technology
89,bytefcdn-oversea.com,
90,3lift.com,Business
91,adsafeprotected.com,Advertisements
92,roblox.com,Gaming;Safe for Kids
93,sharepoint.com,File Sharing;Technology
94,gmail.com,Webmail
95,avcdn.net,Content Servers
96,sme.sk,News & Media
97,fastly-edge.com,Content Servers
98,brave.com,Information Technology
99,jsdelivr.net,Content Servers
100,bidswitch.net,Technology
