rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,tiktokv.com,Social Networks;Video Streaming
3,facebook.com,Social Networks
4,google.com,Search Engines
5,googleapis.com,Content Servers;Personal Blogs
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,akamai.net,Content Servers
8,cdn77.org,Content Servers
9,ttlivecdn.com,Content Servers
10,gstatic.com,Content Servers
11,apple.com,Information Technology;Technology
12,snapchat.com,Social Networks
13,youtube.com,Video Streaming
14,fbcdn.net,Social Networks
15,akadns.net,Content Servers
16,bytefcdn-oversea.com,
17,akamaiedge.net,Content Servers
18,ytimg.com,Content Servers
19,apple-dns.net,Content Servers
20,googleusercontent.com,Content Servers
21,googlevideo.com,Search Engines;Video Streaming
22,gvt2.com,Content Servers
23,microsoft.com,Information Technology;Business
24,doubleclick.net,Advertisements
25,instagram.com,Social Networks
26,sc-cdn.net,Content Servers
27,app-measurement.com,APIs
28,aaplimg.com,Information Technology;Content Servers;Technology
29,bytefcdn-ttpeu.com,Content Servers
30,rocket-cdn.com,Content Servers
31,atomile.com,No Content
32,icloud.com,File Sharing;Content Servers
33,tiktokcdn-us.com,Content Servers
34,fastly.net,Information Security;Information Technology;Technology
35,amazonaws.com,Technology
36,wsdvs.com,Content Servers
37,qlivecdn.com,
38,appsflyersdk.com,Content Servers;APIs
39,byteoversea.net,Content Servers
40,googlesyndication.com,Search Engines;Advertisements
41,ggpht.com,Content Servers
42,unity3d.com,Gaming;Technology
43,applovin.com,Gaming
44,byteglb.com,
45,sc-gw.com,Content Servers
46,cloudflare.com,Technology
47,cloudfront.net,Content Servers;Science;Technology
48,google-analytics.com,Business;Technology
49,bing.com,Search Engines
50,ntp.org,Technology;Government
51,ovscdns.net,Content Servers
52,pki.goog,Information Security
53,google.so,Search Engines
54,googleadservices.com,Advertisements
55,cloudflare-dns.com,Content Servers
56,app-analytics-services.com,Content Servers
57,whatsapp.com,Instant Messengers;Internet Phone & VOIP
58,amazon-adsystem.com,Advertisements
59,netflix.com,Movies;Video Streaming
60,android.com,Technology
61,cdninstagram.com,Content Servers
62,office.com,Technology
63,pitaya-clientai.com,
64,twitter.com,Social Networks
65,v-mate.mobi,Gaming
66,vungle.com,Business;Technology
67,bytetcdn.com,Content Servers
68,gvt1.com,Content Servers
69,googletagmanager.com,Content Servers
70,isnssdk.com,Content Servers
71,skype.com,Instant Messengers;Internet Phone & VOIP
72,live.com,Technology;Webmail
73,ttdns2.com,Content Servers
74,yahoo.com,News & Media
75,crashlytics.com,Information Technology
76,twimg.com,Content Servers
77,ttoverseaus.net,Content Servers
78,pangle.io,Content Servers
79,dns.google,Information Technology
80,appsflyer.com,Business;Technology
81,digicert.com,Information Security
82,akamaized.net,Content Servers
83,samsung.com,Home & Garden;Technology
84,tiktokv.us,Content Servers
85,appcenter.ms,Technology
86,inmobi.com,Business
87,msn.com,News & Media
88,mtgglobals.com,Content Servers
89,gmail.com,Webmail
90,cdn-apple.com,Content Servers
91,allfootballapp.com,Sports
92,mncdn.com,Content Servers
93,igamecj.com,Content Servers
94,ampproject.org,Information Technology
95,sentry.io,Business
96,spotify.com,Audio Streaming
97,tiktok.com,Social Networks;Video Streaming;Advertisements
98,inner-active.mobi,Content Servers
99,azure.com,Technology
100,spbycdn.com,
