rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,tiktokcdn.com,Content Servers;Social Networks
4,googleapis.com,Content Servers;Personal Blogs
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokv.com,Social Networks;Video Streaming
9,cdn77.org,Content Servers
10,akamai.net,Content Servers
11,office.com,Technology
12,apple.com,Information Technology;Technology
13,googlevideo.com,Search Engines;Video Streaming
14,akadns.net,Content Servers
15,akamaiedge.net,Content Servers
16,instagram.com,Social Networks
17,fbcdn.net,Social Networks
18,apple-dns.net,Content Servers
19,snapchat.com,Social Networks
20,googleusercontent.com,Content Servers
21,bytefcdn-oversea.com,
22,doubleclick.net,Advertisements
23,icloud.com,File Sharing;Content Servers
24,aaplimg.com,Information Technology;Content Servers;Technology
25,rocket-cdn.com,Content Servers
26,youtube.com,Video Streaming
27,ytimg.com,Content Servers
28,bytefcdn-ttpeu.com,Content Servers
29,amazonaws.com,Technology
30,qlivecdn.com,
31,sc-cdn.net,Content Servers
32,ttlivecdn.com,Content Servers
33,fastly.net,Information Security;Information Technology;Technology
34,spotify.com,Audio Streaming
35,unity3d.com,Gaming;Technology
36,bing.com,Search Engines
37,cloudflare.com,Technology
38,app-measurement.com,APIs
39,byteoversea.net,Content Servers
40,cloudfront.net,Content Servers;Science;Technology
41,amazon-adsystem.com,Advertisements
42,ggpht.com,Content Servers
43,office.net,Content Servers
44,googlesyndication.com,Search Engines;Advertisements
45,pki.goog,Information Security
46,app-analytics-services.com,Content Servers
47,outlook.com,Webmail
48,microsoftonline.com,Technology
49,google-analytics.com,Business;Technology
50,applovin.com,Gaming
51,gvt2.com,Content Servers
52,office365.com,Technology
53,googletagmanager.com,Content Servers
54,sc-gw.com,Content Servers
55,gmail.com,Webmail
56,atomile.com,No Content
57,wsdvs.com,Content Servers
58,smartadserver.com,Advertisements
59,skype.com,Instant Messengers;Internet Phone & VOIP
60,googleadservices.com,Advertisements
61,msn.com,News & Media
62,live.com,Technology;Webmail
63,netflix.com,Movies;Video Streaming
64,azure.com,Technology
65,roblox.com,Gaming;Safe for Kids
66,google.sr,Search Engines
67,tiktokcdn-us.com,Content Servers
68,trafficmanager.net,Information Technology;Content Servers
69,ntp.org,Technology;Government
70,lencr.org,Information Technology
71,cloudflare-dns.com,Content Servers
72,twimg.com,Content Servers
73,amazon.com,Ecommerce
74,appsflyersdk.com,Content Servers;APIs
75,linkedin.com,Professional Networking
76,criteo.com,Business
77,azureedge.net,Content Servers
78,yahoo.com,News & Media
79,appcenter.ms,Technology
80,cdn-apple.com,Content Servers
81,adnxs.com,Content Servers
82,demdex.net,Technology
83,akamaized.net,Content Servers
84,rubiconproject.com,Advertisements
85,gvt1.com,Content Servers
86,whatsapp.com,Instant Messengers;Internet Phone & VOIP
87,windows.net,Technology
88,sharepoint.com,File Sharing;Technology
89,vungle.com,Business;Technology
90,rbxcdn.com,Content Servers
91,msedge.net,Content Servers
92,nr-data.net,Content Servers
93,auspost.com.au,Business
94,sharethrough.com,Business
95,digicert.com,Information Security
96,windowsupdate.com,Information Technology;Business
97,tiktok.com,Social Networks;Video Streaming;Advertisements
98,crashlytics.com,Information Technology
99,cdninstagram.com,Content Servers
100,qq.com,News & Media
