rank,domain,categories
1,facebook.com,Social Networks
2,googleapis.com,Content Servers;Webmail
3,google.com,Search Engines
4,akadns.net,Content Servers
5,instagram.com,Social Networks
6,gstatic.com,Content Servers
7,apple.com,Information Technology;Technology
8,fbcdn.net,Social Networks
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,googlevideo.com,Search Engines;Video Streaming
11,apple-dns.net,Content Servers
12,cloudfront.net,Content Servers;Science;Technology
13,akamai.net,Content Servers
14,icloud.com,File Sharing;Content Servers
15,aaplimg.com,Information Technology;Content Servers;Technology
16,snapchat.com,Social Networks
17,akamaiedge.net,Content Servers
18,doubleclick.net,Advertisements
19,ytimg.com,Content Servers
20,app-measurement.com,APIs
21,amazonaws.com,Technology
22,igamecj.com,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,cdninstagram.com,Content Servers
25,gvt2.com,Content Servers
26,nakheelteam.cc,Technology
27,youtube.com,Video Streaming
28,vungle.com,Business;Technology
29,ggpht.com,Content Servers
30,pangle.io,Content Servers
31,microsoft.com,Information Technology;Business
32,qq.com,News & Media
33,cloudflareclient.com,Content Servers
34,aliyuncs.com,Content Servers
35,azurewebsites.net,Technology
36,office.com,Technology
37,googleusercontent.com,Content Servers
38,gvt1.com,Content Servers
39,pki.goog,Information Security
40,ntp.org,Technology;Government
41,cloudflare.com,Technology
42,like.video,Information Technology
43,appcenter.ms,Technology
44,sc-cdn.net,Content Servers
45,mtgglobals.com,Content Servers
46,dns.google,Information Technology
47,fastly.net,Information Security;Information Technology;Technology
48,pullcm.com,Content Servers
49,google-analytics.com,Business;Technology
50,adjust.com,Business
51,yandex.net,News & Media
52,bing.com,Search Engines
53,digicert.com,Information Security
54,byteoversea.com,Content Servers
55,shalltry.com,Content Servers
56,android.com,Technology
57,inner-active.mobi,Content Servers
58,whatsapp.com,Instant Messengers;Internet Phone & VOIP
59,kwaipros.com,
60,samsung.com,Home & Garden;Technology
61,applovin.com,Gaming
62,helpshift.com,Business
63,ampproject.org,Information Technology
64,tdatamaster.com,
65,xhcdn.com,CIPA Filter;Pornography
66,facebook.net,Social Networks
67,bigo.sg,Technology
68,tiktokv.com,Social Networks;Video Streaming
69,kwai.net,File Sharing
70,flurry.com,Business;Technology
71,v-mate.mobi,Gaming
72,cdn77.org,Content Servers
73,xiaomi.com,Technology
74,wshareit.com,Content Servers
75,unity3d.com,Gaming;Technology
76,kwai-pro.com,Content Servers
77,partystar.cloud,
78,isnssdk.com,Content Servers
79,applvn.com,Advertisements
80,appsflyersdk.com,Content Servers;APIs
81,miui.com,Technology
82,beyla.site,Content Servers
83,googletagmanager.com,Content Servers
84,supersonicads.com,Gaming
85,fbpigeon.com,Social Networks
86,crashlytics.com,Information Technology
87,tiktokcdn.com,Content Servers;Social Networks
88,adsco.re,Advertisements
89,anticheatexpert.com,Gaming
90,app-analytics-services.com,Content Servers
91,mzstatic.com,Information Technology;Technology
92,googleadservices.com,Advertisements
93,fbsbx.com,Content Servers
94,xiaomi.net,Information Technology;Technology
95,eclastio.com,
96,likeimo.site,
97,appsflyer.com,Business;Technology
98,snackvideo.in,
99,dbankcloud.com,Technology
100,samsungapps.com,Technology
