rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Personal Blogs
5,apple.com,Information Technology;Technology
6,msn.com,News & Media
7,live.com,Technology;Webmail
8,facebook.com,Social Networks
9,bing.com,Search Engines
10,office.com,Technology
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,gvt2.com,Content Servers
13,youtube.com,Video Streaming
14,googlevideo.com,Search Engines;Video Streaming
15,ntp.org,Technology;Government
16,doubleclick.net,Advertisements
17,googleusercontent.com,Content Servers
18,msftncsi.com,Content Servers
19,amazonaws.com,Technology
20,office.net,Content Servers
21,skype.com,Instant Messengers;Internet Phone & VOIP
22,instagram.com,Social Networks
23,office365.com,Technology
24,apple-dns.net,Content Servers
25,akadns.net,Content Servers
26,fbcdn.net,Social Networks
27,ytimg.com,Content Servers
28,icloud.com,File Sharing;Content Servers
29,cloudflare.com,Technology
30,tiktokcdn.com,Content Servers;Social Networks
31,google-analytics.com,Business;Technology
32,windowsupdate.com,Information Technology;Business
33,netflix.com,Movies;Video Streaming
34,spotify.com,Audio Streaming
35,windows.com,Information Technology
36,akamai.net,Content Servers
37,googleadservices.com,Advertisements
38,akamaiedge.net,Content Servers
39,aaplimg.com,Information Technology;Content Servers;Technology
40,pki.goog,Information Security
41,ggpht.com,Content Servers
42,googlesyndication.com,Search Engines;Advertisements
43,android.com,Technology
44,azure.com,Technology
45,tiktokv.com,Social Networks;Video Streaming
46,trafficmanager.net,Information Technology;Content Servers
47,ui.com,Technology
48,gvt1.com,Content Servers
49,lencr.org,Information Technology
50,microsoftonline.com,Technology
51,ampproject.org,Information Technology
52,cloudfront.net,Content Servers;Science;Technology
53,rubiconproject.com,Advertisements
54,pubmatic.com,Business;Technology
55,bytefcdn-oversea.com,
56,yahoo.com,News & Media
57,clarity.ms,Content Servers
58,googletagmanager.com,Content Servers
59,azureedge.net,Content Servers
60,t.co,Redirect;Social Networks
61,digicert.com,Information Security
62,qq.com,News & Media
63,msftconnecttest.com,Content Servers
64,grammarly.io,Information Technology;Content Servers
65,nr-data.net,Content Servers
66,adnxs.com,Content Servers
67,tradingview.com,Economy & Finance;Professional Networking
68,cdn77.org,Content Servers
69,eset.com,Technology
70,wsdvs.com,Content Servers
71,kaspersky-labs.com,Technology
72,hicloud.com,File Sharing
73,adobe.com,Technology
74,cdninstagram.com,Content Servers
75,gboxlab.com,Information Technology
76,mcafee.com,Technology
77,twitter.com,Social Networks
78,amazon-adsystem.com,Advertisements
79,taboola.com,Business;Advertisements
80,truecaller.com,Information Technology;Professional Networking
81,akamaized.net,Content Servers
82,cdn-apple.com,Content Servers
83,amazon.com,Ecommerce
84,byteoversea.net,Content Servers
85,wshareit.com,Content Servers
86,adsrvr.org,Advertisements
87,avast.com,Technology
88,msedge.net,Content Servers
89,gmail.com,Webmail
90,windows.net,Technology
91,criteo.com,Business
92,spribegaming.com,Gambling;Gaming;CIPA Filter
93,cloudflare-dns.com,Content Servers
94,xvideos-cdn.com,CIPA Filter;Pornography
95,whatsapp.com,Instant Messengers;Internet Phone & VOIP
96,hp.com,Technology
97,anydesk.com,Information Technology
98,sharepoint.com,File Sharing;Technology
99,surfshark.com,CIPA Filter;Anonymizer
100,dbankcloud.com,Technology
