rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,apple.com,Information Technology;Technology
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,gstatic.com,Content Servers
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,microsoft.com,Information Technology;Business
10,instagram.com,Social Networks
11,snapchat.com,Social Networks
12,gvt2.com,Content Servers
13,cdn77.org,Content Servers
14,youtube.com,Video Streaming
15,akamaiedge.net,Content Servers
16,spotify.com,Audio Streaming
17,googlevideo.com,Search Engines;Video Streaming
18,akamai.net,Content Servers
19,ttlivecdn.com,Content Servers
20,akadns.net,Content Servers
21,doubleclick.net,Advertisements
22,cloudflare.com,Technology
23,bytefcdn-oversea.com,
24,amazonaws.com,Technology
25,icloud.com,File Sharing;Content Servers
26,fbcdn.net,Social Networks
27,googlesyndication.com,Search Engines;Advertisements
28,ytimg.com,Content Servers
29,aaplimg.com,Information Technology;Content Servers;Technology
30,googleadservices.com,Advertisements
31,googleusercontent.com,Content Servers
32,live.com,Technology;Webmail
33,amazon.com,Ecommerce
34,apple-dns.net,Content Servers
35,cloudfront.net,Content Servers;Science;Technology
36,amazon-adsystem.com,Advertisements
37,office.com,Technology
38,azure.com,Technology
39,rocket-cdn.com,Content Servers
40,bing.com,Search Engines
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,pki.goog,Information Security
43,fastly.net,Information Security;Information Technology;Technology
44,bytefcdn-ttpeu.com,Content Servers
45,netflix.com,Movies;Video Streaming
46,qlivecdn.com,
47,office.net,Content Servers
48,office365.com,Technology
49,tiktokcdn-us.com,Content Servers
50,msn.com,News & Media
51,cdninstagram.com,Content Servers
52,google-analytics.com,Business;Technology
53,yahoo.com,News & Media
54,rubiconproject.com,Advertisements
55,gmail.com,Webmail
56,googletagmanager.com,Content Servers
57,zoom.us,Technology
58,unity3d.com,Gaming;Technology
59,criteo.com,Business
60,casalemedia.com,Advertisements
61,sc-cdn.net,Content Servers
62,appsflyersdk.com,Content Servers
63,twitter.com,Social Networks
64,dropbox.com,File Sharing
65,app-measurement.com,APIs
66,linkedin.com,Professional Networking
67,slack.com,Instant Messengers
68,appcenter.ms,Technology
69,ggpht.com,Content Servers
70,amazon.dev,Content Servers
71,adnxs.com,Content Servers
72,microsoftonline.com,Technology
73,wsdvs.com,Content Servers
74,launchdarkly.com,Business
75,ampproject.org,Information Technology
76,adobe.com,Technology
77,cloudflare-dns.com,Content Servers
78,one.one,Information Technology
79,pubmatic.com,Business;Technology
80,digicert.com,Information Security
81,a2z.com,Content Servers
82,trafficmanager.net,Content Servers
83,app-analytics-services.com,Content Servers
84,pinterest.com,Photography;Social Networks
85,cdn-apple.com,Content Servers
86,bugsnag.com,Information Technology
87,windows.com,Information Technology
88,grammarly.com,Artificial Intelligence;Hobbies & Interests
89,tiktokv.us,Content Servers
90,inner-active.mobi,Content Servers
91,hotmail.com,Technology;Webmail
92,nr-data.net,Content Servers
93,sc-gw.com,Content Servers
94,applovin.com,Gaming
95,sentry.io,Business
96,taboola.com,Business;Advertisements
97,atomile.com,No Content
98,3lift.com,Business
99,byteoversea.net,Content Servers
100,grammarly.io,Information Technology;Content Servers
