rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,instagram.com,Social Networks
6,cloudflare.com,Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,yandex.net,News & Media
9,akamai.net,Content Servers
10,yandex.ru,News & Media
11,microsoft.com,Information Technology;Business
12,mail.ru,Webmail
13,apple.com,Information Technology;Technology
14,doubleclick.net,Advertisements
15,tiktokv.com,Social Networks;Video Streaming
16,googlevideo.com,Search Engines;Video Streaming
17,googletagmanager.com,Content Servers
18,whatsapp.net,Instant Messengers;Internet Phone & VOIP
19,apple-dns.net,Content Servers
20,youtube.com,Video Streaming
21,gvt2.com,Content Servers
22,fbcdn.net,Social Networks
23,ytimg.com,Content Servers
24,akadns.net,Content Servers
25,google-analytics.com,Business;Technology
26,amazon-adsystem.com,Advertisements
27,vk.com,Social Networks
28,akamaiedge.net,Content Servers
29,ttlivecdn.com,Content Servers
30,googleusercontent.com,Content Servers
31,amazonaws.com,Technology
32,googlesyndication.com,Search Engines;Advertisements
33,bing.com,Search Engines
34,icloud.com,File Sharing;Content Servers
35,amazon.com.br,Ecommerce
36,ntp.org,Technology
37,aaplimg.com,Information Technology;Content Servers;Technology
38,live.com,Technology;Webmail
39,google.com.tj,Search Engines
40,cloudflare-dns.com,Content Servers
41,yastatic.net,Technology
42,cdn77.org,Content Servers
43,kaspersky.com,Technology
44,app-measurement.com,APIs
45,amazon.co.uk,Ecommerce
46,amazon.it,Ecommerce
47,facebook.net,Social Networks
48,cloudfront.net,Content Servers;Science;Technology
49,bytefcdn-oversea.com,
50,ggpht.com,Content Servers
51,office.com,Technology
52,walmart.com,Ecommerce;Shopping
53,kaspersky-labs.com,Technology
54,userapi.com,Social Networks
55,amazon.fr,Ecommerce
56,pki.goog,Information Security
57,googleadservices.com,Advertisements
58,nakheelteam.cc,Technology
59,amazon.com.mx,Ecommerce
60,ampproject.org,Information Technology
61,amazon.ca,Ecommerce
62,xiaomi.com,Technology
63,yadro.ru,Technology
64,somon.tj,Auctions & Marketplaces
65,demdex.net,Technology
66,akamaihd.net,Content Servers
67,dzen.ru,News & Media;Video Streaming
68,gvt1.com,Content Servers
69,fastly.net,Information Security;Information Technology;Technology
70,bytefcdn-ttpeu.com,Content Servers
71,rocket-cdn.com,Content Servers
72,snapchat.com,Social Networks
73,lencr.org,Information Technology
74,adfox.ru,Business
75,msn.com,News & Media
76,go-mpulse.net,Content Servers
77,yahoo.com,News & Media
78,amazon.de,Ecommerce
79,amazon.com,Ecommerce
80,applovin.com,Gaming
81,pullcm.com,Content Servers
82,wpadmngr.com,Content Servers
83,imgsmail.ru,
84,skype.com,Instant Messengers;Internet Phone & VOIP
85,viber.com,Instant Messengers;Internet Phone & VOIP
86,rambler.ru,News & Media
87,opera.com,Technology
88,beyla.site,Content Servers
89,windowsupdate.com,Information Technology;Business
90,android.com,Technology
91,ok.ru,Social Networks;Video Streaming
92,linkedin.com,Professional Networking
93,tubecup.net,Content Servers
94,igamecj.com,Content Servers
95,qq.com,News & Media
96,unity3d.com,Gaming;Technology
97,cdninstagram.com,Content Servers
98,scorecardresearch.com,Business
99,appsflyersdk.com,Content Servers
100,dns.google,Information Technology
