rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,microsoft.com,Information Technology;Business
4,googleapis.com,Content Servers;Personal Blogs
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,akamai.net,Content Servers
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,akadns.net,Content Servers
11,gvt2.com,Content Servers
12,fbcdn.net,Social Networks
13,akamaiedge.net,Content Servers
14,cdn77.org,Content Servers
15,apple-dns.net,Content Servers
16,tiktokv.com,Social Networks;Video Streaming
17,doubleclick.net,Advertisements
18,instagram.com,Social Networks
19,bytefcdn-oversea.com,
20,office.com,Technology
21,amazonaws.com,Technology
22,bing.com,Search Engines
23,youtube.com,Video Streaming
24,msn.com,News & Media
25,googlevideo.com,Search Engines;Video Streaming
26,office.net,Content Servers
27,igamecj.com,Content Servers
28,aaplimg.com,Information Technology;Content Servers;Technology
29,kaspersky-labs.com,Technology
30,googleadservices.com,Advertisements
31,cloudflare-dns.com,Content Servers
32,live.com,Technology;Webmail
33,ytimg.com,Content Servers
34,googlesyndication.com,Search Engines;Advertisements
35,rocket-cdn.com,Content Servers
36,kaspersky.com,Technology
37,msftncsi.com,Content Servers
38,bytefcdn-ttpeu.com,Content Servers
39,googleusercontent.com,Content Servers
40,office365.com,Technology
41,ttlivecdn.com,Content Servers
42,googletagmanager.com,Content Servers
43,cloudflare.com,Technology
44,xnxx-cdn.com,CIPA Filter;Pornography
45,google-analytics.com,Business;Technology
46,icloud.com,File Sharing;Content Servers
47,microsoftonline.com,Technology
48,pubmatic.com,Business;Technology
49,tdatamaster.com,
50,ampproject.org,Information Technology
51,msftconnecttest.com,Content Servers
52,app-measurement.com,APIs
53,akamaized.net,Content Servers
54,windows.net,Technology
55,yahoo.com,News & Media
56,gvt1.com,Content Servers
57,azure.com,Technology
58,adnxs.com,Content Servers
59,windowsupdate.com,Information Technology;Business
60,spotify.com,Audio Streaming
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,qlivecdn.com,
63,netflix.com,Movies;Video Streaming
64,rubiconproject.com,Advertisements
65,mozilla.com,Information Technology
66,yandex.ru,News & Media
67,whatsapp.com,Instant Messengers;Internet Phone & VOIP
68,webex.com,Technology
69,meraki.com,
70,digicert.com,Information Security
71,ggpht.com,Content Servers
72,smartadserver.com,Advertisements
73,surfshark.com,CIPA Filter;Anonymizer
74,windows.com,Information Technology
75,pki.goog,Information Security
76,mcafee.com,Technology
77,nr-data.net,Content Servers
78,atomile.com,No Content
79,opera.com,Technology
80,google.tl,Search Engines
81,gcloudcs.com,Gaming
82,fastly.net,Information Security;Information Technology;Technology
83,ntp.org,Technology;Government
84,dns.google,Information Technology
85,amazon-adsystem.com,Advertisements
86,wsdvs.com,Content Servers
87,heytapdl.com,Content Servers
88,linkedin.com,Professional Networking
89,heytapmobile.com,Content Servers
90,msedge.net,Content Servers
91,xvideos-cdn.com,CIPA Filter;Pornography
92,urban-vpn.com,CIPA Filter;Anonymizer
93,byteoversea.net,Content Servers
94,casalemedia.com,Advertisements
95,grammarly.com,Artificial Intelligence;Hobbies & Interests
96,gjacky.com,
97,tiktok.com,Social Networks;Video Streaming;Advertisements
98,adobe.com,Technology
99,clarity.ms,Content Servers
100,app-analytics-services.com,Content Servers
