rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,apple-dns.net,Content Servers
8,googlevideo.com,Search Engines;Video Streaming
9,apple.com,Information Technology;Technology
10,tiktokv.com,Social Networks;Video Streaming
11,ntp.org,Technology;Government
12,gvt2.com,Content Servers
13,mail.ru,Webmail
14,yandex.ru,News & Media
15,live.com,Technology;Webmail
16,ubuntu.com,Technology
17,youtube.com,Video Streaming
18,icloud.com,File Sharing;Content Servers
19,skype.com,Instant Messengers;Internet Phone & VOIP
20,msftncsi.com,Content Servers
21,cloudflare.com,Technology
22,cdn77.org,Content Servers
23,ttlivecdn.com,Content Servers
24,office.com,Technology
25,linkedin.com,Professional Networking
26,yandex.net,News & Media
27,bing.com,Search Engines
28,licdn.com,Content Servers
29,ytimg.com,Content Servers
30,instagram.com,Social Networks
31,whatsapp.net,Instant Messengers;Internet Phone & VOIP
32,msedge.net,Content Servers
33,doubleclick.net,Advertisements
34,brave.com,Information Technology
35,ialicdn.com,Content Servers
36,imgsmail.ru,
37,aaplimg.com,Information Technology;Content Servers;Technology
38,windowsupdate.com,Information Technology;Business
39,musiclike.top,
40,alicdn.com,Content Servers
41,ok.ru,Social Networks;Video Streaming
42,akadns.net,Content Servers
43,kaspersky-labs.com,Technology
44,tbcache.com,Content Servers
45,trafficmanager.net,Content Servers
46,dns.google,Information Technology
47,msn.com,News & Media
48,miui.com,Technology
49,pki.goog,Information Security
50,mozilla.org,Technology
51,sentry.io,Business
52,googleusercontent.com,Content Servers
53,bytefcdn-oversea.com,
54,appsflyersdk.com,Content Servers;APIs
55,akamaiedge.net,Content Servers
56,nr-data.net,Content Servers
57,github.com,Technology
58,samsungcloud.com,Content Servers
59,grammarly.com,Artificial Intelligence;Hobbies & Interests
60,lencr.org,Information Technology
61,pangle.io,Content Servers
62,cloudfront.net,Content Servers;Science;Technology
63,demdex.net,Technology
64,steamstatic.com,Content Servers
65,cloudflare-dns.com,Content Servers
66,ggpht.com,Content Servers
67,xiaomi.com,Technology
68,azure.com,Technology
69,samsungdm.com,Content Servers
70,adobe.io,Business;Technology
71,ui.com,Technology
72,windows.com,Information Technology
73,fbcdn.net,Social Networks
74,google-analytics.com,Business;Technology
75,turkmenistanairlines.tm,Travel
76,mcafee.com,Technology
77,figma.com,Technology
78,pitaya-clientai.com,
79,isappcloud.com,Technology
80,adobe.com,Technology
81,appcenter.ms,Technology
82,my.com,
83,spotify.com,Audio Streaming
84,fastly-edge.com,Content Servers
85,rocket-cdn.com,Content Servers
86,grammarly.io,Information Technology;Content Servers
87,vk.com,Social Networks
88,googletagmanager.com,Content Servers
89,google.ru,Search Engines
90,app-measurement.com,APIs
91,nvidia.com,Technology
92,clarity.ms,Content Servers
93,ya.ru,Search Engines
94,amazonaws.com,Technology
95,softether-network.net,
96,akamai.net,Content Servers
97,telegram.org,Instant Messengers
98,visualstudio.com,Information Technology
99,facebook.net,Social Networks
100,applovin.com,Gaming
