rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,instagram.com,Social Networks
7,apple.com,Information Technology;Technology
8,doubleclick.net,Advertisements
9,gvt2.com,Content Servers
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,googlevideo.com,Search Engines;Video Streaming
12,youtube.com,Video Streaming
13,tiktokcdn.com,Content Servers;Social Networks
14,googlesyndication.com,Search Engines;Advertisements
15,fbcdn.net,Social Networks
16,spotify.com,Audio Streaming
17,cloudflare.com,Technology
18,googleusercontent.com,Content Servers
19,live.com,Technology;Webmail
20,akadns.net,Content Servers
21,amazonaws.com,Technology
22,bing.com,Search Engines
23,office.com,Technology
24,google-analytics.com,Business;Technology
25,akamai.net,Content Servers
26,tiktokv.com,Social Networks;Video Streaming
27,ytimg.com,Content Servers
28,akamaiedge.net,Content Servers
29,googleadservices.com,Advertisements
30,icloud.com,File Sharing;Content Servers
31,apple-dns.net,Content Servers
32,cloudflare-dns.com,Content Servers
33,msn.com,News & Media
34,google.com.tr,Search Engines
35,cloudfront.net,Content Servers;Science;Technology
36,gvt1.com,Content Servers
37,googletagmanager.com,Content Servers
38,criteo.com,Business
39,ntp.org,Technology;Government
40,cdn77.org,Content Servers
41,yandex.ru,News & Media
42,aaplimg.com,Information Technology;Content Servers;Technology
43,windowsupdate.com,Information Technology;Business
44,azure.com,Technology
45,amazon-adsystem.com,Advertisements
46,lencr.org,Information Technology
47,ggpht.com,Content Servers
48,twitter.com,Social Networks
49,yandex.net,News & Media
50,outlook.com,Webmail
51,office.net,Content Servers
52,skype.com,Instant Messengers;Internet Phone & VOIP
53,netflix.com,Movies;Video Streaming
54,twimg.com,Content Servers
55,trafficmanager.net,Information Technology;Content Servers
56,rubiconproject.com,Advertisements
57,yahoo.com,News & Media
58,cdninstagram.com,Content Servers
59,snapchat.com,Social Networks
60,adnxs.com,Content Servers
61,linkedin.com,Professional Networking
62,akamaized.net,Content Servers
63,office365.com,Technology
64,fastly.net,Information Security;Information Technology;Technology
65,opera.com,Technology
66,facebook.net,Social Networks
67,taboola.com,Business;Advertisements
68,pki.goog,Information Security
69,app-measurement.com,APIs
70,ampproject.org,Information Technology
71,trendyol.com,Ecommerce;Fashion
72,amazon.com,Ecommerce
73,adform.net,Content Servers
74,dns.google,Information Technology
75,whatsapp.com,Instant Messengers;Internet Phone & VOIP
76,discord.com,Instant Messengers;Internet Phone & VOIP
77,msedge.net,Content Servers
78,unity3d.com,Gaming;Technology
79,windows.com,Information Technology
80,azureedge.net,Content Servers
81,pubmatic.com,Business;Technology
82,nr-data.net,Content Servers
83,useinsider.com,Business
84,creativecdn.com,Content Servers
85,bytefcdn-oversea.com,
86,microsoftonline.com,Technology
87,xiaomi.com,Technology
88,clarity.ms,Content Servers
89,ttlivecdn.com,Content Servers
90,mncdn.com,Content Servers
91,yandex.com,Search Engines;Webmail
92,tradingview.com,Economy & Finance;Professional Networking
93,criteo.net,Business
94,casalemedia.com,Advertisements
95,digicert.com,Information Security
96,gmail.com,Webmail
97,smartadserver.com,Advertisements
98,2mdn.net,Content Servers
99,hepsiburada.com,Ecommerce
100,msftncsi.com,Content Servers
