rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Personal Blogs
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokv.com,Social Networks;Video Streaming
9,instagram.com,Social Networks
10,apple.com,Information Technology;Technology
11,youtube.com,Video Streaming
12,gvt2.com,Content Servers
13,doubleclick.net,Advertisements
14,akamai.net,Content Servers
15,fbcdn.net,Social Networks
16,akadns.net,Content Servers
17,googlevideo.com,Search Engines;Video Streaming
18,cdn77.org,Content Servers
19,googleusercontent.com,Content Servers
20,apple-dns.net,Content Servers
21,snapchat.com,Social Networks
22,googlesyndication.com,Search Engines;Advertisements
23,akamaiedge.net,Content Servers
24,bing.com,Search Engines
25,ytimg.com,Content Servers
26,office.com,Technology
27,icloud.com,File Sharing;Content Servers
28,amazonaws.com,Technology
29,google-analytics.com,Business;Technology
30,ttlivecdn.com,Content Servers
31,bytefcdn-oversea.com,
32,googleadservices.com,Advertisements
33,msn.com,News & Media
34,aaplimg.com,Information Technology;Content Servers;Technology
35,cloudflare.com,Technology
36,live.com,Technology;Webmail
37,netflix.com,Movies;Video Streaming
38,amazon-adsystem.com,Advertisements
39,spotify.com,Audio Streaming
40,ggpht.com,Content Servers
41,google.co.tz,Search Engines
42,cloudfront.net,Content Servers;Science;Technology
43,akamaized.net,Content Servers
44,unity3d.com,Gaming;Technology
45,app-measurement.com,APIs
46,gvt1.com,Content Servers
47,bytefcdn-ttpeu.com,Content Servers
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,twitter.com,Social Networks
50,googletagmanager.com,Content Servers
51,cdninstagram.com,Content Servers
52,rocket-cdn.com,Content Servers
53,office.net,Content Servers
54,whatsapp.com,Instant Messengers;Internet Phone & VOIP
55,sc-cdn.net,Content Servers
56,cloudflare-dns.com,Content Servers
57,shalltry.com,Content Servers
58,yahoo.com,News & Media
59,appsflyersdk.com,Content Servers;APIs
60,qlivecdn.com,
61,azure.com,Technology
62,applovin.com,Business;Technology
63,ntp.org,Technology;Government
64,pubmatic.com,Business;Technology
65,pki.goog,Information Security
66,surfshark.com,CIPA Filter;Anonymizer
67,grammarly.com,Artificial Intelligence;Hobbies & Interests
68,windows.com,Information Technology
69,lencr.org,Information Technology
70,wsdvs.com,Content Servers
71,rubiconproject.com,Advertisements
72,linkedin.com,Professional Networking
73,atomile.com,No Content
74,grammarly.io,Information Technology;Content Servers
75,adnxs.com,Content Servers
76,byteoversea.net,Content Servers
77,gmail.com,Webmail
78,digicert.com,Information Security
79,windowsupdate.com,Information Technology;Business
80,qq.com,News & Media
81,microsoftonline.com,Technology
82,criteo.com,Business
83,kaspersky.com,Technology
84,boomplaymusic.com,Information Technology;Music
85,fastly.net,Information Security;Information Technology;Technology
86,byteglb.com,
87,taboola.com,Business;Advertisements
88,amazon.com,Ecommerce
89,casalemedia.com,Advertisements
90,crashlytics.com,Information Technology
91,cdn-apple.com,Content Servers
92,tiktokcdn-us.com,Content Servers
93,msftconnecttest.com,Content Servers
94,smartadserver.com,Advertisements
95,openx.net,Advertisements
96,v-mate.mobi,Gaming
97,bangcdn.net,Content Servers
98,office365.com,Technology
99,ui.com,Technology
100,opera.com,Technology
