rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,microsoft.com,Information Technology;Business
6,facebook.com,Social Networks
7,doubleclick.net,Advertisements
8,gvt2.com,Content Servers
9,apple.com,Information Technology;Technology
10,youtube.com,Video Streaming
11,googlevideo.com,Search Engines;Video Streaming
12,tiktokv.com,Social Networks;Video Streaming
13,viber.com,Instant Messengers;Internet Phone & VOIP
14,googlesyndication.com,Search Engines;Advertisements
15,akadns.net,Content Servers
16,instagram.com,Social Networks
17,akamai.net,Content Servers
18,amazonaws.com,Technology
19,cdn77.org,Content Servers
20,googleusercontent.com,Content Servers
21,akamaiedge.net,Content Servers
22,apple-dns.net,Content Servers
23,live.com,Technology;Webmail
24,ytimg.com,Content Servers
25,googleadservices.com,Advertisements
26,google-analytics.com,Business;Technology
27,cloudflare-dns.com,Content Servers
28,cloudfront.net,Content Servers;Science;Technology
29,fbcdn.net,Social Networks
30,icloud.com,File Sharing;Content Servers
31,bing.com,Search Engines
32,office.com,Technology
33,cloudflare.com,Technology
34,amazon-adsystem.com,Advertisements
35,adtelligent.com,Business;Technology
36,bytefcdn-oversea.com,
37,whatsapp.net,Instant Messengers;Internet Phone & VOIP
38,aaplimg.com,Information Technology;Content Servers;Technology
39,spotify.com,Audio Streaming
40,google.com.ua,Search Engines
41,yandex.ru,News & Media
42,msn.com,News & Media
43,ntp.org,Technology;Government
44,googletagmanager.com,Content Servers
45,ttlivecdn.com,Content Servers
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,azure.com,Technology
48,ggpht.com,Content Servers
49,app-measurement.com,APIs
50,msftncsi.com,Content Servers
51,opera.com,Technology
52,amazon.com,Ecommerce
53,netflix.com,Movies;Video Streaming
54,criteo.com,Business
55,lencr.org,Information Technology
56,roblox.com,Gaming;Safe for Kids
57,unity3d.com,Gaming;Technology
58,windowsupdate.com,Information Technology;Business
59,gvt1.com,Content Servers
60,bytefcdn-ttpeu.com,Content Servers
61,yandex.net,News & Media
62,xiaomi.com,Technology
63,telegram.org,Instant Messengers
64,mixpanel.com,Business
65,trafficmanager.net,Information Technology;Content Servers
66,rubiconproject.com,Advertisements
67,rocket-cdn.com,Content Servers
68,msedge.net,Content Servers
69,pki.goog,Information Security
70,ukr.net,News & Media
71,mail.ru,Webmail
72,discord.com,Instant Messengers;Internet Phone & VOIP
73,adnxs.com,Content Servers
74,office.net,Content Servers
75,miui.com,Technology
76,pubmatic.com,Business;Technology
77,clarity.ms,Content Servers
78,fastly.net,Information Security;Information Technology;Technology
79,2miners.com,Cryptocurrency
80,avcdn.net,Content Servers
81,avast.com,Technology
82,steamstatic.com,Content Servers
83,dns.google,Information Technology
84,rozetka.com.ua,Ecommerce
85,epicgames.com,Ecommerce;Gaming
86,creativecdn.com,Content Servers
87,yahoo.com,News & Media
88,wikipedia.org,Education
89,qlivecdn.com,
90,root-servers.net,Technology
91,applovin.com,Gaming
92,appsflyersdk.com,Content Servers;APIs
93,rbxcdn.com,Content Servers
94,app-analytics-services.com,Content Servers
95,idealmedia.io,News & Media;Personal Blogs
96,atomile.com,No Content
97,appboy.com,Business
98,windows.com,Information Technology
99,facebook.net,Social Networks
100,bidswitch.net,Technology
