rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,cloudflare.com,Technology
6,doubleclick.net,Advertisements
7,gvt2.com,Content Servers
8,microsoft.com,Information Technology;Business
9,tiktokcdn.com,Content Servers;Social Networks
10,tiktokv.com,Social Networks;Video Streaming
11,instagram.com,Social Networks
12,youtube.com,Video Streaming
13,googlevideo.com,Search Engines;Video Streaming
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,spotify.com,Audio Streaming
16,googlesyndication.com,Search Engines;Advertisements
17,ytimg.com,Content Servers
18,office.com,Technology
19,live.com,Technology;Webmail
20,apple.com,Information Technology;Technology
21,amazonaws.com,Technology
22,cloudflare-dns.com,Content Servers
23,google.com.uy,Search Engines
24,akamai.net,Content Servers
25,akamaiedge.net,Content Servers
26,fbcdn.net,Social Networks
27,googleusercontent.com,Content Servers
28,akadns.net,Content Servers
29,ggpht.com,Content Servers
30,bing.com,Search Engines
31,brave.com,Information Technology
32,amazon-adsystem.com,Advertisements
33,cloudfront.net,Content Servers;Science;Technology
34,amazon.com,Ecommerce
35,netflix.com,Movies;Video Streaming
36,trafficmanager.net,Information Technology;Content Servers
37,outlook.com,Webmail
38,googletagmanager.com,Content Servers
39,skype.com,Instant Messengers;Internet Phone & VOIP
40,ntp.org,Technology;Government
41,slack.com,Instant Messengers
42,lencr.org,Information Technology
43,google-analytics.com,Business;Technology
44,microsoftonline.com,Technology
45,cdn77.org,Content Servers
46,twitter.com,Social Networks
47,googleadservices.com,Advertisements
48,apple-dns.net,Content Servers
49,yahoo.com,News & Media
50,pubmatic.com,Business;Technology
51,ttlivecdn.com,Content Servers
52,criteo.com,Business
53,rubiconproject.com,Advertisements
54,aaplimg.com,Information Technology;Content Servers;Technology
55,pki.goog,Information Security
56,adnxs.com,Content Servers
57,msn.com,News & Media
58,twimg.com,Content Servers
59,windows.com,Information Technology
60,windowsupdate.com,Information Technology;Business
61,azure.com,Technology
62,office.net,Content Servers
63,linkedin.com,Professional Networking
64,dropbox.com,File Sharing
65,trendmicro.com,Information Security
66,icloud.com,File Sharing;Content Servers
67,facebook.net,Social Networks
68,bamgrid.com,Content Servers
69,windows.net,Technology
70,smartadserver.com,Advertisements
71,baidu.com,Search Engines
72,msftncsi.com,Content Servers
73,roblox.com,Gaming;Safe for Kids
74,opera.com,Technology
75,avcdn.net,Content Servers
76,gmail.com,Webmail
77,bytefcdn-oversea.com,
78,office365.com,Technology
79,discord.com,Instant Messengers;Internet Phone & VOIP
80,twitch.tv,Video Streaming
81,unity3d.com,Gaming;Technology
82,digicert.com,Information Security
83,scorecardresearch.com,Business
84,tiktok.com,Social Networks;Video Streaming;Advertisements
85,cdninstagram.com,Content Servers
86,scdn.co,Content Servers
87,rbxcdn.com,Content Servers
88,github.com,Technology
89,fastly.net,Information Security;Information Technology;Technology
90,whatsapp.com,Instant Messengers;Internet Phone & VOIP
91,ttvnw.net,Video Streaming
92,ampproject.org,Information Technology
93,azureedge.net,Content Servers
94,dns.google,Information Technology
95,akamaized.net,Content Servers
96,spotifycdn.com,Content Servers
97,casalemedia.com,Advertisements
98,bytefcdn-ttpeu.com,Content Servers
99,mozilla.org,Technology
100,msedge.net,Content Servers
