rank,domain,categories
1,googleapis.com,Content Servers;Personal Blogs
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,yandex.net,News & Media
7,yandex.ru,News & Media
8,apple.com,Information Technology;Technology
9,microsoft.com,Information Technology;Business
10,googlevideo.com,Search Engines;Video Streaming
11,tiktokv.com,Social Networks;Video Streaming
12,instagram.com,Social Networks
13,doubleclick.net,Advertisements
14,akamai.net,Content Servers
15,akadns.net,Content Servers
16,youtube.com,Video Streaming
17,akamaiedge.net,Content Servers
18,apple-dns.net,Content Servers
19,gvt2.com,Content Servers
20,fbcdn.net,Social Networks
21,amazonaws.com,Technology
22,mail.ru,Webmail
23,ytimg.com,Content Servers
24,icloud.com,File Sharing;Content Servers
25,cloudflare.com,Technology
26,googleusercontent.com,Content Servers
27,cloudflare-dns.com,Content Servers
28,cdn77.org,Content Servers
29,googlesyndication.com,Search Engines;Advertisements
30,google-analytics.com,Business;Technology
31,whatsapp.net,Instant Messengers;Internet Phone & VOIP
32,ntp.org,Technology;Government
33,aaplimg.com,Information Technology;Content Servers;Technology
34,bing.com,Search Engines
35,app-measurement.com,APIs
36,msn.com,News & Media
37,ttlivecdn.com,Content Servers
38,googleadservices.com,Advertisements
39,ggpht.com,Content Servers
40,live.com,Technology;Webmail
41,cloudfront.net,Content Servers;Science;Technology
42,spotify.com,Audio Streaming
43,google.co.uz,Search Engines
44,gvt1.com,Content Servers
45,googletagmanager.com,Content Servers
46,lencr.org,Information Technology
47,vk.com,Social Networks
48,cdninstagram.com,Content Servers
49,appsflyersdk.com,Content Servers;APIs
50,unity3d.com,Gaming;Technology
51,nakheelteam.cc,Technology
52,dns.google,Information Technology
53,xiaomi.com,Technology
54,yastatic.net,Technology
55,miui.com,Technology
56,app-analytics-services.com,Content Servers
57,fastly.net,Information Security;Information Technology;Technology
58,bytefcdn-oversea.com,
59,office.com,Technology
60,snapchat.com,Social Networks
61,qq.com,News & Media
62,pki.goog,Information Security
63,windowsupdate.com,Information Technology;Business
64,netflix.com,Movies;Video Streaming
65,applovin.com,Business;Technology
66,msftncsi.com,Content Servers
67,bytefcdn-ttpeu.com,Content Servers
68,windows.com,Information Technology
69,telegram.org,Instant Messengers
70,skype.com,Instant Messengers;Internet Phone & VOIP
71,userapi.com,Social Networks
72,appsflyer.com,Business;Technology
73,mtgglobals.com,Content Servers
74,vungle.com,Business;Technology
75,2mdn.net,Content Servers
76,digicert.com,Information Security
77,uzum.uz,Ecommerce
78,akamaized.net,Content Servers
79,android.com,Technology
80,amazon-adsystem.com,Advertisements
81,ok.ru,Social Networks;Video Streaming
82,crashlytics.com,Information Technology
83,adfox.ru,Business
84,opera.com,Technology
85,igamecj.com,Content Servers
86,amazon.com,Ecommerce
87,adnxs.com,Content Servers
88,sentry.io,Business
89,xiaomi.net,Information Technology;Technology
90,2miners.com,Cryptocurrency
91,baidu.com,Search Engines
92,mycdn.me,Content Servers
93,azure.com,Technology
94,samsungcloud.com,Content Servers
95,hamsterkombat.io,Gaming
96,roblox.com,Gaming;Safe for Kids
97,yahoo.com,News & Media
98,cdn-apple.com,Content Servers
99,facebook.net,Social Networks
100,pangle.io,Content Servers
