rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,google.com,Search Engines
4,googleapis.com,Content Servers;Webmail
5,apple.com,Information Technology;Technology
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,gstatic.com,Content Servers
8,cdn77.org,Content Servers
9,tiktokv.com,Social Networks;Video Streaming
10,akamai.net,Content Servers
11,microsoft.com,Information Technology;Business
12,youtube.com,Video Streaming
13,akamaiedge.net,Content Servers
14,googlevideo.com,Search Engines;Video Streaming
15,instagram.com,Social Networks
16,gvt2.com,Content Servers
17,doubleclick.net,Advertisements
18,fbcdn.net,Social Networks
19,icloud.com,File Sharing;Content Servers
20,apple-dns.net,Content Servers
21,akadns.net,Content Servers
22,ttlivecdn.com,Content Servers
23,bing.com,Search Engines
24,googleusercontent.com,Content Servers
25,bytefcdn-oversea.com,
26,live.com,Technology;Webmail
27,snapchat.com,Social Networks
28,aaplimg.com,Information Technology;Content Servers;Technology
29,office.com,Technology
30,amazon.com,Ecommerce
31,googlesyndication.com,Search Engines;Advertisements
32,adnxs.com,Content Servers
33,googleadservices.com,Advertisements
34,office.net,Content Servers
35,cloudfront.net,Content Servers;Science;Technology
36,spotify.com,Audio Streaming
37,ytimg.com,Content Servers
38,amazonaws.com,Technology
39,yahoo.com,News & Media
40,cloudflare.com,Technology
41,amazon-adsystem.com,Advertisements
42,msn.com,News & Media
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,bytefcdn-ttpeu.com,Content Servers
45,azure.com,Technology
46,ggpht.com,Content Servers
47,netflix.com,Movies;Video Streaming
48,unity3d.com,Gaming;Technology
49,grammarly.com,Artificial Intelligence;Hobbies & Interests
50,office365.com,Technology
51,google-analytics.com,Business;Technology
52,pubmatic.com,Business;Technology
53,grammarly.io,Information Technology;Content Servers
54,dropbox.com,File Sharing
55,applovin.com,Gaming
56,criteo.com,Business
57,ntp.org,Technology;Government
58,app-measurement.com,APIs
59,microsoftonline.com,Technology
60,facebook.net,Social Networks
61,google.com.vc,Search Engines
62,mtgglobals.com,Content Servers
63,rubiconproject.com,Advertisements
64,cloudflare-dns.com,Content Servers
65,pki.goog,Information Security
66,fastly.net,Information Security;Information Technology;Technology
67,trafficmanager.net,Content Servers
68,googletagmanager.com,Content Servers
69,roblox.com,Gaming;Safe for Kids
70,whatsapp.com,Instant Messengers;Internet Phone & VOIP
71,windows.com,Information Technology
72,rocket-cdn.com,Content Servers
73,windows.net,Technology
74,qlivecdn.com,
75,gmail.com,Webmail
76,windowsupdate.com,Information Technology;Business
77,smartadserver.com,Advertisements
78,gvt1.com,Content Servers
79,avcdn.net,Content Servers
80,appcenter.ms,Technology
81,sc-cdn.net,Content Servers
82,wsdvs.com,Content Servers
83,a2z.com,Content Servers
84,akamaized.net,Content Servers
85,azureedge.net,Content Servers
86,media-amazon.com,Content Servers
87,linkedin.com,Professional Networking
88,samsungcloud.com,Content Servers
89,lencr.org,Information Technology
90,rbxcdn.com,Content Servers
91,adobe.io,Business;Technology
92,twitter.com,Social Networks
93,atomile.com,No Content
94,cdninstagram.com,Content Servers
95,omnitagjs.com,Content Servers
96,4dex.io,Content Servers
97,live.net,Content Servers
98,adobe.com,Technology
99,3lift.com,Business
100,app-analytics-services.com,Content Servers
