rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Personal Blogs
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,gvt2.com,Content Servers
7,microsoft.com,Information Technology;Business
8,youtube.com,Video Streaming
9,doubleclick.net,Advertisements
10,instagram.com,Social Networks
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,cloudfront.net,Content Servers;Science;Technology
13,tiktokv.com,Social Networks;Video Streaming
14,googlevideo.com,Search Engines;Video Streaming
15,googlesyndication.com,Search Engines;Advertisements
16,ytimg.com,Content Servers
17,googleusercontent.com,Content Servers
18,bing.com,Search Engines
19,fbcdn.net,Social Networks
20,cloudflare-dns.com,Content Servers
21,cloudflare.com,Technology
22,live.com,Technology;Webmail
23,apple.com,Information Technology;Technology
24,googleadservices.com,Advertisements
25,spotify.com,Audio Streaming
26,google-analytics.com,Business;Technology
27,netflix.com,Movies;Video Streaming
28,amazon.com,Ecommerce
29,akamai.net,Content Servers
30,cdn77.org,Content Servers
31,google.co.ve,Search Engines
32,amazonaws.com,Technology
33,msn.com,News & Media
34,office.com,Technology
35,whatsapp.com,Instant Messengers;Internet Phone & VOIP
36,amazon-adsystem.com,Advertisements
37,googletagmanager.com,Content Servers
38,ttlivecdn.com,Content Servers
39,ggpht.com,Content Servers
40,gvt1.com,Content Servers
41,akamaiedge.net,Content Servers
42,shalltry.com,Content Servers
43,akadns.net,Content Servers
44,yahoo.com,News & Media
45,gd34fdldh.xyz,
46,bytefcdn-oversea.com,
47,twitter.com,Social Networks
48,snapchat.com,Social Networks
49,dns.google,Information Technology
50,adnxs.com,Content Servers
51,rubiconproject.com,Advertisements
52,ampproject.org,Information Technology
53,pubmatic.com,Business;Technology
54,akamaized.net,Content Servers
55,cdninstagram.com,Content Servers
56,3ghddf123d.com,
57,apple-dns.net,Content Servers
58,taboola.com,Business;Advertisements
59,ntp.org,Technology;Government
60,criteo.com,Business
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,opera.com,Technology
63,office.net,Content Servers
64,roblox.com,Gaming;Safe for Kids
65,wikipedia.org,Education
66,canva.com,Hobbies & Interests
67,icloud.com,File Sharing;Content Servers
68,unity3d.com,Gaming;Technology
69,linkedin.com,Professional Networking
70,aaplimg.com,Information Technology;Content Servers;Technology
71,windowsupdate.com,Information Technology;Business
72,xnxx-cdn.com,CIPA Filter;Pornography
73,smartadserver.com,Advertisements
74,a2z.com,Content Servers
75,twimg.com,Content Servers
76,xiaomi.com,Technology
77,windows.com,Information Technology
78,app-measurement.com,APIs
79,bytefcdn-ttpeu.com,Content Servers
80,msftncsi.com,Content Servers
81,applovin.com,Gaming
82,pangle.io,Content Servers
83,brave.com,Information Technology
84,adg96kda3f.xyz,
85,openx.net,Advertisements
86,facebook.net,Social Networks
87,android.com,Technology
88,scorecardresearch.com,Business
89,rocket-cdn.com,Content Servers
90,haddf523dd.com,Newly Seen Domains
91,appsflyersdk.com,Content Servers;APIs
92,tiktokcdn-us.com,Content Servers
93,rbxcdn.com,Content Servers
94,avcdn.net,Content Servers
95,casalemedia.com,Advertisements
96,fbsbx.com,Content Servers
97,ad.gt,Advertisements
98,vidoomy.com,Business
99,miui.com,Technology
100,azure.com,Technology
