rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,tiktokcdn.com,Content Servers;Social Networks
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,gstatic.com,Content Servers
8,akamai.net,Content Servers
9,tiktokcdn-us.com,Content Servers
10,akadns.net,Content Servers
11,akamaiedge.net,Content Servers
12,office.com,Technology
13,cdn77.org,Content Servers
14,amazon.com,Ecommerce
15,bing.com,Search Engines
16,apple-dns.net,Content Servers
17,ui.com,Technology
18,yahoo.com,News & Media
19,whatsapp.net,Instant Messengers;Internet Phone & VOIP
20,netflix.com,Movies;Video Streaming
21,icloud.com,File Sharing;Content Servers
22,amazonaws.com,Technology
23,snapchat.com,Social Networks
24,live.com,Technology;Webmail
25,aaplimg.com,Information Technology;Content Servers;Technology
26,tiktokv.com,Social Networks;Video Streaming
27,googleusercontent.com,Content Servers
28,doubleclick.net,Advertisements
29,googlevideo.com,Search Engines;Video Streaming
30,fbcdn.net,Social Networks
31,tiktokv.us,Content Servers
32,cloudfront.net,Content Servers;Science;Technology
33,bytefcdn-oversea.com,
34,spotify.com,Audio Streaming
35,msn.com,News & Media
36,amazon-adsystem.com,Advertisements
37,ntp.org,Technology;Government
38,youtube.com,Video Streaming
39,googlesyndication.com,Search Engines;Advertisements
40,office365.com,Technology
41,instagram.com,Social Networks
42,fastly.net,Information Security;Information Technology;Technology
43,gvt2.com,Content Servers
44,office.net,Content Servers
45,azure.com,Technology
46,ttlivecdn.com,Content Servers
47,windowsupdate.com,Information Technology;Business
48,pki.goog,Information Security
49,cloudflare.com,Technology
50,rubiconproject.com,Advertisements
51,worldfcdn2.com,Content Servers
52,grammarly.com,Artificial Intelligence;Hobbies & Interests
53,google.co.vi,News, Portal & Search
54,bytefcdn-ttpeu.com,Content Servers
55,gmail.com,Webmail
56,adnxs.com,Content Servers
57,app-analytics-services.com,Content Servers
58,grammarly.io,Information Technology;Content Servers
59,pandora.com,Audio Streaming
60,dropbox.com,File Sharing
61,microsoftonline.com,Technology
62,googleadservices.com,Advertisements
63,3gppnetwork.org,Content Servers
64,app-measurement.com,APIs
65,skype.com,Instant Messengers;Internet Phone & VOIP
66,rocket-cdn.com,Content Servers
67,cdn-apple.com,Content Servers
68,a2z.com,Content Servers
69,digicert.com,Information Security
70,google-analytics.com,Business;Technology
71,criteo.com,Business
72,adobe.io,Business;Technology
73,ring.com,Business;Photography
74,roblox.com,Gaming;Safe for Kids
75,cloudflare-dns.com,Content Servers
76,pubmatic.com,Business;Technology
77,msftconnecttest.com,Content Servers
78,lencr.org,Information Technology
79,3lift.com,Business
80,appcenter.ms,Technology
81,ubnt.com,Technology;Advertisements
82,ytimg.com,Content Servers
83,roku.com,Ecommerce;Technology;Video Streaming
84,msftncsi.com,Content Servers
85,windows.net,Technology
86,scorecardresearch.com,Business
87,taboola.com,Business;Advertisements
88,launchdarkly.com,Business
89,atomile.com,No Content
90,sc-cdn.net,Content Servers
91,rings.solutions,Content Servers
92,samsungcloudsolution.com,Content Servers
93,amazon.dev,Content Servers
94,akamaized.net,Content Servers
95,mzstatic.com,Information Technology;Technology
96,ggpht.com,Content Servers
97,nr-data.net,Content Servers
98,amazonalexa.com,Content Servers
99,linkedin.com,Professional Networking
100,windows.com,Information Technology
