rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,facebook.com,Social Networks
4,tiktokcdn.com,Content Servers;Social Networks
5,gstatic.com,Content Servers
6,microsoft.com,Information Technology;Business
7,fbcdn.net,Social Networks
8,apple.com,Information Technology;Technology
9,tiktokv.com,Social Networks;Video Streaming
10,gvt2.com,Content Servers
11,youtube.com,Video Streaming
12,doubleclick.net,Advertisements
13,googlevideo.com,Search Engines;Video Streaming
14,akamai.net,Content Servers
15,zalo.me,Instant Messengers
16,instagram.com,Social Networks
17,cloudflare-dns.com,Content Servers
18,googleusercontent.com,Content Servers
19,akadns.net,Content Servers
20,ttlivecdn.com,Content Servers
21,ntp.org,Technology;Government
22,amazonaws.com,Technology
23,zdn.vn,Gaming
24,akamaiedge.net,Content Servers
25,cloudflare.com,Technology
26,shopee.vn,Ecommerce
27,google-analytics.com,Business;Technology
28,googlesyndication.com,Search Engines;Advertisements
29,ytimg.com,Content Servers
30,zaloapp.com,Instant Messengers
31,cdn77.org,Content Servers
32,zadn.vn,Content Servers
33,icloud.com,File Sharing;Content Servers
34,cloudfront.net,Content Servers;Science;Technology
35,live.com,Technology;Webmail
36,apple-dns.net,Content Servers
37,bing.com,Search Engines
38,qq.com,News & Media
39,googletagmanager.com,Content Servers
40,app-measurement.com,APIs
41,google.com.vn,Search Engines
42,office.com,Technology
43,bytefcdn-oversea.com,
44,dns.google,Information Technology
45,lencr.org,Information Technology
46,windowsupdate.com,Information Technology;Business
47,googleadservices.com,Advertisements
48,appsflyersdk.com,Content Servers;APIs
49,ggpht.com,Content Servers
50,applovin.com,Gaming
51,aaplimg.com,Information Technology;Content Servers;Technology
52,gvt1.com,Content Servers
53,gmail.com,Webmail
54,skype.com,Instant Messengers;Internet Phone & VOIP
55,spotify.com,Audio Streaming
56,shopeemobile.com,Ecommerce
57,unity3d.com,Gaming;Technology
58,roblox.com,Gaming;Safe for Kids
59,byteoversea.com,Content Servers
60,ibyteimg.com,Content Servers
61,baidu.com,Search Engines
62,appsflyer.com,Business;Technology
63,telegram.org,Instant Messengers
64,msftncsi.com,Content Servers
65,xiaomi.com,Technology
66,azure.com,Technology
67,tiktok.com,Social Networks;Video Streaming;Advertisements
68,pangle.io,Content Servers
69,bytefcdn-ttpeu.com,Content Servers
70,zing.vn,News & Media
71,vivoglobal.com,Technology
72,msn.com,News & Media
73,amazon-adsystem.com,Advertisements
74,fbsbx.com,Content Servers
75,douyincdn.com,Content Servers
76,yahoo.com,News & Media
77,rbxcdn.com,Content Servers
78,ubuntu.com,Technology
79,heytapmobile.com,Content Servers
80,android.com,Technology
81,garena.com,Gaming
82,heytapdl.com,Content Servers
83,aliyuncs.com,Content Servers
84,taobao.com,Ecommerce
85,miui.com,Technology
86,rocket-cdn.com,Content Servers
87,fastly.net,Information Security;Information Technology;Technology
88,facebook.net,Social Networks
89,trafficmanager.net,Content Servers
90,coccoc.com,Information Technology
91,digicert.com,Information Security
92,susercontent.com,Content Servers
93,pki.goog,Information Security
94,sentry.io,Business
95,heytapmobi.com,Technology
96,crashlytics.com,Information Technology
97,qlivecdn.com,
98,vungle.com,Business;Technology
99,microsoftonline.com,Technology
100,criteo.com,Business
