rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,office.com,Technology
8,msn.com,News & Media
9,apple.com,Information Technology;Technology
10,googlevideo.com,Search Engines;Video Streaming
11,doubleclick.net,Advertisements
12,googleusercontent.com,Content Servers
13,bing.com,Search Engines
14,live.com,Technology;Webmail
15,tiktokv.com,Social Networks;Video Streaming
16,fbcdn.net,Social Networks
17,akamai.net,Content Servers
18,office.net,Content Servers
19,gvt2.com,Content Servers
20,amazonaws.com,Technology
21,skype.com,Instant Messengers;Internet Phone & VOIP
22,ui.com,Technology
23,youtube.com,Video Streaming
24,office365.com,Technology
25,icloud.com,File Sharing;Content Servers
26,windows.net,Technology
27,microsoftonline.com,Technology
28,ggpht.com,Content Servers
29,xnxx-cdn.com,CIPA Filter;Pornography
30,cdn77.org,Content Servers
31,apple-dns.net,Content Servers
32,aaplimg.com,Information Technology;Content Servers;Technology
33,ytimg.com,Content Servers
34,akadns.net,Content Servers
35,akamaiedge.net,Content Servers
36,sharepoint.com,File Sharing;Technology
37,googlesyndication.com,Search Engines;Advertisements
38,whatsapp.net,Instant Messengers;Internet Phone & VOIP
39,cloud.microsoft,Business
40,netflix.com,Movies;Video Streaming
41,windowsupdate.com,Information Technology;Business
42,cloudflare-dns.com,Content Servers
43,azureedge.net,Content Servers
44,fastly.net,Information Security;Information Technology;Technology
45,avcdn.net,Content Servers
46,outlook.com,Webmail
47,bytefcdn-oversea.com,
48,spotify.com,Audio Streaming
49,grammarly.io,Information Technology;Content Servers
50,alicdn.com,Content Servers
51,instagram.com,Social Networks
52,amazon.com,Ecommerce
53,windows.com,Information Technology
54,google.vu,Search Engines
55,unifi-ai.com,Content Servers
56,bytefcdn-ttpeu.com,Content Servers
57,msedge.net,Content Servers
58,azure.com,Technology
59,qlivecdn.com,
60,adnxs.com,Content Servers
61,pki.goog,Information Security
62,live.net,Content Servers
63,ntp.org,Technology;Government
64,applovin.com,Business;Technology
65,rubiconproject.com,Advertisements
66,qq.com,News & Media
67,ttlivecdn.com,Content Servers
68,google-analytics.com,Business;Technology
69,amazon-adsystem.com,Advertisements
70,cloudflare.com,Technology
71,yahoo.com,News & Media
72,msftconnecttest.com,Content Servers
73,gmail.com,Webmail
74,sfx.ms,File Sharing
75,cloudfront.net,Content Servers;Science;Technology
76,rocket-cdn.com,Content Servers
77,mcafee.com,Technology
78,threatseeker.com,Content Servers
79,verisign.com,Information Technology
80,grammarly.com,Artificial Intelligence;Hobbies & Interests
81,gvt1.com,Content Servers
82,wsdvs.com,Content Servers
83,clarity.ms,Content Servers
84,cdninstagram.com,Content Servers
85,snapchat.com,Social Networks
86,digicert.com,Information Security
87,scorecardresearch.com,Business
88,msftncsi.com,Content Servers
89,watchguard.com,Information Technology
90,trafficmanager.net,Information Technology;Content Servers
91,byteoversea.net,Content Servers
92,linkedin.com,Professional Networking
93,casalemedia.com,Advertisements
94,baidu.com,Search Engines
95,ampproject.org,Information Technology
96,avast.com,Technology
97,myob.com,Business
98,tbcache.com,Content Servers
99,app-measurement.com,APIs
100,googletagmanager.com,Content Servers
