rank,domain,categories
1,googleapis.com,Content Servers;Personal Blogs
2,tiktokcdn.com,Content Servers;Social Networks
3,google.com,Search Engines
4,facebook.com,Social Networks
5,gstatic.com,Content Servers
6,youtube.com,Video Streaming
7,snapchat.com,Social Networks
8,apple.com,Information Technology;Technology
9,googlevideo.com,Search Engines;Video Streaming
10,instagram.com,Social Networks
11,googleusercontent.com,Content Servers
12,tiktokv.com,Social Networks;Video Streaming
13,amazonaws.com,Technology
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,doubleclick.net,Advertisements
16,fbcdn.net,Social Networks
17,microsoft.com,Information Technology;Business
18,akamai.net,Content Servers
19,cloudfront.net,Content Servers;Science;Technology
20,sc-cdn.net,Content Servers
21,igamecj.com,Content Servers
22,tiktokcdn-us.com,Content Servers
23,app-measurement.com,APIs
24,ttlivecdn.com,Content Servers
25,cdn77.org,Content Servers
26,cdninstagram.com,Content Servers
27,gvt2.com,Content Servers
28,applovin.com,Business;Technology
29,google-analytics.com,Business;Technology
30,ttapis.com,Content Servers
31,ytimg.com,Content Servers
32,akadns.net,Content Servers
33,gvt1.com,Content Servers
34,tdatamaster.com,Content Servers
35,googlesyndication.com,Search Engines;Advertisements
36,ggpht.com,Content Servers
37,appsflyersdk.com,Content Servers;APIs
38,dns.google,Information Technology
39,gmail.com,Webmail
40,twitter.com,Social Networks
41,v-mate.mobi,Gaming
42,sc-gw.com,Content Servers
43,unity3d.com,Gaming;Technology
44,apple-dns.net,Content Servers
45,vungle.com,Business;Technology
46,office.com,Technology
47,crashlytics.com,Information Technology
48,twimg.com,Content Servers
49,amazon-adsystem.com,Advertisements
50,aaplimg.com,Information Technology;Content Servers;Technology
51,cloudflare.com,Technology
52,pangle.io,Content Servers
53,cloudflare-dns.com,Content Servers
54,gpubgm.com,
55,mtgglobals.com,Content Servers
56,android.com,Technology
57,whatsapp.com,Instant Messengers;Internet Phone & VOIP
58,appsflyer.com,Business;Technology
59,googletagmanager.com,Content Servers
60,cdn-apple.com,Content Servers
61,qq.com,News & Media
62,isnssdk.com,Content Servers
63,isxz.tech,No Content
64,flurry.com,Business;Technology
65,akamaiedge.net,Content Servers
66,byteoversea.com,Content Servers
67,googleadservices.com,Advertisements
68,icloud.com,File Sharing;Content Servers
69,musiclike.top,
70,bytefcdn-oversea.com,
71,yahoo.com,News & Media
72,snaptube.app,Content Servers
73,ntp.org,Technology;Government
74,agora.io,Internet Phone & VOIP
75,cloudflareclient.com,Content Servers
76,pki.goog,Information Security
77,mzstatic.com,Information Technology;Technology
78,fbsbx.com,Content Servers
79,xnxx-cdn.com,CIPA Filter;Pornography
80,t.co,Redirect;Social Networks
81,samsung.com,Home & Garden;Technology
82,tiktokv.us,Content Servers
83,bytefcdn-ttpeu.com,Content Servers
84,xhcdn.com,Content Servers
85,like.video,Information Technology
86,fastly.net,Information Security;Information Technology;Technology
87,app-analytics-services.com,Content Servers
88,flat-ads.com,Advertisements
89,gcloudcs.com,Gaming
90,piojm.tech,Technology
91,tsyndicate.com,Content Servers
92,mobshark.net,Technology
93,rocket-cdn.com,Content Servers
94,appcenter.ms,Technology
95,adjust.com,Business
96,inner-active.mobi,Content Servers
97,qlivecdn.com,
98,byteoversea.net,Content Servers
99,skype.com,Instant Messengers;Internet Phone & VOIP
100,umeng.com,Technology
