rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,root-servers.net,Technology
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,amazonaws.com,Technology
8,microsoft.com,Information Technology;Business
9,tiktokcdn.com,Content Servers;Social Networks
10,googlevideo.com,Search Engines;Video Streaming
11,cloudflare.com,Technology
12,fbcdn.net,Social Networks
13,doubleclick.net,Advertisements
14,youtube.com,Video Streaming
15,apple-dns.net,Content Servers
16,icloud.com,File Sharing;Content Servers
17,googleusercontent.com,Content Servers
18,amazon.com,Ecommerce
19,whatsapp.net,Instant Messengers;Internet Phone & VOIP
20,tiktokv.com,Social Networks;Video Streaming
21,akadns.net,Content Servers
22,instagram.com,Social Networks
23,googlesyndication.com,Search Engines;Advertisements
24,akamai.net,Content Servers
25,gvt2.com,Content Servers
26,akamaiedge.net,Content Servers
27,ntp.org,Technology;Government
28,cloudfront.net,Content Servers;Science;Technology
29,cloudflare-dns.com,Content Servers
30,live.com,Technology;Webmail
31,bing.com,Search Engines
32,cdn77.org,Content Servers
33,aaplimg.com,Information Technology;Content Servers;Technology
34,ytimg.com,Content Servers
35,cdninstagram.com,Content Servers
36,netflix.com,Movies;Video Streaming
37,google-analytics.com,Business;Technology
38,spotify.com,Audio Streaming
39,office.com,Technology
40,yahoo.com,News & Media
41,bytefcdn-oversea.com,
42,snapchat.com,Social Networks
43,gvt1.com,Content Servers
44,app-measurement.com,APIs
45,twitter.com,Social Networks
46,dns.google,Information Technology
47,googleadservices.com,Advertisements
48,one.one,Information Technology
49,amazon-adsystem.com,Advertisements
50,unity3d.com,Gaming;Technology
51,fastly.net,Information Security;Information Technology;Technology
52,msftncsi.com,Content Servers
53,digicert.com,Information Security
54,ttlivecdn.com,Content Servers
55,criteo.com,Business
56,ui.com,Technology
57,pki.goog,Information Security
58,app-analytics-services.com,Content Servers
59,azure.com,Technology
60,applovin.com,Business;Technology
61,googletagmanager.com,Content Servers
62,msn.com,News & Media
63,trafficmanager.net,Information Technology;Content Servers
64,samsung.com,Home & Garden;Technology
65,ggpht.com,Content Servers
66,skype.com,Instant Messengers;Internet Phone & VOIP
67,baidu.com,Search Engines
68,roblox.com,Gaming;Safe for Kids
69,linkedin.com,Professional Networking
70,microsoftonline.com,Technology
71,office365.com,Technology
72,windows.net,Technology
73,xiaomi.com,Technology
74,wikipedia.org,Education
75,bytefcdn-ttpeu.com,Content Servers
76,sentry.io,Business
77,office.net,Content Servers
78,gmail.com,Webmail
79,taboola.com,Business;Advertisements
80,2mdn.net,Content Servers
81,3gppnetwork.org,Content Servers
82,windows.com,Information Technology
83,qq.com,News & Media
84,rocket-cdn.com,Content Servers
85,android.com,Technology
86,example.com,Technology
87,doubleverify.com,Business;Technology
88,tiktokcdn-us.com,Content Servers
89,casalemedia.com,Advertisements
90,rbxcdn.com,Content Servers
91,appsflyersdk.com,Content Servers;APIs
92,smartadserver.com,Advertisements
93,lencr.org,Information Technology
94,windowsupdate.com,Information Technology;Business
95,cdn-apple.com,Content Servers
96,outlook.com,Webmail
97,azureedge.net,Content Servers
98,mzstatic.com,Information Technology;Technology
99,sharepoint.com,File Sharing;Technology
100,a2z.com,Content Servers
