rank,domain,categories
1,microsoft.com,Information Technology;Business
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,instagram.com,Social Networks
9,gvt2.com,Content Servers
10,office.com,Technology
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,live.com,Technology;Webmail
13,ui.com,Technology
14,bing.com,Search Engines
15,apple-dns.net,Content Servers
16,tiktokv.com,Social Networks;Video Streaming
17,akadns.net,Content Servers
18,youtube.com,Video Streaming
19,amazon.com,Ecommerce
20,googlevideo.com,Search Engines;Video Streaming
21,doubleclick.net,Advertisements
22,icloud.com,File Sharing
23,netflix.com,Movies;Video Streaming
24,akamai.net,Content Servers
25,msn.com,News & Media
26,amazonaws.com,Technology
27,fbcdn.net,Social Networks
28,cdn77.org,Content Servers
29,akamaiedge.net,Content Servers
30,spotify.com,Audio Streaming
31,office365.com,Technology
32,snapchat.com,Social Networks
33,ytimg.com,Content Servers
34,cloudflare-dns.com,Content Servers
35,amazon-adsystem.com,Advertisements
36,cloudfront.net,Content Servers;Science;Technology
37,aaplimg.com,Information Technology;Content Servers;Technology
38,surfshark.com,CIPA Filter;Anonymizer
39,ttlivecdn.com,Content Servers
40,cloudflare.com,Technology
41,office.net,Content Servers
42,bytefcdn-oversea.com,
43,one.one,Information Technology
44,googleusercontent.com,Content Servers
45,googlesyndication.com,Search Engines;Advertisements
46,roblox.com,Gaming;Safe for Kids
47,azure.com,Technology
48,yahoo.com,News & Media
49,app-measurement.com,APIs
50,ntp.org,Technology
51,skype.com,Instant Messengers;Internet Phone & VOIP
52,googleadservices.com,Advertisements
53,akamaized.net,Content Servers
54,ggpht.com,Content Servers
55,linkedin.com,Professional Networking
56,bytefcdn-ttpeu.com,Content Servers
57,grammarly.com,Information Technology
58,adnxs.com,Content Servers
59,windows.com,Information Technology
60,pki.goog,Information Security
61,sentry.io,Business
62,dropbox.com,File Sharing
63,microsoftonline.com,Technology
64,epicgames.com,Ecommerce;Gaming
65,appcenter.ms,Technology
66,rubiconproject.com,Advertisements
67,avcdn.net,Content Servers
68,grammarly.io,Information Technology;Content Servers
69,googletagmanager.com,Content Servers
70,tiktokcdn-us.com,Content Servers
71,unifi-ai.com,Content Servers
72,pubmatic.com,Business;Technology
73,fastly.net,Information Security;Information Technology;Technology
74,windows.net,Technology
75,samsungcloud.com,Content Servers
76,mcafee.com,Technology
77,msftconnecttest.com,Content Servers
78,digicert.com,Information Security
79,google.com.ag,Search Engines
80,gmail.com,Webmail
81,azureedge.net,Content Servers
82,twitter.com,Social Networks
83,meraki.com,
84,google-analytics.com,Business;Technology
85,rocket-cdn.com,Content Servers
86,rings.solutions,Content Servers
87,dns.google,Information Technology
88,live.net,Content Servers
89,unity3d.com,Gaming;Technology
90,avast.com,Technology
91,msftncsi.com,Content Servers
92,nflxso.net,Content Servers
93,3lift.com,Business
94,outbrain.com,Business;Advertisements
95,a2z.com,Content Servers
96,criteo.com,Business
97,ampproject.org,Information Technology
98,sharepoint.com,File Sharing;Technology
99,adobe.com,Technology
100,tiktok.com,Social Networks;Video Streaming;Advertisements
