rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,gvt2.com,Content Servers
8,office.com,Technology
9,apple.com,Information Technology;Technology
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,doubleclick.net,Advertisements
12,cloudflare.com,Technology
13,tiktokv.com,Social Networks;Video Streaming
14,fbcdn.net,Social Networks
15,youtube.com,Video Streaming
16,msn.com,News & Media
17,bing.com,Search Engines
18,googleusercontent.com,Content Servers
19,microsoftonline.com,Technology
20,live.com,Technology;Webmail
21,akamai.net,Content Servers
22,googlevideo.com,Search Engines;Video Streaming
23,akadns.net,Content Servers
24,instagram.com,Social Networks
25,akamaiedge.net,Content Servers
26,windowsupdate.com,Information Technology;Business
27,spotify.com,Audio Streaming
28,netflix.com,Movies;Video Streaming
29,office.net,Content Servers
30,amazon-adsystem.com,Advertisements
31,lencr.org,Information Technology
32,windows.com,Information Technology
33,amazonaws.com,Technology
34,googlesyndication.com,Search Engines;Advertisements
35,ytimg.com,Content Servers
36,azure.com,Technology
37,google.co.bw,Search Engines
38,apple-dns.net,Content Servers
39,skype.com,Instant Messengers;Internet Phone & VOIP
40,googletagmanager.com,Content Servers
41,cloudflare-dns.com,Content Servers
42,ttlivecdn.com,Content Servers
43,google-analytics.com,Business;Technology
44,office365.com,Technology
45,cdn77.org,Content Servers
46,kaspersky-labs.com,Technology
47,msftncsi.com,Content Servers
48,icloud.com,File Sharing
49,yahoo.com,News & Media
50,sharepoint.com,File Sharing;Technology
51,kaspersky.com,Technology
52,googleadservices.com,Advertisements
53,akamaized.net,Content Servers
54,pubmatic.com,Business;Technology
55,msftconnecttest.com,Content Servers
56,appcenter.ms,Technology
57,whatsapp.com,Instant Messengers;Internet Phone & VOIP
58,cloudfront.net,Content Servers;Science;Technology
59,gmail.com,Webmail
60,mcafee.com,Technology
61,adnxs.com,Content Servers
62,ggpht.com,Content Servers
63,linkedin.com,Professional Networking
64,rubiconproject.com,Advertisements
65,bytefcdn-oversea.com,
66,criteo.com,Business
67,ntp.org,Technology
68,nr-data.net,Content Servers
69,snapchat.com,Social Networks
70,anydesk.com,Information Technology
71,adobe.com,Technology
72,app-measurement.com,APIs
73,gvt1.com,Content Servers
74,grammarly.com,Information Technology
75,digicert.com,Information Security
76,aaplimg.com,Information Technology;Content Servers;Technology
77,amazon.ca,Ecommerce
78,bidswitch.net,Technology
79,azureedge.net,Content Servers
80,grammarly.io,Information Technology;Content Servers
81,trafficmanager.net,Content Servers
82,windows.net,Technology
83,opera.com,Technology
84,msedge.net,Content Servers
85,clarity.ms,Content Servers
86,amazon.com,Ecommerce
87,outlook.com,Webmail
88,tradingview.com,Economy & Finance;Professional Networking
89,dns.google,Information Technology
90,smartadserver.com,Advertisements
91,mozilla.com,Information Technology
92,avcdn.net,Content Servers
93,dropbox.com,File Sharing
94,pki.goog,Information Security
95,openx.net,Advertisements
96,twitter.com,Social Networks
97,shalltry.com,Content Servers
98,adform.net,Content Servers
99,facebook.net,Social Networks
100,amazon.co.uk,Ecommerce
