rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,tiktokcdn.com,Content Servers;Social Networks
8,akadns.net,Content Servers
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,apple-dns.net,Content Servers
11,akamaiedge.net,Content Servers
12,office.com,Technology
13,icloud.com,File Sharing
14,cloudflare-dns.com,Content Servers
15,live.com,Technology;Webmail
16,youtube.com,Video Streaming
17,akamai.net,Content Servers
18,bing.com,Search Engines
19,msn.com,News & Media
20,tiktokv.com,Social Networks;Video Streaming
21,gvt2.com,Content Servers
22,doubleclick.net,Advertisements
23,netflix.com,Movies;Video Streaming
24,googlevideo.com,Search Engines;Video Streaming
25,googleusercontent.com,Content Servers
26,amazonaws.com,Technology
27,ui.com,Technology
28,office.net,Content Servers
29,aaplimg.com,Information Technology;Content Servers;Technology
30,spotify.com,Audio Streaming
31,googlesyndication.com,Search Engines;Advertisements
32,instagram.com,Social Networks
33,snapchat.com,Social Networks
34,cloudflare.com,Technology
35,ntp.org,Technology
36,google-analytics.com,Business;Technology
37,office365.com,Technology
38,ytimg.com,Content Servers
39,dropbox.com,File Sharing
40,one.one,Information Technology
41,app-measurement.com,APIs
42,cloudfront.net,Content Servers;Science;Technology
43,fbcdn.net,Social Networks
44,microsoftonline.com,Technology
45,bytefcdn-oversea.com,
46,azure.com,Technology
47,windowsupdate.com,Information Technology;Business
48,msftncsi.com,Content Servers
49,gmail.com,Webmail
50,pki.goog,Information Security
51,adnxs.com,Content Servers
52,yahoo.com,News & Media
53,skype.com,Instant Messengers;Internet Phone & VOIP
54,ttlivecdn.com,Content Servers
55,fastly.net,Information Security;Information Technology;Technology
56,epicgames.com,Ecommerce;Gaming
57,akamaized.net,Content Servers
58,smartadserver.com,Advertisements
59,synology.com,Technology
60,lencr.org,Information Technology
61,cdn77.org,Content Servers
62,amazon-adsystem.com,Advertisements
63,googleadservices.com,Advertisements
64,avcdn.net,Content Servers
65,googletagmanager.com,Content Servers
66,outlook.com,Webmail
67,amazon.com,Ecommerce
68,ggpht.com,Content Servers
69,avast.com,Technology
70,mozilla.com,Information Technology
71,trafficmanager.net,Content Servers
72,windows.net,Technology
73,rubiconproject.com,Advertisements
74,criteo.com,Business
75,digicert.com,Information Security
76,orange.fr,Information Technology
77,taboola.com,Business;Advertisements
78,twitter.com,Social Networks
79,roblox.com,Gaming;Safe for Kids
80,adobe.com,Technology
81,msftconnecttest.com,Content Servers
82,azureedge.net,Content Servers
83,bitdefender.net,Information Security;Technology
84,pubmatic.com,Business;Technology
85,sharepoint.com,File Sharing;Technology
86,canva.com,Hobbies & Interests
87,bytefcdn-ttpeu.com,Content Servers
88,nr-data.net,Content Servers
89,windows.com,Information Technology
90,adobe.io,Business;Technology
91,a2z.com,Content Servers
92,cdn-apple.com,Content Servers
93,sc-cdn.net,Content Servers
94,cdninstagram.com,Content Servers
95,google.fr,Search Engines
96,unity3d.com,Gaming;Technology
97,mozgcp.net,Information Technology;Content Servers
98,msedge.net,Content Servers
99,3lift.com,Business
100,outbrain.com,Business;Advertisements
