rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,googleapis.com,Content Servers;Webmail
4,tiktokv.com,Social Networks;Video Streaming
5,facebook.com,Social Networks
6,akamai.net,Content Servers
7,gstatic.com,Content Servers
8,microsoft.com,Information Technology;Business
9,cdn77.org,Content Servers
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,akadns.net,Content Servers
12,fbcdn.net,Social Networks
13,ttlivecdn.com,Content Servers
14,akamaiedge.net,Content Servers
15,xnxx-cdn.com,CIPA Filter;Pornography
16,bytefcdn-ttpeu.com,Content Servers
17,youtube.com,Video Streaming
18,googleusercontent.com,Content Servers
19,apple.com,Information Technology;Technology
20,doubleclick.net,Advertisements
21,bytefcdn-oversea.com,
22,apple-dns.net,Content Servers
23,googlevideo.com,Search Engines;Video Streaming
24,snapchat.com,Social Networks
25,aaplimg.com,Information Technology;Content Servers;Technology
26,byteoversea.net,Content Servers
27,ntp.org,Technology
28,gvt2.com,Content Servers
29,app-measurement.com,APIs
30,instagram.com,Social Networks
31,ytimg.com,Content Servers
32,one.one,Information Technology
33,ibyteimg.com,Content Servers
34,rocket-cdn.com,Content Servers
35,wsdvs.com,Content Servers
36,applovin.com,Gaming
37,icloud.com,File Sharing
38,ggpht.com,Content Servers
39,office365.com,Technology
40,byteglb.com,
41,cloudflare.com,Technology
42,ovscdns.net,Content Servers
43,amazonaws.com,Technology
44,inner-active.mobi,Content Servers
45,unity3d.com,Gaming;Technology
46,qlivecdn.com,
47,office.com,Technology
48,cdninstagram.com,Content Servers
49,fastly.net,Information Security;Information Technology;Technology
50,gvt1.com,Content Servers
51,googlesyndication.com,Search Engines;Advertisements
52,xnxxapp01.com,
53,atomile.com,No Content
54,amazon-adsystem.com,Advertisements
55,ttoverseaus.net,Content Servers
56,skype.com,Instant Messengers;Internet Phone & VOIP
57,rocket-cdnbp.com,
58,pki.goog,Information Security
59,yahoo.com,News & Media
60,appcenter.ms,Technology
61,appsflyer.com,Business;Technology
62,lencr.org,Information Technology
63,cloudflare-dns.com,Content Servers
64,trafficmanager.net,Content Servers
65,windowsupdate.com,Information Technology;Business
66,azure.com,Technology
67,googleadservices.com,Advertisements
68,tiktokcdn-us.com,Content Servers
69,spbycdn.com,
70,playstation.net,Gaming
71,cloudfront.net,Content Servers;Science;Technology
72,bytetcdn.com,Content Servers
73,android.com,Technology
74,shalltry.com,Content Servers
75,criteo.com,Business
76,pangle.io,Content Servers
77,live.com,Technology;Webmail
78,stickyadstv.com,Business
79,pubmatic.com,Business;Technology
80,whatsapp.com,Instant Messengers;Internet Phone & VOIP
81,crashlytics.com,Information Technology
82,cloudflareclient.com,Content Servers
83,mzstatic.com,Information Technology;Technology
84,eset.com,Technology
85,orbsrv.com,Content Servers
86,nelreports.net,Content Servers
87,quantserve.com,Content Servers
88,palmpay.app,Politics, Advocacy, and Government-Related
89,kaspersky-labs.com,Technology
90,windows.com,Information Technology
91,taboola.com,Business;Advertisements
92,dotomi.com,Business
93,ttdns2.com,
94,rubiconproject.com,Advertisements
95,office.net,Content Servers
96,cdn-apple.com,Content Servers
97,adnxs.com,Content Servers
98,tiktok.com,Social Networks;Video Streaming;Advertisements
99,linkedin.com,Professional Networking
100,msftncsi.com,Content Servers
