rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,microsoft.com,Information Technology;Business
6,facebook.com,Social Networks
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,gvt2.com,Content Servers
10,youtube.com,Video Streaming
11,doubleclick.net,Advertisements
12,googlevideo.com,Search Engines;Video Streaming
13,instagram.com,Social Networks
14,live.com,Technology;Webmail
15,googleusercontent.com,Content Servers
16,ttlivecdn.com,Content Servers
17,fbcdn.net,Social Networks
18,apple.com,Information Technology;Technology
19,akamai.net,Content Servers
20,googlesyndication.com,Search Engines;Advertisements
21,ytimg.com,Content Servers
22,spotify.com,Audio Streaming
23,bing.com,Search Engines
24,netflix.com,Movies;Video Streaming
25,office.com,Technology
26,amazonaws.com,Technology
27,googleadservices.com,Advertisements
28,akadns.net,Content Servers
29,whatsapp.com,Instant Messengers;Internet Phone & VOIP
30,akamaiedge.net,Content Servers
31,msn.com,News & Media
32,amazon.com,Ecommerce
33,office.net,Content Servers
34,cdn77.org,Content Servers
35,bytefcdn-oversea.com,
36,google.hn,Search Engines
37,ggpht.com,Content Servers
38,apple-dns.net,Content Servers
39,cloudflare-dns.com,Content Servers
40,ntp.org,Technology
41,yahoo.com,News & Media
42,cloudflare.com,Technology
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,amazon-adsystem.com,Advertisements
45,snapchat.com,Social Networks
46,cloudfront.net,Content Servers;Science;Technology
47,google-analytics.com,Business;Technology
48,icloud.com,File Sharing
49,gvt1.com,Content Servers
50,akamaized.net,Content Servers
51,bytefcdn-ttpeu.com,Content Servers
52,gboxlab.com,Information Technology
53,aaplimg.com,Information Technology;Content Servers;Technology
54,roblox.com,Gaming;Safe for Kids
55,googletagmanager.com,Content Servers
56,app-measurement.com,APIs
57,ibyteimg.com,Content Servers
58,tiktokcdn-us.com,Content Servers
59,pubmatic.com,Business;Technology
60,windows.com,Information Technology
61,microsoftonline.com,Technology
62,rubiconproject.com,Advertisements
63,criteo.com,Business
64,unity3d.com,Gaming;Technology
65,dns.google,Information Technology
66,office365.com,Technology
67,msftncsi.com,Content Servers
68,adnxs.com,Content Servers
69,samsungcloud.com,Content Servers
70,cdninstagram.com,Content Servers
71,rocket-cdn.com,Content Servers
72,windowsupdate.com,Information Technology;Business
73,a2z.com,Content Servers
74,android.com,Technology
75,applovin.com,Gaming
76,twitter.com,Social Networks
77,appsflyersdk.com,Content Servers
78,fastly.net,Information Security;Information Technology;Technology
79,rbxcdn.com,Content Servers
80,appcenter.ms,Technology
81,atomile.com,No Content
82,wsdvs.com,Content Servers
83,pangle.io,Content Servers
84,ampproject.org,Information Technology
85,taboola.com,Business;Advertisements
86,msftconnecttest.com,Content Servers
87,dbankcloud.com,Technology
88,samsung.com,Home & Garden;Technology
89,mtgglobals.com,Content Servers
90,one.one,Information Technology
91,nflxso.net,Content Servers
92,lencr.org,Information Technology
93,facebook.net,Social Networks
94,bamgrid.com,Content Servers
95,epicgames.com,Ecommerce;Gaming
96,linkedin.com,Professional Networking
97,scorecardresearch.com,Business
98,msedge.net,Content Servers
99,gmail.com,Webmail
100,windows.net,Technology
