rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Webmail
4,google.com,Search Engines
5,tiktokv.com,Social Networks;Video Streaming
6,akamai.net,Content Servers
7,cdn77.org,Content Servers
8,apple.com,Information Technology;Technology
9,instagram.com,Social Networks
10,fbcdn.net,Social Networks
11,gstatic.com,Content Servers
12,akadns.net,Content Servers
13,akamaiedge.net,Content Servers
14,snapchat.com,Social Networks
15,ttlivecdn.com,Content Servers
16,bytefcdn-oversea.com,
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,apple-dns.net,Content Servers
19,tiktokcdn-us.com,Content Servers
20,googlevideo.com,Search Engines;Video Streaming
21,nakheelteam.cc,Technology
22,aaplimg.com,Information Technology;Content Servers;Technology
23,icloud.com,File Sharing
24,youtube.com,Video Streaming
25,bytefcdn-ttpeu.com,Content Servers
26,doubleclick.net,Advertisements
27,byteglb.com,
28,googleusercontent.com,Content Servers
29,app-measurement.com,APIs
30,ytimg.com,Content Servers
31,rocket-cdn.com,Content Servers
32,ibyteimg.com,Content Servers
33,microsoft.com,Information Technology;Business
34,sc-cdn.net,Content Servers
35,atomile.com,No Content
36,amazonaws.com,Technology
37,wsdvs.com,Content Servers
38,igamecj.com,Content Servers
39,qlivecdn.com,
40,one.one,Information Technology
41,fastly.net,Information Security;Information Technology;Technology
42,gvt2.com,Content Servers
43,appsflyersdk.com,Content Servers
44,worldfcdn2.com,Content Servers
45,googlesyndication.com,Search Engines;Advertisements
46,cloudfront.net,Content Servers;Science;Technology
47,rocket-cdnbp.com,
48,ggpht.com,Content Servers
49,sc-gw.com,Content Servers
50,applovin.com,Gaming
51,pki.goog,Information Security
52,cdninstagram.com,Content Servers
53,ovscdns.net,Content Servers
54,unity3d.com,Gaming;Technology
55,cloudflare.com,Technology
56,bytetcdn.com,Content Servers
57,fbsbx.com,Content Servers
58,ttdns2.com,
59,appsflyer.com,Business;Technology
60,google.iq,Search Engines
61,viber.com,Instant Messengers;Internet Phone & VOIP
62,byteoversea.net,Content Servers
63,ttoverseaus.net,Content Servers
64,safebrowsing.apple,Content Servers
65,google-analytics.com,Business;Technology
66,pangle.io,Content Servers
67,tdatamaster.com,
68,shalltry.com,Content Servers
69,googletagmanager.com,Content Servers
70,yalla.games,Content Servers
71,amazon-adsystem.com,Advertisements
72,googleadservices.com,Advertisements
73,ntp.org,Technology
74,mncdn.com,Content Servers
75,cloudflare-dns.com,Content Servers
76,mtgglobals.com,Content Servers
77,cdn-apple.com,Content Servers
78,bing.com,Search Engines
79,roblox.com,Gaming;Safe for Kids
80,gvt1.com,Content Servers
81,byteoversea.com,Content Servers
82,gmail.com,Webmail
83,digicert.com,Information Security
84,mzstatic.com,Information Technology;Technology
85,gcloudcs.com,Gaming
86,gpubgm.com,
87,akamaized.net,Content Servers
88,isnssdk.com,Content Servers
89,crashlytics.com,Information Technology
90,aliyuncs.com,Content Servers
91,android.com,Technology
92,qq.com,News & Media
93,vungle.com,Business;Technology
94,rbxcdn.com,Content Servers
95,spbycdn.com,
96,yahoo.com,News & Media
97,twimg.com,Content Servers
98,adjust.com,Business
99,twitter.com,Social Networks
100,azure.com,Technology
