rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,tiktokcdn.com,Content Servers;Social Networks
6,facebook.com,Social Networks
7,tiktokv.com,Social Networks;Video Streaming
8,instagram.com,Social Networks
9,apple.com,Information Technology;Technology
10,youtube.com,Video Streaming
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,doubleclick.net,Advertisements
13,googlevideo.com,Search Engines;Video Streaming
14,akamai.net,Content Servers
15,gvt2.com,Content Servers
16,amazon.com,Ecommerce
17,live.com,Technology;Webmail
18,akadns.net,Content Servers
19,office.com,Technology
20,googleusercontent.com,Content Servers
21,akamaiedge.net,Content Servers
22,ttlivecdn.com,Content Servers
23,snapchat.com,Social Networks
24,apple-dns.net,Content Servers
25,googlesyndication.com,Search Engines;Advertisements
26,bytefcdn-oversea.com,
27,bing.com,Search Engines
28,amazonaws.com,Technology
29,cloudflare.com,Technology
30,icloud.com,File Sharing
31,ytimg.com,Content Servers
32,netflix.com,Movies;Video Streaming
33,yahoo.com,News & Media
34,cloudfront.net,Content Servers;Science;Technology
35,msn.com,News & Media
36,amazon-adsystem.com,Advertisements
37,fbcdn.net,Social Networks
38,aaplimg.com,Information Technology;Content Servers;Technology
39,ui.com,Technology
40,ntp.org,Technology
41,office.net,Content Servers
42,ggpht.com,Content Servers
43,spotify.com,Audio Streaming
44,googleadservices.com,Advertisements
45,akamaized.net,Content Servers
46,app-measurement.com,APIs
47,roblox.com,Gaming;Safe for Kids
48,unity3d.com,Gaming;Technology
49,cloudflare-dns.com,Content Servers
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,bytefcdn-ttpeu.com,Content Servers
52,applovin.com,Gaming
53,cdn77.org,Content Servers
54,google-analytics.com,Business;Technology
55,google.com.jm,Search Engines
56,rocket-cdn.com,Content Servers
57,tiktokcdn-us.com,Content Servers
58,mtgglobals.com,Content Servers
59,ibyteimg.com,Content Servers
60,gvt1.com,Content Servers
61,grammarly.com,Information Technology
62,fastly.net,Information Security;Information Technology;Technology
63,samsungcloud.com,Content Servers
64,one.one,Information Technology
65,appsflyersdk.com,Content Servers
66,atomile.com,No Content
67,wsdvs.com,Content Servers
68,rbxcdn.com,Content Servers
69,googletagmanager.com,Content Servers
70,pangle.io,Content Servers
71,grammarly.io,Information Technology;Content Servers
72,windows.com,Information Technology
73,microsoftonline.com,Technology
74,office365.com,Technology
75,pki.goog,Information Security
76,sc-cdn.net,Content Servers
77,linkedin.com,Professional Networking
78,qlivecdn.com,
79,rubiconproject.com,Advertisements
80,pubmatic.com,Business;Technology
81,windowsupdate.com,Information Technology;Business
82,a2z.com,Content Servers
83,msftconnecttest.com,Content Servers
84,gmail.com,Webmail
85,cdninstagram.com,Content Servers
86,twitter.com,Social Networks
87,whatsapp.com,Instant Messengers;Internet Phone & VOIP
88,mcafee.com,Technology
89,firetvcaptiveportal.com,Content Servers
90,android.com,Technology
91,adnxs.com,Content Servers
92,appcenter.ms,Technology
93,samsung.com,Home & Garden;Technology
94,criteo.com,Business
95,taboola.com,Business;Advertisements
96,vungle.com,Business;Technology
97,scorecardresearch.com,Business
98,rocket-cdnbp.com,
99,cdn-apple.com,Content Servers
100,msftncsi.com,Content Servers
