rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,youtube.com,Video Streaming
8,gvt2.com,Content Servers
9,office.com,Technology
10,googlevideo.com,Search Engines;Video Streaming
11,doubleclick.net,Advertisements
12,tiktokcdn.com,Content Servers;Social Networks
13,apple.com,Information Technology;Technology
14,live.com,Technology;Webmail
15,bing.com,Search Engines
16,akamai.net,Content Servers
17,tiktokv.com,Social Networks;Video Streaming
18,akadns.net,Content Servers
19,googleusercontent.com,Content Servers
20,akamaiedge.net,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,ytimg.com,Content Servers
23,netflix.com,Movies;Video Streaming
24,msn.com,News & Media
25,instagram.com,Social Networks
26,cloudflare.com,Technology
27,ntp.org,Technology
28,amazonaws.com,Technology
29,cloudflare-dns.com,Content Servers
30,microsoftonline.com,Technology
31,apple-dns.net,Content Servers
32,fbcdn.net,Social Networks
33,azure.com,Technology
34,office.net,Content Servers
35,office365.com,Technology
36,yahoo.com,News & Media
37,ggpht.com,Content Servers
38,trafficmanager.net,Content Servers
39,spotify.com,Audio Streaming
40,cdn77.org,Content Servers
41,google-analytics.com,Business;Technology
42,amazon-adsystem.com,Advertisements
43,cloudfront.net,Content Servers;Science;Technology
44,msftncsi.com,Content Servers
45,windowsupdate.com,Information Technology;Business
46,google.com.na,Search Engines
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,app-measurement.com,APIs
49,ttlivecdn.com,Content Servers
50,gvt1.com,Content Servers
51,criteo.com,Business
52,snapchat.com,Social Networks
53,windows.com,Information Technology
54,aaplimg.com,Information Technology;Content Servers;Technology
55,lencr.org,Information Technology
56,avcdn.net,Content Servers
57,msftconnecttest.com,Content Servers
58,icloud.com,File Sharing
59,googletagmanager.com,Content Servers
60,adobe.com,Technology
61,whatsapp.com,Instant Messengers;Internet Phone & VOIP
62,bytefcdn-oversea.com,
63,outlook.com,Webmail
64,dropbox.com,File Sharing
65,rubiconproject.com,Advertisements
66,gmail.com,Webmail
67,kaspersky.com,Technology
68,pubmatic.com,Business;Technology
69,akamaized.net,Content Servers
70,googleadservices.com,Advertisements
71,applovin.com,Gaming
72,sharepoint.com,File Sharing;Technology
73,ui.com,Technology
74,opera.com,Technology
75,azureedge.net,Content Servers
76,windows.net,Technology
77,one.one,Information Technology
78,nelreports.net,Content Servers
79,avast.com,Technology
80,bidswitch.net,Technology
81,linkedin.com,Professional Networking
82,grammarly.com,Information Technology
83,pki.goog,Information Security
84,digicert.com,Information Security
85,grammarly.io,Information Technology;Content Servers
86,amazon.com,Ecommerce
87,adnxs.com,Content Servers
88,dbankcloud.com,Technology
89,gamepass.com,Gaming;Information Technology
90,appcenter.ms,Technology
91,scorecardresearch.com,Business
92,anydesk.com,Information Technology
93,adobe.io,Business;Technology
94,msedge.net,Content Servers
95,mcafee.com,Technology
96,roblox.com,Gaming;Safe for Kids
97,facebook.net,Social Networks
98,teamviewer.com,Information Technology
99,twitter.com,Social Networks
100,tiktokcdn-us.com,Content Servers
