rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,gvt2.com,Content Servers
7,microsoft.com,Information Technology;Business
8,youtube.com,Video Streaming
9,tiktokv.com,Social Networks;Video Streaming
10,instagram.com,Social Networks
11,googlevideo.com,Search Engines;Video Streaming
12,doubleclick.net,Advertisements
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,ytimg.com,Content Servers
15,googleusercontent.com,Content Servers
16,googlesyndication.com,Search Engines;Advertisements
17,fbcdn.net,Social Networks
18,netflix.com,Movies;Video Streaming
19,ttlivecdn.com,Content Servers
20,cloudflare.com,Technology
21,cloudfront.net,Content Servers;Science;Technology
22,bing.com,Search Engines
23,amazon.com,Ecommerce
24,spotify.com,Audio Streaming
25,live.com,Technology;Webmail
26,apple.com,Information Technology;Technology
27,google-analytics.com,Business;Technology
28,googleadservices.com,Advertisements
29,whatsapp.com,Instant Messengers;Internet Phone & VOIP
30,google.co.ve,Search Engines
31,shalltry.com,Content Servers
32,amazonaws.com,Technology
33,cloudflare-dns.com,Content Servers
34,ggpht.com,Content Servers
35,msn.com,News & Media
36,akamai.net,Content Servers
37,gvt1.com,Content Servers
38,amazon-adsystem.com,Advertisements
39,twitter.com,Social Networks
40,googletagmanager.com,Content Servers
41,ntp.org,Technology
42,office.com,Technology
43,cdninstagram.com,Content Servers
44,snapchat.com,Social Networks
45,rubiconproject.com,Advertisements
46,akadns.net,Content Servers
47,akamaiedge.net,Content Servers
48,windows.com,Information Technology
49,ampproject.org,Information Technology
50,adnxs.com,Content Servers
51,taboola.com,Business;Advertisements
52,yahoo.com,News & Media
53,akamaized.net,Content Servers
54,xiaomi.com,Technology
55,app-measurement.com,APIs
56,unity3d.com,Gaming;Technology
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,msftncsi.com,Content Servers
59,pubmatic.com,Business;Technology
60,apple-dns.net,Content Servers
61,cdn77.org,Content Servers
62,office.net,Content Servers
63,xnxx-cdn.com,CIPA Filter;Pornography
64,bytefcdn-oversea.com,
65,opera.com,Technology
66,wikipedia.org,Education
67,applovin.com,Gaming
68,avcdn.net,Content Servers
69,twimg.com,Content Servers
70,android.com,Technology
71,avast.com,Technology
72,icloud.com,File Sharing
73,ibyteimg.com,Content Servers
74,roblox.com,Gaming;Safe for Kids
75,linkedin.com,Professional Networking
76,pangle.io,Content Servers
77,miui.com,Technology
78,tiktokcdn-us.com,Content Servers
79,dns.google,Information Technology
80,windowsupdate.com,Information Technology;Business
81,facebook.net,Social Networks
82,criteo.com,Business
83,canva.com,Hobbies & Interests
84,brave.com,Information Technology
85,smartadserver.com,Advertisements
86,appsflyersdk.com,Content Servers
87,scorecardresearch.com,Business
88,aaplimg.com,Information Technology;Content Servers;Technology
89,t.co,Redirect;Social Networks
90,root-servers.net,Technology
91,a2z.com,Content Servers
92,fbsbx.com,Content Servers
93,mtgglobals.com,Content Servers
94,lencr.org,Information Technology
95,openx.net,Advertisements
96,vidoomy.com,Business
97,epicgames.com,Ecommerce;Gaming
98,fastly.net,Information Security;Information Technology;Technology
99,appsflyer.com,Business;Technology
100,vungle.com,Business;Technology
