rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,tiktokcdn.com,Content Servers;Social Networks
5,microsoft.com,Information Technology;Business
6,apple.com,Information Technology;Technology
7,gstatic.com,Content Servers
8,tiktokv.com,Social Networks;Video Streaming
9,gvt2.com,Content Servers
10,doubleclick.net,Advertisements
11,office.com,Technology
12,youtube.com,Video Streaming
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,apple-dns.net,Content Servers
15,googleusercontent.com,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,akamai.net,Content Servers
18,live.com,Technology;Webmail
19,akadns.net,Content Servers
20,bing.com,Search Engines
21,snapchat.com,Social Networks
22,fbcdn.net,Social Networks
23,instagram.com,Social Networks
24,icloud.com,File Sharing
25,msn.com,News & Media
26,googlesyndication.com,Search Engines;Advertisements
27,akamaiedge.net,Content Servers
28,adnxs.com,Content Servers
29,cdn77.org,Content Servers
30,ttlivecdn.com,Content Servers
31,aaplimg.com,Information Technology;Content Servers;Technology
32,cloudflare-dns.com,Content Servers
33,app-measurement.com,APIs
34,skype.com,Instant Messengers;Internet Phone & VOIP
35,yahoo.com,News & Media
36,amazon-adsystem.com,Advertisements
37,ytimg.com,Content Servers
38,office.net,Content Servers
39,google-analytics.com,Business;Technology
40,cloudflare.com,Technology
41,spotify.com,Audio Streaming
42,akamaized.net,Content Servers
43,office365.com,Technology
44,bytefcdn-oversea.com,
45,amazonaws.com,Technology
46,windows.com,Information Technology
47,netflix.com,Movies;Video Streaming
48,cloudfront.net,Content Servers;Science;Technology
49,smartadserver.com,Advertisements
50,googleadservices.com,Advertisements
51,rubiconproject.com,Advertisements
52,ui.com,Technology
53,one.one,Information Technology
54,pki.goog,Information Security
55,criteo.com,Business
56,azure.com,Technology
57,googletagmanager.com,Content Servers
58,opera.com,Technology
59,linkedin.com,Professional Networking
60,azureedge.net,Content Servers
61,cdninstagram.com,Content Servers
62,microsoftonline.com,Technology
63,twitter.com,Social Networks
64,digicert.com,Information Security
65,sharepoint.com,File Sharing;Technology
66,cdn-apple.com,Content Servers
67,gvt1.com,Content Servers
68,mcafee.com,Technology
69,msftconnecttest.com,Content Servers
70,ntp.org,Technology
71,epicgames.com,Ecommerce;Gaming
72,sc-cdn.net,Content Servers
73,scorecardresearch.com,Business
74,ggpht.com,Content Servers
75,casalemedia.com,Advertisements
76,3lift.com,Business
77,avcdn.net,Content Servers
78,criteo.net,Business
79,msedge.net,Content Servers
80,msftncsi.com,Content Servers
81,lijit.com,Business
82,outbrain.com,Business;Advertisements
83,amazon.com,Ecommerce
84,mozilla.com,Information Technology
85,avast.com,Technology
86,brave.com,Information Technology
87,sentry.io,Business
88,live.net,Content Servers
89,nr-data.net,Content Servers
90,taboola.com,Business;Advertisements
91,outlook.com,Webmail
92,openx.net,Advertisements
93,pubmatic.com,Business;Technology
94,trafficmanager.net,Content Servers
95,clarity.ms,Content Servers
96,adobe.io,Business;Technology
97,ovh.net,Information Technology
98,licdn.com,Content Servers
99,eset.com,Technology
100,nelreports.net,Content Servers
