rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokcdn.com,Content Servers;Social Networks
9,akadns.net,Content Servers
10,doubleclick.net,Advertisements
11,instagram.com,Social Networks
12,live.com,Technology;Webmail
13,apple-dns.net,Content Servers
14,youtube.com,Video Streaming
15,tiktokv.com,Social Networks;Video Streaming
16,gvt2.com,Content Servers
17,office.com,Technology
18,akamai.net,Content Servers
19,googleusercontent.com,Content Servers
20,icloud.com,File Sharing
21,akamaiedge.net,Content Servers
22,googlevideo.com,Search Engines;Video Streaming
23,spotify.com,Audio Streaming
24,googlesyndication.com,Search Engines;Advertisements
25,aaplimg.com,Information Technology;Content Servers;Technology
26,fbcdn.net,Social Networks
27,slack.com,Instant Messengers
28,amazonaws.com,Technology
29,cdn77.org,Content Servers
30,cloudfront.net,Content Servers;Science;Technology
31,bing.com,Search Engines
32,ui.com,Technology
33,one.one,Information Technology
34,netflix.com,Movies;Video Streaming
35,ytimg.com,Content Servers
36,cloudflare.com,Technology
37,google-analytics.com,Business;Technology
38,googleadservices.com,Advertisements
39,msn.com,News & Media
40,amazon-adsystem.com,Advertisements
41,office.net,Content Servers
42,criteo.com,Business
43,ntp.org,Technology
44,ttlivecdn.com,Content Servers
45,amazon.com,Ecommerce
46,office365.com,Technology
47,rubiconproject.com,Advertisements
48,cloudflare-dns.com,Content Servers
49,bytefcdn-oversea.com,
50,googletagmanager.com,Content Servers
51,linkedin.com,Professional Networking
52,fastly.net,Information Security;Information Technology;Technology
53,yahoo.com,News & Media
54,microsoftonline.com,Technology
55,app-measurement.com,APIs
56,taboola.com,Business;Advertisements
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,azure.com,Technology
59,gmail.com,Webmail
60,pki.goog,Information Security
61,google.ad,Search Engines
62,smartadserver.com,Advertisements
63,digicert.com,Information Security
64,pubmatic.com,Business;Technology
65,adnxs.com,Content Servers
66,twitter.com,Social Networks
67,synology.com,Technology
68,baidu.com,Search Engines
69,appcenter.ms,Technology
70,msftncsi.com,Content Servers
71,bytefcdn-ttpeu.com,Content Servers
72,sharepoint.com,File Sharing;Technology
73,amazon.es,Ecommerce
74,trafficmanager.net,Content Servers
75,akamaized.net,Content Servers
76,windows.net,Technology
77,brave.com,Information Technology
78,cdn-apple.com,Content Servers
79,clarity.ms,Content Servers
80,sensic.net,Business
81,dropbox.com,File Sharing
82,snapchat.com,Social Networks
83,msedge.net,Content Servers
84,sentry.io,Business
85,openx.net,Advertisements
86,amazonalexa.com,Content Servers
87,dns.google,Information Technology
88,cdninstagram.com,Content Servers
89,ubuntu.com,Technology
90,mozilla.com,Information Technology
91,xiaomi.com,Technology
92,windowsupdate.com,Information Technology;Business
93,applovin.com,Gaming
94,outlook.com,Webmail
95,windows.com,Information Technology
96,mrf.io,News & Media
97,lencr.org,Information Technology
98,scdn.co,Content Servers
99,surfshark.com,CIPA Filter;Anonymizer
100,outbrain.com,Business;Advertisements
