rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,gvt2.com,Content Servers
6,doubleclick.net,Advertisements
7,microsoft.com,Information Technology;Business
8,yandex.ru,News & Media
9,youtube.com,Video Streaming
10,apple.com,Information Technology;Technology
11,tiktokcdn.com,Content Servers;Social Networks
12,instagram.com,Social Networks
13,fbcdn.net,Social Networks
14,mail.ru,Webmail
15,googlevideo.com,Search Engines;Video Streaming
16,yandex.net,News & Media
17,adjarabet.am,Gambling;CIPA Filter
18,cloudflare.com,Technology
19,google-analytics.com,Business;Technology
20,googleusercontent.com,Content Servers
21,googletagmanager.com,Content Servers
22,tiktokv.com,Social Networks;Video Streaming
23,ytimg.com,Content Servers
24,google.am,Search Engines
25,akadns.net,Content Servers
26,googlesyndication.com,Search Engines;Advertisements
27,icloud.com,File Sharing
28,tiktokcdn-us.com,Content Servers
29,apple-dns.net,Content Servers
30,akamaiedge.net,Content Servers
31,vbet.am,Gambling;CIPA Filter
32,whatsapp.net,Instant Messengers;Internet Phone & VOIP
33,akamai.net,Content Servers
34,amazonaws.com,Technology
35,livechatinc.com,Instant Messengers;Business
36,totogaming.am,Gambling;CIPA Filter
37,hotjar.com,Business;Technology
38,ntp.org,Technology
39,snapchat.com,Social Networks
40,viber.com,Instant Messengers;Internet Phone & VOIP
41,cdn77.org,Content Servers
42,cloudfront.net,Content Servers;Science;Technology
43,ok.ru,Social Networks;Video Streaming
44,aaplimg.com,Information Technology;Content Servers;Technology
45,gvt1.com,Content Servers
46,googleadservices.com,Advertisements
47,amazon-adsystem.com,Advertisements
48,ggpht.com,Content Servers
49,armdb.org,Business
50,ttlivecdn.com,Content Servers
51,facebook.net,Social Networks
52,bytefcdn-oversea.com,
53,app-measurement.com,APIs
54,cloudflare-dns.com,Content Servers
55,yastatic.net,Technology
56,unity3d.com,Gaming;Technology
57,xiaomi.com,Technology
58,userapi.com,Social Networks
59,wildberries.ru,Ecommerce
60,vk.com,Social Networks
61,one.one,Information Technology
62,live.com,Technology;Webmail
63,applovin.com,Gaming
64,adfox.ru,Business
65,bing.com,Search Engines
66,yahoo.com,News & Media
67,roblox.com,Gaming;Safe for Kids
68,ampproject.org,Information Technology
69,tubecup.net,Content Servers
70,amusnet.io,
71,spotify.com,Audio Streaming
72,nr-data.net,Content Servers
73,phncdn.com,CIPA Filter;Pornography
74,skype.com,Instant Messengers;Internet Phone & VOIP
75,wbbasket.ru,Content Servers
76,trafficmanager.net,Content Servers
77,rubiconproject.com,Advertisements
78,imgsmail.ru,
79,netflix.com,Movies;Video Streaming
80,wpadmngr.com,Content Servers
81,pki.goog,Information Security
82,walletconnect.com,Cryptocurrency;Technology
83,mycdn.me,Content Servers
84,fastly.net,Information Security;Information Technology;Technology
85,cdninstagram.com,Content Servers
86,windowsupdate.com,Information Technology;Business
87,miui.com,Technology
88,wb.ru,Ecommerce
89,office.com,Technology
90,appsflyersdk.com,Content Servers
91,adriver.ru,Advertisements
92,worldfcdn2.com,Content Servers
93,taboola.com,Business;Advertisements
94,bytefcdn-ttpeu.com,Content Servers
95,recaptcha.net,Content Servers
96,akamaized.net,Content Servers
97,adnxs.com,Content Servers
98,pubmatic.com,Business;Technology
99,azure.com,Technology
100,hoory.com,Business
