rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,tiktokcdn.com,Content Servers;Social Networks
8,apple.com,Information Technology;Technology
9,gvt2.com,Content Servers
10,tiktokv.com,Social Networks;Video Streaming
11,bing.com,Search Engines
12,live.com,Technology;Webmail
13,doubleclick.net,Advertisements
14,youtube.com,Video Streaming
15,office.com,Technology
16,instagram.com,Social Networks
17,googlevideo.com,Search Engines;Video Streaming
18,fbcdn.net,Social Networks
19,googleusercontent.com,Content Servers
20,akamai.net,Content Servers
21,msn.com,News & Media
22,akadns.net,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,office.net,Content Servers
25,akamaiedge.net,Content Servers
26,skype.com,Instant Messengers;Internet Phone & VOIP
27,ytimg.com,Content Servers
28,cloudflare.com,Technology
29,google.co.ao,Search Engines
30,apple-dns.net,Content Servers
31,amazonaws.com,Technology
32,office365.com,Technology
33,azureedge.net,Content Servers
34,icloud.com,File Sharing
35,spotify.com,Audio Streaming
36,windowsupdate.com,Information Technology;Business
37,msftncsi.com,Content Servers
38,ttlivecdn.com,Content Servers
39,gvt1.com,Content Servers
40,cdn77.org,Content Servers
41,cloudfront.net,Content Servers;Science;Technology
42,google-analytics.com,Business;Technology
43,ggpht.com,Content Servers
44,snapchat.com,Social Networks
45,googletagmanager.com,Content Servers
46,aaplimg.com,Information Technology;Content Servers;Technology
47,windows.com,Information Technology
48,kaspersky.com,Technology
49,netflix.com,Movies;Video Streaming
50,ntp.org,Technology
51,cloudflare-dns.com,Content Servers
52,microsoftonline.com,Technology
53,akamaized.net,Content Servers
54,lencr.org,Information Technology
55,azure.com,Technology
56,linkedin.com,Professional Networking
57,bytefcdn-oversea.com,
58,adnxs.com,Content Servers
59,msedge.net,Content Servers
60,sharepoint.com,File Sharing;Technology
61,googleadservices.com,Advertisements
62,whatsapp.com,Instant Messengers;Internet Phone & VOIP
63,cdninstagram.com,Content Servers
64,digicert.com,Information Security
65,amazon-adsystem.com,Advertisements
66,shalltry.com,Content Servers
67,bangcdn.net,Content Servers
68,app-measurement.com,APIs
69,yahoo.com,News & Media
70,smartadserver.com,Advertisements
71,msftconnecttest.com,Content Servers
72,pubmatic.com,Business;Technology
73,kaspersky-labs.com,Technology
74,nelreports.net,Content Servers
75,avast.com,Technology
76,pki.goog,Information Security
77,rubiconproject.com,Advertisements
78,applovin.com,Gaming
79,anydesk.com,Information Technology
80,clarity.ms,Content Servers
81,trafficmanager.net,Content Servers
82,appcenter.ms,Technology
83,amazon.com,Ecommerce
84,bytefcdn-ttpeu.com,Content Servers
85,windows.net,Technology
86,outlook.com,Webmail
87,lijit.com,Business
88,criteo.com,Business
89,one.one,Information Technology
90,twitter.com,Social Networks
91,pinterest.com,Photography;Social Networks
92,ui.com,Technology
93,canva.com,Hobbies & Interests
94,appsflyersdk.com,Content Servers
95,avcdn.net,Content Servers
96,opera.com,Technology
97,aliexpress.com,Ecommerce
98,dns.google,Information Technology
99,scorecardresearch.com,Business
100,samsungcloud.com,Content Servers
