rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,office.com,Technology
8,ui.com,Technology
9,tiktokcdn.com,Content Servers;Social Networks
10,akadns.net,Content Servers
11,doubleclick.net,Advertisements
12,akamaiedge.net,Content Servers
13,apple-dns.net,Content Servers
14,live.com,Technology;Webmail
15,amazonaws.com,Technology
16,akamai.net,Content Servers
17,googlesyndication.com,Search Engines;Advertisements
18,spotify.com,Audio Streaming
19,youtube.com,Video Streaming
20,cloudfront.net,Content Servers;Science;Technology
21,googlevideo.com,Search Engines;Video Streaming
22,whatsapp.net,Instant Messengers;Internet Phone & VOIP
23,netflix.com,Movies;Video Streaming
24,icloud.com,File Sharing
25,amazon.com,Ecommerce
26,bing.com,Search Engines
27,ntp.org,Technology
28,office365.com,Technology
29,tiktokv.com,Social Networks;Video Streaming
30,msn.com,News & Media
31,googleusercontent.com,Content Servers
32,instagram.com,Social Networks
33,snapchat.com,Social Networks
34,aaplimg.com,Information Technology;Content Servers;Technology
35,azure.com,Technology
36,gvt2.com,Content Servers
37,office.net,Content Servers
38,microsoftonline.com,Technology
39,cdn77.org,Content Servers
40,trafficmanager.net,Content Servers
41,amazon-adsystem.com,Advertisements
42,a2z.com,Content Servers
43,windowsupdate.com,Information Technology;Business
44,google-analytics.com,Business;Technology
45,one.one,Information Technology
46,amazon.de,Ecommerce
47,app-measurement.com,APIs
48,ytimg.com,Content Servers
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,adnxs.com,Content Servers
51,fbcdn.net,Social Networks
52,google.at,Search Engines
53,cloudflare-dns.com,Content Servers
54,windows.net,Technology
55,ttlivecdn.com,Content Servers
56,fastly.net,Information Security;Information Technology;Technology
57,lencr.org,Information Technology
58,googleadservices.com,Advertisements
59,bytefcdn-oversea.com,
60,cloudflare.com,Technology
61,criteo.com,Business
62,rubiconproject.com,Advertisements
63,gmail.com,Webmail
64,unifi-ai.com,Content Servers
65,outlook.com,Webmail
66,sentry.io,Business
67,yahoo.com,News & Media
68,sharepoint.com,File Sharing;Technology
69,amazonalexa.com,Content Servers
70,mozilla.com,Information Technology
71,pki.goog,Information Security
72,googletagmanager.com,Content Servers
73,taboola.com,Business;Advertisements
74,dropbox.com,File Sharing
75,smartadserver.com,Advertisements
76,pubmatic.com,Business;Technology
77,azureedge.net,Content Servers
78,gmx.net,News & Media
79,akamaized.net,Content Servers
80,adform.net,Content Servers
81,appcenter.ms,Technology
82,ubnt.com,Technology;Advertisements
83,digicert.com,Information Security
84,firetvcaptiveportal.com,Content Servers
85,ntppool.org,Technology
86,msftncsi.com,Content Servers
87,sc-cdn.net,Content Servers
88,ggpht.com,Content Servers
89,gvt1.com,Content Servers
90,adobe.io,Business;Technology
91,windows.com,Information Technology
92,sonnenbatterie.de,Business
93,unity3d.com,Gaming;Technology
94,casalemedia.com,Advertisements
95,msftconnecttest.com,Content Servers
96,msedge.net,Content Servers
97,a-msedge.net,Content Servers
98,outbrain.com,Business;Advertisements
99,cdn-apple.com,Content Servers
100,synology.com,Technology
