rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Webmail
4,tiktokcdn.com,Content Servers;Social Networks
5,microsoft.com,Information Technology;Business
6,apple.com,Information Technology;Technology
7,gstatic.com,Content Servers
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokv.com,Social Networks;Video Streaming
10,instagram.com,Social Networks
11,akamai.net,Content Servers
12,snapchat.com,Social Networks
13,fbcdn.net,Social Networks
14,office.com,Technology
15,amazonaws.com,Technology
16,cdn77.org,Content Servers
17,akamaiedge.net,Content Servers
18,akadns.net,Content Servers
19,icloud.com,File Sharing
20,apple-dns.net,Content Servers
21,netflix.com,Movies;Video Streaming
22,ttlivecdn.com,Content Servers
23,googlevideo.com,Search Engines;Video Streaming
24,cloudfront.net,Content Servers;Science;Technology
25,youtube.com,Video Streaming
26,bytefcdn-oversea.com,
27,amazon.com,Ecommerce
28,doubleclick.net,Advertisements
29,cloudflare.com,Technology
30,bing.com,Search Engines
31,ui.com,Technology
32,googleusercontent.com,Content Servers
33,gvt2.com,Content Servers
34,live.com,Technology;Webmail
35,roblox.com,Gaming;Safe for Kids
36,spotify.com,Audio Streaming
37,sc-cdn.net,Content Servers
38,ytimg.com,Content Servers
39,amazon-adsystem.com,Advertisements
40,googlesyndication.com,Search Engines;Advertisements
41,aaplimg.com,Information Technology;Content Servers;Technology
42,rbxcdn.com,Content Servers
43,tiktokcdn-us.com,Content Servers
44,office365.com,Technology
45,fastly.net,Information Security;Information Technology;Technology
46,yahoo.com,News & Media
47,app-measurement.com,APIs
48,a2z.com,Content Servers
49,ggpht.com,Content Servers
50,ring.com,Business;Photography
51,unity3d.com,Gaming;Technology
52,tiktokv.us,Content Servers
53,ntp.org,Technology
54,cdninstagram.com,Content Servers
55,rocket-cdn.com,Content Servers
56,googleadservices.com,Advertisements
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,azure.com,Technology
59,microsoftonline.com,Technology
60,bytefcdn-ttpeu.com,Content Servers
61,sc-gw.com,Content Servers
62,googletagmanager.com,Content Servers
63,surfshark.com,CIPA Filter;Anonymizer
64,outlook.com,Webmail
65,trafficmanager.net,Content Servers
66,google-analytics.com,Business;Technology
67,pki.goog,Information Security
68,msftncsi.com,Content Servers
69,gmail.com,Webmail
70,office.net,Content Servers
71,twitter.com,Social Networks
72,firetvcaptiveportal.com,Content Servers
73,scorecardresearch.com,Business
74,msn.com,News & Media
75,linkedin.com,Professional Networking
76,baidu.com,Search Engines
77,pubmatic.com,Business;Technology
78,grammarly.io,Information Technology;Content Servers
79,akamaized.net,Content Servers
80,windowsupdate.com,Information Technology;Business
81,appsflyersdk.com,Content Servers
82,googletagservices.com,Content Servers
83,adnxs.com,Content Servers
84,cdn-apple.com,Content Servers
85,avcdn.net,Content Servers
86,amazon.dev,Content Servers
87,safebrowsing.apple,Content Servers
88,applovin.com,Gaming
89,avast.com,Technology
90,windows.net,Technology
91,atomile.com,No Content
92,scdn.co,Content Servers
93,weather.com,News & Media;Weather
94,android.com,Technology
95,samsungcloud.com,Content Servers
96,wsdvs.com,Content Servers
97,gvt1.com,Content Servers
98,qlivecdn.com,
99,windows.com,Information Technology
100,rubiconproject.com,Advertisements
