rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,tiktokcdn.com,Content Servers;Social Networks
8,cloudflare.com,Technology
9,gvt2.com,Content Servers
10,googlesyndication.com,Search Engines;Advertisements
11,googlevideo.com,Search Engines;Video Streaming
12,youtube.com,Video Streaming
13,viber.com,Instant Messengers;Internet Phone & VOIP
14,instagram.com,Social Networks
15,tiktokv.com,Social Networks;Video Streaming
16,amazon-adsystem.com,Advertisements
17,googleadservices.com,Advertisements
18,ytimg.com,Content Servers
19,fbcdn.net,Social Networks
20,apple.com,Information Technology;Technology
21,googleusercontent.com,Content Servers
22,live.com,Technology;Webmail
23,google-analytics.com,Business;Technology
24,bing.com,Search Engines
25,google.ba,Search Engines
26,rubiconproject.com,Advertisements
27,spotify.com,Audio Streaming
28,msn.com,News & Media
29,office.com,Technology
30,criteo.com,Business
31,amazonaws.com,Technology
32,pubmatic.com,Business;Technology
33,cloudflare-dns.com,Content Servers
34,snapchat.com,Social Networks
35,ttlivecdn.com,Content Servers
36,akamai.net,Content Servers
37,googletagmanager.com,Content Servers
38,cloudfront.net,Content Servers;Science;Technology
39,akadns.net,Content Servers
40,whatsapp.net,Instant Messengers;Internet Phone & VOIP
41,adnxs.com,Content Servers
42,ntp.org,Technology
43,ggpht.com,Content Servers
44,clarity.ms,Content Servers
45,yahoo.com,News & Media
46,akamaiedge.net,Content Servers
47,openx.net,Advertisements
48,netflix.com,Movies;Video Streaming
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,casalemedia.com,Advertisements
51,cdn77.org,Content Servers
52,smartadserver.com,Advertisements
53,facebook.net,Social Networks
54,adform.net,Content Servers
55,dotmetrics.net,Business;Technology
56,apple-dns.net,Content Servers
57,roblox.com,Gaming;Safe for Kids
58,icloud.com,File Sharing
59,lijit.com,Business
60,epicgames.com,Ecommerce;Gaming
61,fast.com,Information Technology
62,office.net,Content Servers
63,app-measurement.com,APIs
64,bytefcdn-oversea.com,
65,quantserve.com,Content Servers
66,windowsupdate.com,Information Technology;Business
67,amazon.com,Ecommerce
68,lencr.org,Information Technology
69,mixpanel.com,Business
70,criteo.net,Business
71,taboola.com,Business;Advertisements
72,id5-sync.com,Content Servers
73,gvt1.com,Content Servers
74,discord.com,Instant Messengers;Internet Phone & VOIP
75,twitter.com,Social Networks
76,azure.com,Technology
77,aaplimg.com,Information Technology;Content Servers;Technology
78,teads.tv,Advertisements
79,3lift.com,Business
80,rbxcdn.com,Content Servers
81,cdninstagram.com,Content Servers
82,jsdelivr.net,Content Servers
83,2mdn.net,Content Servers
84,creativecdn.com,Content Servers
85,appcenter.ms,Technology
86,msftncsi.com,Content Servers
87,unity3d.com,Gaming;Technology
88,linkedin.com,Professional Networking
89,klix.ba,News & Media
90,bidswitch.net,Technology
91,msedge.net,Content Servers
92,onesignal.com,Business;Technology
93,akamaized.net,Content Servers
94,googletagservices.com,Content Servers
95,ampproject.org,Information Technology
96,avcdn.net,Content Servers
97,samsungcloud.com,Content Servers
98,ad.gt,Advertisements
99,xiaomi.com,Technology
100,dns.google,Information Technology
