rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,facebook.com,Social Networks
5,gstatic.com,Content Servers
6,tiktokcdn.com,Content Servers;Social Networks
7,apple.com,Information Technology;Technology
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,instagram.com,Social Networks
10,office.com,Technology
11,youtube.com,Video Streaming
12,icloud.com,File Sharing
13,akamaiedge.net,Content Servers
14,fbcdn.net,Social Networks
15,tiktokv.com,Social Networks;Video Streaming
16,amazon.com,Ecommerce
17,akadns.net,Content Servers
18,apple-dns.net,Content Servers
19,akamai.net,Content Servers
20,doubleclick.net,Advertisements
21,amazonaws.com,Technology
22,live.com,Technology;Webmail
23,cloudfront.net,Content Servers;Science;Technology
24,gvt2.com,Content Servers
25,spotify.com,Audio Streaming
26,office365.com,Technology
27,googlevideo.com,Search Engines;Video Streaming
28,ring.com,Business;Photography
29,bing.com,Search Engines
30,googleusercontent.com,Content Servers
31,aaplimg.com,Information Technology;Content Servers;Technology
32,ui.com,Technology
33,cdn77.org,Content Servers
34,cloudflare.com,Technology
35,ntp.org,Technology
36,roblox.com,Gaming;Safe for Kids
37,amazon.dev,Content Servers
38,netflix.com,Movies;Video Streaming
39,ytimg.com,Content Servers
40,microsoftonline.com,Technology
41,snapchat.com,Social Networks
42,bytefcdn-oversea.com,
43,amazon-adsystem.com,Advertisements
44,msn.com,News & Media
45,googlesyndication.com,Search Engines;Advertisements
46,office.net,Content Servers
47,one.one,Information Technology
48,cloudflare-dns.com,Content Servers
49,ttlivecdn.com,Content Servers
50,rbxcdn.com,Content Servers
51,outlook.com,Webmail
52,app-measurement.com,APIs
53,adobe.com,Technology
54,azure.com,Technology
55,firetvcaptiveportal.com,Content Servers
56,sharepoint.com,File Sharing;Technology
57,unity3d.com,Gaming;Technology
58,skype.com,Instant Messengers;Internet Phone & VOIP
59,yahoo.com,News & Media
60,adobe.io,Business;Technology
61,gmail.com,Webmail
62,lencr.org,Information Technology
63,a2z.com,Content Servers
64,appcenter.ms,Technology
65,dropbox.com,File Sharing
66,googleadservices.com,Advertisements
67,surfshark.com,CIPA Filter;Anonymizer
68,rubiconproject.com,Advertisements
69,casalemedia.com,Advertisements
70,applovin.com,Gaming
71,ggpht.com,Content Servers
72,windowsupdate.com,Information Technology;Business
73,criteo.com,Business
74,googletagmanager.com,Content Servers
75,windows.com,Information Technology
76,pki.goog,Information Security
77,twitter.com,Social Networks
78,trafficmanager.net,Content Servers
79,grammarly.io,Information Technology;Content Servers
80,akamaized.net,Content Servers
81,fastly.net,Information Security;Information Technology;Technology
82,google-analytics.com,Business;Technology
83,azureedge.net,Content Servers
84,adnxs.com,Content Servers
85,linkedin.com,Professional Networking
86,ubnt.com,Technology;Advertisements
87,pubmatic.com,Business;Technology
88,bytefcdn-ttpeu.com,Content Servers
89,grammarly.com,Artificial Intelligence;Hobbies & Interests
90,windows.net,Technology
91,hotmail.com,Technology;Webmail
92,taboola.com,Business;Advertisements
93,msftconnecttest.com,Content Servers
94,unifi-ai.com,Content Servers
95,amazonalexa.com,Content Servers
96,rocket-cdn.com,Content Servers
97,avcdn.net,Content Servers
98,amazonvideo.com,Movies;Television;Video Streaming
99,3lift.com,Business
100,sc-cdn.net,Content Servers
