rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,googlevideo.com,Search Engines;Video Streaming
7,gvt2.com,Content Servers
8,doubleclick.net,Advertisements
9,microsoft.com,Information Technology;Business
10,fbcdn.net,Social Networks
11,youtube.com,Video Streaming
12,tiktokcdn-us.com,Content Servers
13,tiktokv.com,Social Networks;Video Streaming
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,ytimg.com,Content Servers
16,googleusercontent.com,Content Servers
17,instagram.com,Social Networks
18,ttlivecdn.com,Content Servers
19,googlesyndication.com,Search Engines;Advertisements
20,amazon.com,Ecommerce
21,applovin.com,Gaming
22,snapchat.com,Social Networks
23,googleadservices.com,Advertisements
24,vivoglobal.com,Technology
25,gvt1.com,Content Servers
26,apple.com,Information Technology;Technology
27,ggpht.com,Content Servers
28,kzhi.tech,Content Servers
29,bing.com,Search Engines
30,app-measurement.com,APIs
31,cloudfront.net,Content Servers;Science;Technology
32,google-analytics.com,Business;Technology
33,ntp.org,Technology
34,root-servers.net,Technology
35,imotech.tech,Content Servers
36,google.com.bd,Search Engines
37,wikipedia.org,Education
38,imolive2.com,Content Servers
39,cloudflare.com,Technology
40,piojm.tech,Technology
41,akamai.net,Content Servers
42,shalltry.com,Content Servers
43,live.com,Technology;Webmail
44,googletagmanager.com,Content Servers
45,likee.video,Social Networks;Video Streaming
46,android.com,Technology
47,heytapdl.com,Content Servers
48,allawnos.com,
49,xiaomi.com,Technology
50,pangle.io,Content Servers
51,msn.com,News & Media
52,xhcdn.com,CIPA Filter;Pornography
53,bigolive.tv,Video Streaming
54,vungle.com,Business;Technology
55,linkedin.com,Professional Networking
56,amazonaws.com,Technology
57,v-mate.mobi,Gaming
58,dns.google,Information Technology
59,unity3d.com,Gaming;Technology
60,cloudflare-dns.com,Content Servers
61,akadns.net,Content Servers
62,xnxx-cdn.com,CIPA Filter;Pornography
63,heytapmobile.com,Content Servers
64,ampproject.org,Information Technology
65,amazon-adsystem.com,Advertisements
66,mtgglobals.com,Content Servers
67,skype.com,Instant Messengers;Internet Phone & VOIP
68,taboola.com,Business;Advertisements
69,netflix.com,Movies;Video Streaming
70,isnssdk.com,Content Servers
71,akamaiedge.net,Content Servers
72,akamaized.net,Content Servers
73,yahoo.com,News & Media
74,cdn77.org,Content Servers
75,miui.com,Technology
76,inmobi.com,Business
77,azureedge.net,Content Servers
78,grammarly.com,Artificial Intelligence;Hobbies & Interests
79,freefiremobile.com,
80,spotify.com,Audio Streaming
81,bigo.sg,Technology
82,appsflyersdk.com,Content Servers
83,tsyndicate.com,Content Servers
84,wshareit.com,Content Servers
85,crashlytics.com,Information Technology
86,apple-dns.net,Content Servers
87,whatsapp.com,Instant Messengers;Internet Phone & VOIP
88,xzcs3zlph.com,
89,grammarly.io,Information Technology;Content Servers
90,pullcm.com,Content Servers
91,office.com,Technology
92,icloud.com,File Sharing
93,clarity.ms,Content Servers
94,appsflyer.com,Business;Technology
95,qq.com,News & Media
96,like.video,Information Technology
97,fbsbx.com,Content Servers
98,beyla.site,Content Servers
99,msftncsi.com,Content Servers
100,rubiconproject.com,Advertisements
