rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,apple.com,Information Technology;Technology
8,tiktokcdn.com,Content Servers;Social Networks
9,googlesyndication.com,Search Engines;Advertisements
10,gvt2.com,Content Servers
11,youtube.com,Video Streaming
12,live.com,Technology;Webmail
13,googleadservices.com,Advertisements
14,googlevideo.com,Search Engines;Video Streaming
15,bing.com,Search Engines
16,amazonaws.com,Technology
17,fbcdn.net,Social Networks
18,viber.com,Instant Messengers;Internet Phone & VOIP
19,cloudflare.com,Technology
20,tiktokv.com,Social Networks;Video Streaming
21,googleusercontent.com,Content Servers
22,google-analytics.com,Business;Technology
23,instagram.com,Social Networks
24,akadns.net,Content Servers
25,akamai.net,Content Servers
26,akamaiedge.net,Content Servers
27,office.com,Technology
28,spotify.com,Audio Streaming
29,msn.com,News & Media
30,amazon-adsystem.com,Advertisements
31,ytimg.com,Content Servers
32,cloudflare-dns.com,Content Servers
33,apple-dns.net,Content Servers
34,amazon.com,Ecommerce
35,ntp.org,Technology
36,skype.com,Instant Messengers;Internet Phone & VOIP
37,google.bg,Search Engines
38,criteo.com,Business
39,cdn77.org,Content Servers
40,googletagmanager.com,Content Servers
41,icloud.com,File Sharing
42,netflix.com,Movies;Video Streaming
43,cloudfront.net,Content Servers;Science;Technology
44,office.net,Content Servers
45,yahoo.com,News & Media
46,windowsupdate.com,Information Technology;Business
47,ttlivecdn.com,Content Servers
48,smartadserver.com,Advertisements
49,root-servers.net,Technology
50,adnxs.com,Content Servers
51,lencr.org,Information Technology
52,azure.com,Technology
53,app-measurement.com,APIs
54,aaplimg.com,Information Technology;Content Servers;Technology
55,rubiconproject.com,Advertisements
56,wikipedia.org,Education
57,msftncsi.com,Content Servers
58,abv.bg,Webmail
59,snapchat.com,Social Networks
60,gvt1.com,Content Servers
61,bytefcdn-oversea.com,
62,whatsapp.net,Instant Messengers;Internet Phone & VOIP
63,adform.net,Content Servers
64,ggpht.com,Content Servers
65,trafficmanager.net,Content Servers
66,windows.com,Information Technology
67,casalemedia.com,Advertisements
68,mozilla.com,Information Technology
69,dns.google,Information Technology
70,one.one,Information Technology
71,pubmatic.com,Business;Technology
72,ui.com,Technology
73,msedge.net,Content Servers
74,facebook.net,Social Networks
75,linkedin.com,Professional Networking
76,avcdn.net,Content Servers
77,akamaized.net,Content Servers
78,microsoftonline.com,Technology
79,fastly.net,Information Security;Information Technology;Technology
80,slack.com,Instant Messengers
81,creativecdn.com,Content Servers
82,criteo.net,Business
83,avast.com,Technology
84,2mdn.net,Content Servers
85,digicert.com,Information Security
86,azureedge.net,Content Servers
87,mixpanel.com,Business
88,tp-link.com,Technology
89,twitter.com,Social Networks
90,gemius.pl,Business;Technology
91,onesignal.com,Business;Technology
92,fast.com,Information Technology
93,clarity.ms,Content Servers
94,office365.com,Technology
95,pki.goog,Information Security
96,msftconnecttest.com,Content Servers
97,taboola.com,Business;Advertisements
98,teads.tv,Advertisements
99,roblox.com,Gaming;Safe for Kids
100,opera.com,Technology
