rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,instagram.com,Social Networks
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,tiktokv.com,Social Networks;Video Streaming
11,doubleclick.net,Advertisements
12,youtube.com,Video Streaming
13,snapchat.com,Social Networks
14,tiktokcdn-us.com,Content Servers
15,gvt2.com,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,fbcdn.net,Social Networks
18,ttlivecdn.com,Content Servers
19,ytimg.com,Content Servers
20,akamai.net,Content Servers
21,googleusercontent.com,Content Servers
22,office.com,Technology
23,cdn77.org,Content Servers
24,akadns.net,Content Servers
25,googlesyndication.com,Search Engines;Advertisements
26,apple-dns.net,Content Servers
27,akamaiedge.net,Content Servers
28,amazonaws.com,Technology
29,icloud.com,File Sharing
30,cloudflare.com,Technology
31,aaplimg.com,Information Technology;Content Servers;Technology
32,google-analytics.com,Business;Technology
33,live.com,Technology;Webmail
34,googleadservices.com,Advertisements
35,bytefcdn-oversea.com,
36,bing.com,Search Engines
37,app-measurement.com,APIs
38,cloudfront.net,Content Servers;Science;Technology
39,cdninstagram.com,Content Servers
40,spotify.com,Audio Streaming
41,ggpht.com,Content Servers
42,cloudflare-dns.com,Content Servers
43,azure.com,Technology
44,one.one,Information Technology
45,sc-cdn.net,Content Servers
46,amazon.com,Ecommerce
47,yahoo.com,News & Media
48,pki.goog,Information Security
49,office365.com,Technology
50,google.com.bh,Search Engines
51,office.net,Content Servers
52,googletagmanager.com,Content Servers
53,msn.com,News & Media
54,akamaized.net,Content Servers
55,gvt1.com,Content Servers
56,microsoftonline.com,Technology
57,twitter.com,Social Networks
58,bytefcdn-ttpeu.com,Content Servers
59,appsflyersdk.com,Content Servers
60,amazon-adsystem.com,Advertisements
61,unity3d.com,Gaming;Technology
62,appcenter.ms,Technology
63,ntp.org,Technology
64,digicert.com,Information Security
65,fastly.net,Information Security;Information Technology;Technology
66,netflix.com,Movies;Video Streaming
67,gmail.com,Webmail
68,worldfcdn2.com,Content Servers
69,linkedin.com,Professional Networking
70,applovin.com,Gaming
71,rocket-cdn.com,Content Servers
72,sc-gw.com,Content Servers
73,facebook.net,Social Networks
74,ampproject.org,Information Technology
75,msftncsi.com,Content Servers
76,roblox.com,Gaming;Safe for Kids
77,epicgames.com,Ecommerce;Gaming
78,skype.com,Instant Messengers;Internet Phone & VOIP
79,dns.google,Information Technology
80,outlook.com,Webmail
81,trafficmanager.net,Content Servers
82,twimg.com,Content Servers
83,ui.com,Technology
84,sentry.io,Business
85,whatsapp.com,Instant Messengers;Internet Phone & VOIP
86,wsdvs.com,Content Servers
87,lencr.org,Information Technology
88,appsflyer.com,Business;Technology
89,atomile.com,No Content
90,adnxs.com,Content Servers
91,ibyteimg.com,Content Servers
92,taboola.com,Business;Advertisements
93,rubiconproject.com,Advertisements
94,mzstatic.com,Information Technology;Technology
95,msftconnecttest.com,Content Servers
96,safebrowsing.apple,Content Servers
97,discord.com,Instant Messengers;Internet Phone & VOIP
98,app-analytics-services.com,Content Servers
99,pubmatic.com,Business;Technology
100,samsungcloud.com,Content Servers
