rank,domain,categories
1,gstatic.com,Content Servers
2,google.com,Search Engines
3,googleapis.com,Content Servers;Webmail
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,cloudflare.com,Technology
8,bing.com,Search Engines
9,gvt2.com,Content Servers
10,youtube.com,Video Streaming
11,tiktokv.com,Social Networks;Video Streaming
12,googlevideo.com,Search Engines;Video Streaming
13,fbcdn.net,Social Networks
14,instagram.com,Social Networks
15,tiktokcdn.com,Content Servers;Social Networks
16,doubleclick.net,Advertisements
17,amazon.com,Ecommerce
18,ytimg.com,Content Servers
19,msn.com,News & Media
20,media-amazon.com,Content Servers
21,amazon.fr,Ecommerce
22,google-analytics.com,Business;Technology
23,amazon.co.uk,Ecommerce
24,amazon.de,Ecommerce
25,googletagmanager.com,Content Servers
26,skype.com,Instant Messengers;Internet Phone & VOIP
27,apple.com,Information Technology;Technology
28,amazon.ca,Ecommerce
29,amazon.it,Ecommerce
30,live.com,Technology;Webmail
31,ssl-images-amazon.com,Content Servers
32,googleusercontent.com,Content Servers
33,amazon-adsystem.com,Advertisements
34,amazonaws.com,Technology
35,ggpht.com,Content Servers
36,lencr.org,Information Technology
37,amazontrust.com,Technology
38,cloudflare-dns.com,Content Servers
39,googleadservices.com,Advertisements
40,google.bi,Search Engines
41,ipinfo.io,Technology
42,snapchat.com,Social Networks
43,icloud.com,File Sharing
44,akadns.net,Content Servers
45,whatsapp.com,Instant Messengers;Internet Phone & VOIP
46,office.com,Technology
47,googlesyndication.com,Search Engines;Advertisements
48,yahoo.com,News & Media
49,azureedge.net,Content Servers
50,kaspersky.com,Technology
51,mozilla.org,Technology
52,amazon.com.br,Ecommerce
53,live.net,Content Servers
54,gmail.com,Webmail
55,smartappnet.net,
56,windows.com,Information Technology
57,farnell.com,Technology
58,amazon.co.jp,Ecommerce
59,digicert.com,Information Security
60,surfshark.com,CIPA Filter;Anonymizer
61,opera.com,Technology
62,gvt1.com,Content Servers
63,facebook.net,Social Networks
64,datadome.co,Technology
65,adobe.io,Business;Technology
66,jsdelivr.net,Content Servers
67,akamaized.net,Content Servers
68,adnxs.com,Content Servers
69,gposts.net,
70,one.one,Information Technology
71,bitstreamonline.net,
72,msedge.net,Content Servers
73,msftncsi.com,Content Servers
74,kaspersky-labs.com,Technology
75,amazon.com.mx,Ecommerce
75,leroymerlin.pl,Ecommerce;Business
77,element14.com,Ecommerce;Technology
78,twitter.com,Social Networks
79,yandex.com,Search Engines;Webmail
80,google.ae,Search Engines
81,amazon.in,Ecommerce
82,xvideos-cdn.com,CIPA Filter;Pornography
83,orbsrv.com,Content Servers
84,criteo.com,Business
85,supapush.net,Content Servers
86,coogoanu.net,Content Servers
87,fast.com,Information Technology
88,microsoftonline.com,Technology
89,example.com,Technology
90,xnxx-cdn.com,CIPA Filter;Pornography
91,gaterelay.com,
92,duckduckgo.com,Search Engines
93,shalltry.com,Content Servers
94,walmartimages.com,Content Servers
94,textbookrush.com,Ecommerce
94,rubiconproject.com,Advertisements
97,xvideos.com,CIPA Filter;Nudity;Pornography;Adult Themes
98,sharethrough.com,Business
99,windows.net,Technology
100,office.net,Content Servers
