rank,domain,categories
1,microsoft.com,Information Technology;Business
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,ui.com,Technology
6,apple.com,Information Technology;Technology
7,facebook.com,Social Networks
8,office.com,Technology
9,tiktokcdn.com,Content Servers;Social Networks
10,live.com,Technology;Webmail
11,akamai.net,Content Servers
12,akadns.net,Content Servers
13,amazonaws.com,Technology
14,akamaiedge.net,Content Servers
15,doubleclick.net,Advertisements
16,whatsapp.net,Instant Messengers;Internet Phone & VOIP
17,azure.com,Technology
18,icloud.com,File Sharing
19,tiktokv.com,Social Networks;Video Streaming
20,yahoo.com,News & Media
21,apple-dns.net,Content Servers
22,office365.com,Technology
23,office.net,Content Servers
24,spotify.com,Audio Streaming
25,youtube.com,Video Streaming
26,bing.com,Search Engines
27,fbcdn.net,Social Networks
28,one.one,Information Technology
29,googlesyndication.com,Search Engines;Advertisements
30,amazon.com,Ecommerce
31,cloudfront.net,Content Servers;Science;Technology
32,gvt2.com,Content Servers
33,sharepoint.com,File Sharing;Technology
34,microsoftonline.com,Technology
35,aaplimg.com,Information Technology;Content Servers;Technology
36,googleusercontent.com,Content Servers
37,instagram.com,Social Networks
38,skype.com,Instant Messengers;Internet Phone & VOIP
39,googlevideo.com,Search Engines;Video Streaming
40,gmail.com,Webmail
41,msn.com,News & Media
42,windows.net,Technology
43,cdn77.org,Content Servers
44,snapchat.com,Social Networks
45,ntp.org,Technology
46,fastly.net,Information Security;Information Technology;Technology
47,ring.com,Business;Photography
48,digicert.com,Information Security
49,windowsupdate.com,Information Technology;Business
50,cloudflare-dns.com,Content Servers
51,netflix.com,Movies;Video Streaming
52,lencr.org,Information Technology
53,ttlivecdn.com,Content Servers
54,bytefcdn-oversea.com,
55,a2z.com,Content Servers
56,msftncsi.com,Content Servers
57,ytimg.com,Content Servers
58,pki.goog,Information Security
59,googleadservices.com,Advertisements
60,windows.com,Information Technology
61,cloudflare.com,Technology
62,amazon-adsystem.com,Advertisements
63,adobe.com,Technology
64,linkedin.com,Professional Networking
65,ntppool.org,Technology
66,google-analytics.com,Business;Technology
67,appcenter.ms,Technology
68,ggpht.com,Content Servers
69,sentry.io,Business
70,app-measurement.com,APIs
71,tiktokcdn-us.com,Content Servers
72,adnxs.com,Content Servers
73,outlook.com,Webmail
74,msftconnecttest.com,Content Servers
75,atnisolutions.com,
76,rubiconproject.com,Advertisements
77,surfshark.com,CIPA Filter;Anonymizer
78,grammarly.io,Information Technology;Content Servers
79,smartadserver.com,Advertisements
80,trafficmanager.net,Content Servers
81,cdn-apple.com,Content Servers
82,adobe.io,Business;Technology
83,bytefcdn-ttpeu.com,Content Servers
84,grammarly.com,Information Technology
85,bamgrid.com,Content Servers
86,dns.google,Information Technology
87,akamaized.net,Content Servers
88,pubmatic.com,Business;Technology
89,dropbox.com,File Sharing
90,firetvcaptiveportal.com,Content Servers
91,azureedge.net,Content Servers
92,safebrowsing.apple,Content Servers
93,casalemedia.com,Advertisements
94,rocket-cdn.com,Content Servers
95,nr-data.net,Content Servers
96,criteo.com,Business
97,googletagmanager.com,Content Servers
98,pinterest.com,Photography;Social Networks
99,launchdarkly.com,Business
100,twitter.com,Social Networks
